member,organization,program,ein,amount,purpose
,".00 Funding to support recreational and educational activities, milestone events as well as facility rental and insurance costs at the Sunset Park Senior Citizens Center. Levin Brooklyn Community Pride Center, Inc.",,262214534,5000,".00 To provide Eldercare programming and outreach. Cumbo Brooklyn Community Pride Center, Inc. 262214534 * $6,500.00 Funds will help ogranization provide services city-wide for the LGBTQ+ community. Page 3 Appendix A: Aging Discretionary Council Member Legal Name of Organization EIN * Amount CM Purpose of Funds Fiscal Conduit FC EIN Lander Brooklyn Community Pride Center, Inc. - ElderPride"
,".00 To provide Eldercare programming and outreach. Cumbo Brooklyn Community Pride Center, Inc. 262214534 * $6,500.00 Funds will help ogranization provide services city-wide for the LGBTQ+ community. Page 3 Appendix A: Aging Discretionary Council Member Legal Name of Organization EIN * Amount CM Purpose of Funds Fiscal Conduit FC EIN Lander Brooklyn Community Pride Center, Inc.",ElderPride,262214534,10000,".00 Funding to provide operating support for the Brooklyn Pride parade, festival, 5k run, cultural events, entertainment and/other cultural events. Miller Calvary Baptist Church 112480945 * $6,000.00 Funding will provide computer equipment, supplies and other consumables for seniors and youth who utilize the program. Miller Calvary Baptist Church 112480945 * $6,000.00 Funds will be used to take trips to the movies, theatres, tours, museums, places of interest and spend quality time with grandchildren. CD28 Calvary Baptist Church 112480945 * $11,000.00 The funding will go towards the Grandparents support group that strives to provide events and activities for grandparents who are raising grandchildren. Matteo Carmel Richmond Nursing Home"
,".00 Funding to provide operating support for the Brooklyn Pride parade, festival, 5k run, cultural events, entertainment and/other cultural events. Miller Calvary Baptist Church 112480945 * $6,000.00 Funding will provide computer equipment, supplies and other consumables for seniors and youth who utilize the program. Miller Calvary Baptist Church 112480945 * $6,000.00 Funds will be used to take trips to the movies, theatres, tours, museums, places of interest and spend quality time with grandchildren. CD28 Calvary Baptist Church 112480945 * $11,000.00 The funding will go towards the Grandparents support group that strives to provide events and activities for grandparents who are raising grandchildren. Matteo Carmel Richmond Nursing Home",,132720248,6000,".00 Funds will be used for the purchase of new guest chairs for nursing home residents rooms. Rosenthal Carter Burden Center for the Aging, Inc., The"
,".00 Funds will be used for the purchase of new guest chairs for nursing home residents rooms. Rosenthal Carter Burden Center for the Aging, Inc., The",,237129499,3500,".00 Funding to support the provision of art programmng at senior center in D6. Johnson Carter Burden Center for the Aging, Inc., The"
,".00 Funding to support the provision of art programmng at senior center in D6. Johnson Carter Burden Center for the Aging, Inc., The",,237129499,4500,".00 Funding to support Making Art Work, which empowers and gives the elderly of the community an outlet through art and crafts, stemming isolation and facilitating a meaningful community base by providing arts/crafts classes in a variety of mediums. Kallos Carter Burden Center for the Aging, Inc., The"
,".00 Funding to support Making Art Work, which empowers and gives the elderly of the community an outlet through art and crafts, stemming isolation and facilitating a meaningful community base by providing arts/crafts classes in a variety of mediums. Kallos Carter Burden Center for the Aging, Inc., The",,237129499,15000,".00 To support the lunch program which provides socialization, recreation and education as well as on-site meals, classes, trips and special events. Garodnick Carter Burden Center for the Aging, Inc., The - Carter Burden Luncheon Club and Senior Program"
,".00 To support the lunch program which provides socialization, recreation and education as well as on-site meals, classes, trips and special events. Garodnick Carter Burden Center for the Aging, Inc., The",Carter Burden Luncheon Club and Senior Program,237129499,5000,".00 Funding will support the Carter Burden Luncheon Club & Senior Program, which provides meals, socialization and other activities for seniors. Mark-Viverito Carter Burden Center for the Aging, Inc., The - Leonard Covello Senior Program"
,".00 Funding will support the Carter Burden Luncheon Club & Senior Program, which provides meals, socialization and other activities for seniors. Mark-Viverito Carter Burden Center for the Aging, Inc., The",Leonard Covello Senior Program,237129499,15000,".00 To provide funding for daily programming related to education, wellness, recreation, and free meals. Kallos Carter Burden Center for the Aging, Inc., The - Roosevelt Island Senior Center"
,".00 To provide funding for daily programming related to education, wellness, recreation, and free meals. Kallos Carter Burden Center for the Aging, Inc., The",Roosevelt Island Senior Center,237129499,20000,".00 To fund programming for seniors at the center offering an array of education, wellness, and recreation programs, daily catered congregate lunch, as well as home delivered meals to homebound clients. Deutsch Catholic Charities Neighborhood Services, Inc. - Bay Senior Center"
,".00 To fund programming for seniors at the center offering an array of education, wellness, and recreation programs, daily catered congregate lunch, as well as home delivered meals to homebound clients. Deutsch Catholic Charities Neighborhood Services, Inc.",Bay Senior Center,112047151,3500,".00 Funding to support social gatherings and various programs for seniors attending Bay Senior Center. Vallone Catholic Charities Neighborhood Services, Inc. - Bayside Senior Center"
,".00 Funding to support social gatherings and various programs for seniors attending Bay Senior Center. Vallone Catholic Charities Neighborhood Services, Inc.",Bayside Senior Center,112047151,5000,".00 Funding will be used to support educational, recreational, and health promotion activities and to subsidize increased meals costs, transportation and to provide general support to program operation for the Bayside Senior Center Grodenchik Catholic Charities Neighborhood Services, Inc. - Bayside Senior Center"
,".00 Funding will be used to support educational, recreational, and health promotion activities and to subsidize increased meals costs, transportation and to provide general support to program operation for the Bayside Senior Center Grodenchik Catholic Charities Neighborhood Services, Inc.",Bayside Senior Center,112047151,26250,".00 Funds will be used to support educational/recreational and health promotion activities and to subsidize increased meals cost and transportation and to provide general support to program operation. Maisel Catholic Charities Neighborhood Services, Inc. - CCNS The Bay Senior Center"
,".00 Funds will be used to support educational/recreational and health promotion activities and to subsidize increased meals cost and transportation and to provide general support to program operation. Maisel Catholic Charities Neighborhood Services, Inc.",CCNS The Bay Senior Center,112047151,7500,".00 Funds will be used to support educational, recreational and health promotion activities and to subsidize increased kosher meal cost, and to provide supplies, general support to operate the program. Page 4 Appendix A: Aging Discretionary Council Member Legal Name of Organization EIN * Amount CM Purpose of Funds Fiscal Conduit FC EIN Constantinides Catholic Charities Neighborhood Services, Inc. - DellaMonica Senior Services"
,".00 Funds will be used to support educational, recreational and health promotion activities and to subsidize increased kosher meal cost, and to provide supplies, general support to operate the program. Page 4 Appendix A: Aging Discretionary Council Member Legal Name of Organization EIN * Amount CM Purpose of Funds Fiscal Conduit FC EIN Constantinides Catholic Charities Neighborhood Services, Inc.",DellaMonica Senior Services,112047151,30000,".00 Funds will be used to defray operating expenses of the Dellamonica Senior Center. Williams Catholic Charities Neighborhood Services, Inc. - Glenwood Senior Center"
,".00 Funds will be used to defray operating expenses of the Dellamonica Senior Center. Williams Catholic Charities Neighborhood Services, Inc.",Glenwood Senior Center,112047151,10000,".00 Funding will be used to support the CCNS Glenwood Senior Center in providing enriched and diverse educational recreational activities, social activities, health promotion activities, nutritious meals, and case assistance. Lancman Catholic Charities Neighborhood Services, Inc. - Hillcrest Senior Center"
,".00 Funding will be used to support the CCNS Glenwood Senior Center in providing enriched and diverse educational recreational activities, social activities, health promotion activities, nutritious meals, and case assistance. Lancman Catholic Charities Neighborhood Services, Inc.",Hillcrest Senior Center,112047151,10000,".00 Funds will be used to support educational & recreational and health promotion activities, to subsidize the increase cost of utilities meals, and to provide supplies, general support to operate the program at CCNS Hillcrest Senior Center. Ulrich Catholic Charities Neighborhood Services, Inc. - Howard Beach Senior Center"
,".00 Funds will be used to support educational & recreational and health promotion activities, to subsidize the increase cost of utilities meals, and to provide supplies, general support to operate the program at CCNS Hillcrest Senior Center. Ulrich Catholic Charities Neighborhood Services, Inc.",Howard Beach Senior Center,112047151,6000,".00 Funds will support the Senior Center's educational, recreational and health promotion activities, transportation needs by seniors and to provide support for general operations. Levin Catholic Charities Neighborhood Services, Inc. - Northside Senior Center"
,".00 Funds will support the Senior Center's educational, recreational and health promotion activities, transportation needs by seniors and to provide support for general operations. Levin Catholic Charities Neighborhood Services, Inc.",Northside Senior Center,112047151,4500,".00 To support educational and recreational health promotion activities for seniors. Ulrich Catholic Charities Neighborhood Services, Inc. - Ozone Park Senior Center"
,".00 To support educational and recreational health promotion activities for seniors. Ulrich Catholic Charities Neighborhood Services, Inc.",Ozone Park Senior Center,112047151,6000,".00 Funds will support the Ozone Park Senior Center's educational, recreational and health promotion activities, transportation needs by seniors and to provide support for general operations. Levin Catholic Charities Neighborhood Services, Inc. - Pete McGuinness Senior Center"
,".00 Funds will support the Ozone Park Senior Center's educational, recreational and health promotion activities, transportation needs by seniors and to provide support for general operations. Levin Catholic Charities Neighborhood Services, Inc.",Pete McGuinness Senior Center,112047151,4500,".00 To support CCNS Pete McGuinness Senior Center, which serves the elderly by providing enriched and diverse educational, recreational social activities, health promotion activities, nutritious meals, transportation and case assistance. Funds will be used Ulrich Catholic Charities Neighborhood Services, Inc. - Seaside Senior Center"
,".00 To support CCNS Pete McGuinness Senior Center, which serves the elderly by providing enriched and diverse educational, recreational social activities, health promotion activities, nutritious meals, transportation and case assistance. Funds will be used Ulrich Catholic Charities Neighborhood Services, Inc.",Seaside Senior Center,112047151,6000,".00 Funds will support the Seaside Senior Center's educational, recreational and health promotion activities, transportation needs by seniors and to provide support for general operations. Levin Catholic Charities Neighborhood Services, Inc. - St. Charles Jubilee Senior Center"
,".00 Funds will support the Seaside Senior Center's educational, recreational and health promotion activities, transportation needs by seniors and to provide support for general operations. Levin Catholic Charities Neighborhood Services, Inc.",St. Charles Jubilee Senior Center,112047151,4500,".00 To support CCNS St. Charles Jubilee Senior Center, which serves the elderly by providing enriched and culturally diverse educational/recreational/social activities, health promotion activities, nutritious meals, and case assistance. Funds will be used to Crowley Catholic Charities Neighborhood Services, Inc. - Woodhaven-Richmond Hill Senior Center"
,".00 To support CCNS St. Charles Jubilee Senior Center, which serves the elderly by providing enriched and culturally diverse educational/recreational/social activities, health promotion activities, nutritious meals, and case assistance. Funds will be used to Crowley Catholic Charities Neighborhood Services, Inc.",Woodhaven-Richmond Hill Senior Center,112047151,10000,".00 Funds will be used to support educational recreational and health promotion activities and to subsidize increased transportation needs of seniors at the Woodhaven facility. Ulrich Catholic Charities Neighborhood Services, Inc. - Woodhaven-Richmond Hill Senior Center"
,".00 Funds will be used to support educational recreational and health promotion activities and to subsidize increased transportation needs of seniors at the Woodhaven facility. Ulrich Catholic Charities Neighborhood Services, Inc.",Woodhaven-Richmond Hill Senior Center,112047151,31000,".00 Funds will support the Woodhaven - Richmond Hill Senior Center's educational, recreational and health promotion activities, transportation needs by seniors and to provide support for general operations. Constantinides Central Astoria Local Development Coalition, Inc. 112652331 * $7,000.00 Funds will be used to provide counseling and case work assistance to local seniors"
Rose,Central Family Life Center,"Seniors on the Move 133626127 * $20,000.00 Funds will support the administrative, staffing and operational costs associated with running the organization's senior programs. Page 5 Appendix A: Aging Discretionary Council Member Legal Name of Organization EIN * Amount CM Purpose of Funds Fiscal Conduit FC EIN Lancman Central Queens YM & YWHA, Inc.",111633509,5000,".00 Funding for a comprehensive array of programs and services to over senior adults within a stimulating and supportive environment that enhances independence, self-sufficiency, dignity and self-worth. Deutsch Children of World War II from the Former Soviet Union, Inc."
,".00 Funding for a comprehensive array of programs and services to over senior adults within a stimulating and supportive environment that enhances independence, self-sufficiency, dignity and self-worth. Deutsch Children of World War II from the Former Soviet Union, Inc.",,275377248,5500,.00 Funding will be used for cultural and educational events for seniors.
Treyger,"Children of World War II from the Former Soviet Union, Inc.",,275377248,4000,".00 Funding to support operating costs including excursions to cultural institution , health lectures, website updating, computer training of seniors, and lectures and meetings discussing world events and social needs. Menchaca Chinese American Planning Council, Inc. - CPC Brooklyn Senior Services"
,".00 Funding to support operating costs including excursions to cultural institution , health lectures, website updating, computer training of seniors, and lectures and meetings discussing world events and social needs. Menchaca Chinese American Planning Council, Inc.",CPC Brooklyn Senior Services,136202692,30000,".00 To supplement salary of case worker to provide advice and assistance to senior citizens, such as informing them and their families of services available and serving as an advocate/liaison in assisting seniors in obtaining necessary services."
Koo,"Chinese American Planning Council, Inc.",CPC Nan Shan Senior Center,136202692,19000,".00 To help support the Congregate Lunch Program operational costs at the Nan Shan Senior Center. Chin Chinese American Planning Council, Inc. - CPC Open Door Senior Center"
,".00 To help support the Congregate Lunch Program operational costs at the Nan Shan Senior Center. Chin Chinese American Planning Council, Inc.",CPC Open Door Senior Center,136202692,10000,".00 Funds will support CPC Open Door Senior Center which provides educational, physical, social and other programs and activities to seniors. Chin Chinese American Planning Council, Inc. - NY Chinatown Senior Citizen Center"
,".00 Funds will support CPC Open Door Senior Center which provides educational, physical, social and other programs and activities to seniors. Chin Chinese American Planning Council, Inc.",NY Chinatown Senior Citizen Center,136202692,10000,".00 The funding will support senior services including congregate lunches, educational and exercise classes and recreational activities and field trips at the Chinatown Senior Citizen Center Levin Circuit Productions, Inc."
,".00 The funding will support senior services including congregate lunches, educational and exercise classes and recreational activities and field trips at the Chinatown Senior Citizen Center Levin Circuit Productions, Inc.",,132881858,3500,".00 To support senior programming. Perkins Citizens Care Committee, Inc."
,".00 To support senior programming. Perkins Citizens Care Committee, Inc.",,136179568,30000,.00 Funding to support operating expenses related to Citizens Care Committee Senior Programs in CD09.
Levine,CityMeals on Wheels,,133634381,5000,.00 Funding to support the delivery of meals to homebound elderly in District 7. Garodnick CityMeals on Wheels
,.00 Funding to support the delivery of meals to homebound elderly in District 7. Garodnick CityMeals on Wheels,,133634381,5000,.00 Funding will support meal delivery services. Lander Coalition of Institutionalized Aged and Disabled
