category,agencies,initiative,amount
Speaker’s Initiative to Address Citywide Needs,DYCD,Big Brothers Big Sisters of New York City,1200000
Speaker’s Initiative to Address Citywide Needs,DYCD,Civic Education in New York City Schools,500000
Speaker’s Initiative to Address Citywide Needs,DYCD,COMPASS,1813600
Speaker’s Initiative to Address Citywide Needs,DYCD,Sports Training and Rolemodels for Success Initiative,1200000
Speaker’s Initiative to Address Citywide Needs,DYCD,Year-Round Employment Program,8000000
Speaker’s Initiative to Address Citywide Needs,DYCD,YouthBuild Project Initiative,2100000
Veteran Services,ACS,ACS Youth Health Initiative,500000
Veteran Services,DOHMH,Dedicated Contraceptive Fund,400000
Veteran Services,,H+H Expand Transgender Healthcare Training,150000
Veteran Services,MOCJ,Initiative for Immigrant Survivors of Domestic Violence,250000
Veteran Services,HRA,HRA Teen RAPP Enhancement,250000
Veteran Services,SIDA,Post-Arrest Diversion Program,1025000
Veteran Services,MOCJ,Prevent Sexual Assault (PSA) Initiative for Young Adults,225000
Veteran Services,MOCJ,Step In and Stop It Initiative to Address Bystander Intervention,154000
Veteran Services,DOE,Work-Based Learning Internships,600000
Veteran Services,HRA,Wrap-Around Support for Transitional-Aged Foster Youth,500000
Veteran Services,DYCD,Young Women's Leadership Development,946000
