year,category,category_canonical,initiative,initiative_canonical,award_type,member,organization,program,ein,amount,agency,purpose
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Koslowitz,"Catholic Charities Neighborhood Services, Inc.",,112047151,3500,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,initiative_provider,Ferreras,"Catholic Migration Services, Inc.",,112634818,10000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,initiative_provider,Lander,"Center for Anti-Violence Education (CAE, Inc., The)",,112444676,8000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,initiative_provider,,"Ignizio Center for Arts Education, Inc.",,133938080,4000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,initiative_provider,Constantinides,"Central Astoria Local Development Coalition, Inc.",,112652331,37500,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Williams,Central Brooklyn Legal Services Corp,,465144468,3500,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Rose,Central Family Life Center,,133626127,5000,,New York City Council Finance Division Page 11
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,initiative_provider,Lander,Chhaya Community Development Corporation,,113580935,7500,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Levine,"Children's Aid Society, The",,135562191,5000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Mark-Viverito,"Children's Aid Society, The",,135562191,20000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Rodriguez,"Children's Aid Society, The",,135562191,5000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Rose,"Children's Aid Society, The",,135562191,8000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Rose,Christ Church of New Brighton,,135596851,5000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,initiative_provider,Eugene,Church Avenue District Management Association,,112835403,4000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,initiative_provider,Johnson,Church of Holy Apostles,,132892297,15000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,initiative_provider,,Chin Church Street School of Music and Art,,133693660,10000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Mealy,"Citizens Committee for New York City, Inc.",,510171818,5000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,initiative_provider,,"Arroyo City Harvest, Inc.",,133170676,5000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Cumbo,"City Harvest, Inc.",,133170676,4500,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Garodnick,"City Harvest, Inc.",,133170676,3500,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Levine,"City Harvest, Inc.",,133170676,5000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Palma,"City Harvest, Inc.",,133170676,10000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Dickens,"Civic Association Serving Harlem, Inc. (CASH)",,133765625,5500,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,initiative_provider,Eugene,"Claire Heureuse Community Center, Inc.",,260364816,4000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Rose,College of Staten Island,,136400434,5000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,initiative_provider,,"Arroyo Committee for Hispanic Children and Families, Inc., The",,112622003,5000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,initiative_provider,Torres,"Committee for Hispanic Children and Families, Inc., The",,112622003,15000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,initiative_provider,,"Greenfield Community Center of the Rockaway Peninsula, Inc.",,113064561,10000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Ulrich,"Community Center of the Rockaway Peninsula, Inc.",,113064561,5000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,initiative_provider,Eugene,"Community Concerns Network, Inc.",,203419400,4000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Rose,Community Health Action of Staten Island,,133556132,15000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Levine,"Community League of the Heights, Inc.",,132564241,12500,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Rodriguez,"Community League of the Heights, Inc.",,132564241,20000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Dickens,"Connect, Inc.",,020694269,5000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Williams,"Council of Jewish Organizations of Flatbush, Inc.",,112864728,7000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,initiative_provider,Chin,"Council of Senior Centers and Services of New York City, Inc.",,132967277,5000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Kallos,"Council on the Environment, Inc.",,132765465,25000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Koslowitz,"Council on the Environment, Inc.",,132765465,3000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,initiative_provider,Gibson,"Crenulated Company LTD, The",,141719016,25000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,initiative_provider,,"Ignizio Cross-Road Foundation, Inc.",,133634741,3500,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Dickens,"Developing Opportunities Through Meaningful Education (DOME Project, Inc.)",,133060257,5000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Rosenthal,"Doe Fund, Inc., The",,133412540,5000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Levine,"Dominican Women's Development Center, Inc.",,133593885,5000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Cumbo,"Downtown Brooklyn Partnership, Inc.",,205323707,5000,,
