Fund,Department,Control Officer,Department ID,Short Title,Link to Website,Department Description,Adopted 2015,Itemized 2015,Adopted 2016,Itemized 2016,Adopted 2017,Itemized 2017,Adopted 2018,Itemized 2018,Adopted 2019,Itemized 2019,Adopted 2020,Itemized 2020,Adopted 2021,Itemized 2021,Adopted 2022,Itemized 2022,Adopted 2023,Itemized 2023,Adopted 2024,Itemized 2024,Adopted 2025,Itemized 2025,Adopted 2026,Itemized 2026,Adopted 2027,Itemized 2027
Education,Teacher's Choice,DOE,202,Teacher's Choice,,"“Teacher's Choice” — a Education discretionary initiative administered by DOE. FY2015 adopted: $6,085,000.",6085000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Education,Urban Advantage,DOE,203,Urban Advantage,,"“Urban Advantage” — a Education discretionary initiative administered by DOE. FY2015 adopted: $3,500,000.",3500000,3500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Environmental Initiatives,A Greener NYC,Multiple agencies,204,A Greener NYC,,"“A Greener NYC” — a Environmental Initiatives discretionary initiative administered by Multiple agencies. FY2027 adopted: $5,100,000.",750000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5100000,0,5100000,0,5100000,0,5100000,0,5100000,4545000
Environmental Initiatives,Access to Healthy Food and Nutritional Education,CUNY/DYCD,205,Access to Healthy Food and Nutritional Education,,"“Access to Healthy Food and Nutritional Education” — a Environmental Initiatives discretionary initiative administered by CUNY/DYCD. FY2022 adopted: $2,133,750.",0,0,0,0,0,0,0,0,1055000,0,2258750,0,2258750,2258750,2133750,0,0,0,0,0,0,0,0,0,0,0
Environmental Initiatives,BP- Brooklyn Brooklyn Borough President PS Enhancement,Unspecified agency,206,BP- Brooklyn Brooklyn Borough President PS Enhancement,,"“BP- Brooklyn Brooklyn Borough President PS Enhancement” — a Environmental Initiatives discretionary initiative administered by Unspecified agency. FY2018 adopted: $100,000.",0,0,0,0,100000,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Environmental Initiatives,Clerk City Clerk PS Enhancement,Unspecified agency,207,Clerk City Clerk PS Enhancement,,"“Clerk City Clerk PS Enhancement” — a Environmental Initiatives discretionary initiative administered by Unspecified agency. FY2018 adopted: $150,000.",0,0,0,0,150000,0,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Environmental Initiatives,Communities for Healthy Food,DYCD,208,Communities for Healthy Food,,"“Communities for Healthy Food” — a Environmental Initiatives discretionary initiative administered by DYCD. FY2016 adopted: $500,000.",0,0,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Environmental Initiatives,Community Composting,DSNY,209,Community Composting,,"“Community Composting” — a Environmental Initiatives discretionary initiative administered by DSNY. FY2027 adopted: $5,235,000.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6245000,4745000,6245000,0,5235000,5235000
Environmental Initiatives,Community Composting at Cultural Institutions Groups,DCLA,210,Community Composting at Cultural Institutions Groups,,"“Community Composting at Cultural Institutions Groups” — a Environmental Initiatives discretionary initiative administered by DCLA. FY2027 adopted: $1,010,000.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010000,1010000
Environmental Initiatives,EBTs and Food Markets,DYCD,211,EBTs and Food Markets,,"“EBTs and Food Markets” — a Environmental Initiatives discretionary initiative administered by DYCD. FY2016 adopted: $335,000.",0,0,335000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Environmental Initiatives,Earned Income Tax Credit,HRA,212,Earned Income Tax Credit,,"“Earned Income Tax Credit” — a Environmental Initiatives discretionary initiative administered by HRA. FY2016 adopted: $250,000.",0,0,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Environmental Initiatives,Expand Low-Income Farmers' Markets,DYCD,213,Expand Low-Income Farmers' Markets,,"“Expand Low-Income Farmers' Markets” — a Environmental Initiatives discretionary initiative administered by DYCD. FY2016 adopted: $95,000.",0,0,95000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Environmental Initiatives,Food Access and Benefits,HRA,214,Food Access and Benefits,,"“Food Access and Benefits” — a Environmental Initiatives discretionary initiative administered by HRA. FY2022 adopted: $1,500,000.",0,0,0,0,0,0,0,0,725000,0,725000,0,725000,0,1500000,0,0,0,0,0,0,0,0,0,0,0
Environmental Initiatives,Food Pantries,DYCD,215,Food Pantries,,"“Food Pantries” — a Environmental Initiatives discretionary initiative administered by DYCD. FY2022 adopted: $19,159,000.",0,0,1932000,0,0,0,0,0,4600000,0,5659000,0,5659000,0,19159000,0,0,0,0,0,0,0,0,0,0,0
Environmental Initiatives,Food Pantries and Technical Assistance,HRA,216,Food Pantries and Technical Assistance,,"“Food Pantries and Technical Assistance” — a Environmental Initiatives discretionary initiative administered by HRA. FY2016 adopted: $475,000.",0,0,475000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Environmental Initiatives,Halal and Kosher School Lunch Pilot,DCAS,217,Halal and Kosher School Lunch Pilot,,"“Halal and Kosher School Lunch Pilot” — a Environmental Initiatives discretionary initiative administered by DCAS. FY2019 adopted: $1,000,000.",0,0,0,0,0,0,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Environmental Initiatives,NYC Cleanup,Multiple agencies,218,NYC Cleanup,,"“NYC Cleanup” — a Environmental Initiatives discretionary initiative administered by Multiple agencies. FY2027 adopted: $14,280,000.",3500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14280000,0,14280000,0,14280000,12700000,14280000,14280000,14280000,13401000
Food Initiatives,Access Health,DOHMH,219,Access Health,,"“Access Health” — a Food Initiatives discretionary initiative administered by DOHMH. FY2022 adopted: $4,000,000.",0,0,0,0,1070000,0,1187000,0,0,0,0,0,2550000,685169,4000000,680888,0,0,0,0,0,0,0,0,0,0
Food Initiatives,Access to Healthy Food and Nutritional Education,Multiple agencies,220,Access to Healthy Food and Nutritional Education,,"“Access to Healthy Food and Nutritional Education” — a Food Initiatives discretionary initiative administered by Multiple agencies. FY2027 adopted: $2,133,750.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2133750,0,2133750,0,2133750,0,2133750,0,2133750,2133750
Food Initiatives,Amida Care Initiative,DYCD,221,Amida Care Initiative,,"“Amida Care Initiative” — a Food Initiatives discretionary initiative administered by DYCD. FY2015 adopted: $100,000.",100000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Food Initiatives,BP- Brooklyn Brooklyn Borough President PS Enhancement,Unspecified agency,222,BP- Brooklyn Brooklyn Borough President PS Enhancement,,"“BP- Brooklyn Brooklyn Borough President PS Enhancement” — a Food Initiatives discretionary initiative administered by Unspecified agency. FY2016 adopted: $100,000.",0,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Food Initiatives,Beating Hearts,DOHMH,223,Beating Hearts,,"“Beating Hearts” — a Food Initiatives discretionary initiative administered by DOHMH. FY2022 adopted: $350,000.",0,0,0,0,350000,0,350000,0,0,0,0,0,175000,0,350000,0,0,0,0,0,0,0,0,0,0,0
Food Initiatives,Cancer Services,DOHMH,224,Cancer Services,,"“Cancer Services” — a Food Initiatives discretionary initiative administered by DOHMH. FY2022 adopted: $599,500.",0,0,0,0,790500,0,790500,0,0,0,0,0,509575,0,599500,0,0,0,0,0,0,0,0,0,0,0
Food Initiatives,Child Health and Wellness,DOHMH,225,Child Health and Wellness,,"“Child Health and Wellness” — a Food Initiatives discretionary initiative administered by DOHMH. FY2022 adopted: $646,000.",0,0,0,0,646000,0,646000,0,0,0,0,0,549100,0,646000,0,0,0,0,0,0,0,0,0,0,0
Food Initiatives,Clerk City Clerk PS Enhancement,Unspecified agency,226,Clerk City Clerk PS Enhancement,,"“Clerk City Clerk PS Enhancement” — a Food Initiatives discretionary initiative administered by Unspecified agency. FY2016 adopted: $150,000.",0,0,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Food Initiatives,Community Boards Community Boards Enhancement,Unspecified agency,227,Community Boards Community Boards Enhancement,,"“Community Boards Community Boards Enhancement” — a Food Initiatives discretionary initiative administered by Unspecified agency. FY2020 adopted: $2,507,500.",0,0,0,0,0,0,0,0,2507500,0,2507500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Food Initiatives,Earned Income Tax Credit Assistance (Food Bank),HRA,228,Earned Income Tax Credit Assistance (Food Bank),,"“Earned Income Tax Credit Assistance (Food Bank)” — a Food Initiatives discretionary initiative administered by HRA. FY2015 adopted: $250,000.",250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Food Initiatives,Electronic Benefits Transfers at Food Markets,DYCD,229,Electronic Benefits Transfers at Food Markets,,"“Electronic Benefits Transfers at Food Markets” — a Food Initiatives discretionary initiative administered by DYCD. FY2015 adopted: $335,000.",335000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Food Initiatives,Ending the Epidemic,DOHMH,230,Ending the Epidemic,,"“Ending the Epidemic” — a Food Initiatives discretionary initiative administered by DOHMH. FY2022 adopted: $7,735,000.",0,0,0,0,5595000,0,6295000,0,0,0,0,0,6000000,0,7735000,0,0,0,0,0,0,0,0,0,0,0
Food Initiatives,Expand Low-Income Farmers' Markets,DYCD,231,Expand Low-Income Farmers' Markets,,"“Expand Low-Income Farmers' Markets” — a Food Initiatives discretionary initiative administered by DYCD. FY2015 adopted: $60,000.",60000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Food Initiatives,Feeding Our Communities,Multiple agencies,232,Feeding Our Communities,,"“Feeding Our Communities” — a Food Initiatives discretionary initiative administered by Multiple agencies. FY2027 adopted: $13,000,000.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000000,0,13000000,13000000
Food Initiatives,Food Access and Benefits,DSS/HRA,233,Food Access and Benefits,,"“Food Access and Benefits” — a Food Initiatives discretionary initiative administered by DSS/HRA. FY2027 adopted: $1,418,000.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500000,1116000,1500000,0,1500000,0,1418000,1418000,1418000,1418000
Food Initiatives,Food Pantries,DYCD,234,Food Pantries,,"“Food Pantries” — a Food Initiatives discretionary initiative administered by DYCD. FY2027 adopted: $10,467,000.",1320000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7630203,1000000,7260000,1059000,8260000,1059000,8467000,1266000,10467000,1266000
Food Initiatives,Food Pantries and Technical Assistance,HRA,235,Food Pantries and Technical Assistance,,"“Food Pantries and Technical Assistance” — a Food Initiatives discretionary initiative administered by HRA. FY2015 adopted: $250,000.",250000,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Food Initiatives,HIV/AIDS Faith Based,DOHMH,236,HIV/AIDS Faith Based,,"“HIV/AIDS Faith Based” — a Food Initiatives discretionary initiative administered by DOHMH. FY2022 adopted: $2,131,000.",0,0,0,0,1560000,0,1360000,0,0,0,0,0,961350,0,2131000,0,0,0,0,0,0,0,0,0,0,0
Food Initiatives,Maternal Health Services,DOHMH,237,Maternal Health Services,,"“Maternal Health Services” — a Food Initiatives discretionary initiative administered by DOHMH. FY2018 adopted: $1,192,818.",0,0,0,0,1430000,0,1192818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Food Initiatives,Maternal and Child Health Services,DOHMH,238,Maternal and Child Health Services,,"“Maternal and Child Health Services” — a Food Initiatives discretionary initiative administered by DOHMH. FY2022 adopted: $3,192,818.",0,0,0,0,0,0,0,0,0,0,0,0,1863895,0,3192818,0,0,0,0,0,0,0,0,0,0,0
Food Initiatives,Nurse Family Partnership,DOHMH,239,Nurse Family Partnership,,"“Nurse Family Partnership” — a Food Initiatives discretionary initiative administered by DOHMH. FY2018 adopted: $2,000,000.",0,0,0,0,2000000,0,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Food Initiatives,Public Health Funding Backfill,DOHMH,240,Public Health Funding Backfill,,"“Public Health Funding Backfill” — a Food Initiatives discretionary initiative administered by DOHMH. FY2022 adopted: $4,667,933.",0,0,0,0,0,0,0,0,0,0,0,0,3967743,0,4667933,0,0,0,0,0,0,0,0,0,0,0
Food Initiatives,Reproductive and Sexual Health Services,DOHMH,241,Reproductive and Sexual Health Services,,"“Reproductive and Sexual Health Services” — a Food Initiatives discretionary initiative administered by DOHMH. FY2022 adopted: $444,788.",0,0,0,0,260000,0,344788,0,0,0,0,0,378070,0,444788,0,0,0,0,0,0,0,0,0,0,0
Food Initiatives,Viral Hepatitis Prevention,DOHMH,242,Viral Hepatitis Prevention,,"“Viral Hepatitis Prevention” — a Food Initiatives discretionary initiative administered by DOHMH. FY2022 adopted: $1,923,658.",0,0,0,0,1186476,0,1423658,0,0,0,0,0,1635109,0,1923658,0,0,0,0,0,0,0,0,0,0,0
Government Officials,- Manhattan Manhattan Borough President PS Enhancement,BP,243,- Manhattan Manhattan Borough President PS Enhancement,,"“- Manhattan Manhattan Borough President PS Enhancement” — a Government Officials discretionary initiative administered by BP. FY2015 adopted: $100,000.",100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Officials,Access Health,DHMH,244,Access Health,,"“Access Health” — a Government Officials discretionary initiative administered by DHMH. FY2020 adopted: $3,000,000.",0,0,1000000,0,0,0,0,0,2500000,0,3000000,2500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Officials,Amida Care Initiative,DYCD,245,Amida Care Initiative,,"“Amida Care Initiative” — a Government Officials discretionary initiative administered by DYCD. FY2016 adopted: $100,000.",0,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Officials,Asthma Control Program,DOHMH,246,Asthma Control Program,,"“Asthma Control Program” — a Government Officials discretionary initiative administered by DOHMH. FY2016 adopted: $500,000.",0,0,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Officials,BP- Brooklyn Brooklyn Borough President PS Enhancement,Unspecified agency,247,BP- Brooklyn Brooklyn Borough President PS Enhancement,,"“BP- Brooklyn Brooklyn Borough President PS Enhancement” — a Government Officials discretionary initiative administered by Unspecified agency. FY2015 adopted: $100,000.",100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Officials,Beating Hearts,DHMH,248,Beating Hearts,,"“Beating Hearts” — a Government Officials discretionary initiative administered by DHMH. FY2020 adopted: $350,000.",0,0,350000,0,0,0,0,0,350000,0,350000,350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Officials,CUNY Research Institutes,CUNY,249,CUNY Research Institutes,,"“CUNY Research Institutes” — a Government Officials discretionary initiative administered by CUNY. FY2018 adopted: $2,140,000.",0,0,0,0,2140000,0,2140000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Officials,CUNY Technical Apprenticeship Program,CUNY,250,CUNY Technical Apprenticeship Program,,"“CUNY Technical Apprenticeship Program” — a Government Officials discretionary initiative administered by CUNY. FY2017 adopted: $50,000.",0,0,0,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Officials,Callen Lorde Health Center,DOHMH,251,Callen Lorde Health Center,,"“Callen Lorde Health Center” — a Government Officials discretionary initiative administered by DOHMH. FY2016 adopted: $500,000.",0,0,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Officials,Cancer Initiative,DOHMH,252,Cancer Initiative,,"“Cancer Initiative” — a Government Officials discretionary initiative administered by DOHMH. FY2016 adopted: $1,525,000.",0,0,1525000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Officials,Cancer Services,DHMH,253,Cancer Services,,"“Cancer Services” — a Government Officials discretionary initiative administered by DHMH. FY2020 adopted: $599,500.",0,0,0,0,0,0,0,0,599500,0,599500,599500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Officials,Child Health and Wellness,DHMH,254,Child Health and Wellness,,"“Child Health and Wellness” — a Government Officials discretionary initiative administered by DHMH. FY2020 adopted: $646,000.",0,0,0,0,0,0,0,0,646000,0,646000,646000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Officials,City Council Merit-Based Scholarships,Multiple agencies,255,City Council Merit-Based Scholarships,,"“City Council Merit-Based Scholarships” — a Government Officials discretionary initiative administered by Multiple agencies. FY2018 adopted: $14,924,669.",0,0,0,0,15375000,0,14924669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Officials,Clerk City Clerk PS Enhancement,Unspecified agency,256,Clerk City Clerk PS Enhancement,,"“Clerk City Clerk PS Enhancement” — a Government Officials discretionary initiative administered by Unspecified agency. FY2015 adopted: $150,000.",150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Officials,Creative Arts Team,CUNY,257,Creative Arts Team,,"“Creative Arts Team” — a Government Officials discretionary initiative administered by CUNY. FY2018 adopted: $400,000.",0,0,0,0,400000,0,400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Officials,End the Epidemic,DOHMH,258,End the Epidemic,,"“End the Epidemic” — a Government Officials discretionary initiative administered by DOHMH. FY2016 adopted: $3,900,000.",0,0,3900000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Officials,Ending the Epidemic,DHMH,259,Ending the Epidemic,,"“Ending the Epidemic” — a Government Officials discretionary initiative administered by DHMH. FY2020 adopted: $7,735,000.",0,0,0,0,0,0,0,0,6945000,0,7735000,7161200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Officials,Family Planning,DOHMH,260,Family Planning,,"“Family Planning” — a Government Officials discretionary initiative administered by DOHMH. FY2016 adopted: $350,000.",0,0,350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Officials,HIV Prevention - Behavioral Interventions,DOHMH,261,HIV Prevention - Behavioral Interventions,,"“HIV Prevention - Behavioral Interventions” — a Government Officials discretionary initiative administered by DOHMH. FY2016 adopted: $2,716,000.",0,0,2716000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Officials,HIV Prevention and Literacy - Seniors,DOHMH,262,HIV Prevention and Literacy - Seniors,,"“HIV Prevention and Literacy - Seniors” — a Government Officials discretionary initiative administered by DOHMH. FY2016 adopted: $400,000.",0,0,400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Officials,HIV/AIDS Communities of Color,DOHMH,263,HIV/AIDS Communities of Color,,"“HIV/AIDS Communities of Color” — a Government Officials discretionary initiative administered by DOHMH. FY2016 adopted: $1,225,000.",0,0,1225000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Officials,HIV/AIDS Faith Based,DHMH,264,HIV/AIDS Faith Based,,"“HIV/AIDS Faith Based” — a Government Officials discretionary initiative administered by DHMH. FY2020 adopted: $1,131,000.",0,0,1500000,0,0,0,0,0,1131000,0,1131000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Officials,"Healthy Women, Healthy Future – DOULA Services",DOHMH,265,"Healthy Women, Healthy Future – DOULA Services",,"“Healthy Women, Healthy Future – DOULA Services” — a Government Officials discretionary initiative administered by DOHMH. FY2016 adopted: $300,000.",0,0,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Officials,Hepatitis B/C,DOHMH,266,Hepatitis B/C,,"“Hepatitis B/C” — a Government Officials discretionary initiative administered by DOHMH. FY2016 adopted: $975,000.",0,0,975000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Officials,Infant Mortality Reduction,DOHMH,267,Infant Mortality Reduction,,"“Infant Mortality Reduction” — a Government Officials discretionary initiative administered by DOHMH. FY2016 adopted: $2,500,000.",0,0,2500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Officials,Injection Drug Users Health Alliance (IDUHA),DOHMH,268,Injection Drug Users Health Alliance (IDUHA),,"“Injection Drug Users Health Alliance (IDUHA)” — a Government Officials discretionary initiative administered by DOHMH. FY2016 adopted: $1,000,000.",0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Officials,Joseph S. Murphy Institute Center for Worker Education,CUNY,269,Joseph S. Murphy Institute Center for Worker Education,,"“Joseph S. Murphy Institute Center for Worker Education” — a Government Officials discretionary initiative administered by CUNY. FY2017 adopted: $300,000.",0,0,0,0,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Officials,Maternal and Child Health Services,DHMH,270,Maternal and Child Health Services,,"“Maternal and Child Health Services” — a Government Officials discretionary initiative administered by DHMH. FY2020 adopted: $2,192,818.",0,0,0,0,0,0,0,0,1692818,0,2192818,1631117,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Officials,Murphy Institute for Worker Education,CUNY,271,Murphy Institute for Worker Education,,"“Murphy Institute for Worker Education” — a Government Officials discretionary initiative administered by CUNY. FY2018 adopted: $940,000.",0,0,0,0,0,0,940000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Officials,NYU – Mobile Dental Van,DOHMH,272,NYU – Mobile Dental Van,,"“NYU – Mobile Dental Van” — a Government Officials discretionary initiative administered by DOHMH. FY2016 adopted: $268,000.",0,0,268000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Officials,Obesity Prevention,DOHMH,273,Obesity Prevention,,"“Obesity Prevention” — a Government Officials discretionary initiative administered by DOHMH. FY2016 adopted: $1,300,000.",0,0,1300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Officials,Public Health Funding Backfill,DHMH,274,Public Health Funding Backfill,,"“Public Health Funding Backfill” — a Government Officials discretionary initiative administered by DHMH. FY2020 adopted: $6,000,000.",0,0,0,0,0,0,0,0,0,0,6000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Officials,Remediation Programs,CUNY,275,Remediation Programs,,"“Remediation Programs” — a Government Officials discretionary initiative administered by CUNY. FY2018 adopted: $2,000,000.",0,0,0,0,0,0,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Officials,Reproductive and Sexual Health Services,DHMH,276,Reproductive and Sexual Health Services,,"“Reproductive and Sexual Health Services” — a Government Officials discretionary initiative administered by DHMH. FY2020 adopted: $594,788.",0,0,0,0,0,0,0,0,344788,0,594788,344788,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Officials,Viral Hepatitis Prevention,DHMH,277,Viral Hepatitis Prevention,,"“Viral Hepatitis Prevention” — a Government Officials discretionary initiative administered by DHMH. FY2020 adopted: $1,923,658.",0,0,0,0,0,0,0,0,1923658,0,1923658,1923658,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Health Services,Abortion Access Fund,DHMH,278,Abortion Access Fund,,"“Abortion Access Fund” — a Health Services discretionary initiative administered by DHMH. FY2027 adopted: $850,000.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,850000,0,850000,0,850000,0,850000,850000
Health Services,Access Health,DHMH,279,Access Health,,"“Access Health” — a Health Services discretionary initiative administered by DHMH. FY2027 adopted: $3,620,210.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3699179,0,3620210,0,3620210,0,3620210,0,3620210,3620210
Health Services,CUNY Child Care,CUNY,280,CUNY Child Care,,"“CUNY Child Care” — a Health Services discretionary initiative administered by CUNY. FY2019 adopted: $600,000.",0,0,0,0,0,0,0,0,600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Health Services,CUNY Child Care Expansion,CUNY,281,CUNY Child Care Expansion,,"“CUNY Child Care Expansion” — a Health Services discretionary initiative administered by CUNY. FY2022 adopted: $600,000.",0,0,0,0,0,0,0,0,0,0,600000,0,510000,0,600000,0,0,0,0,0,0,0,0,0,0,0
Health Services,CUNY Diversity Incubator,CUNY,282,CUNY Diversity Incubator,,"“CUNY Diversity Incubator” — a Health Services discretionary initiative administered by CUNY. FY2022 adopted: $500,000.",0,0,0,0,0,0,0,0,0,0,500000,0,425000,0,500000,0,0,0,0,0,0,0,0,0,0,0
Health Services,CUNY Research Institutes,CUNY,283,CUNY Research Institutes,,"“CUNY Research Institutes” — a Health Services discretionary initiative administered by CUNY. FY2022 adopted: $4,500,000.",0,0,0,0,0,0,0,0,3170000,0,3170000,0,2344250,0,4500000,2250000,0,0,0,0,0,0,0,0,0,0
Health Services,CUNY School of Labor and Urban Studies (SLU),CUNY,284,CUNY School of Labor and Urban Studies (SLU),,"“CUNY School of Labor and Urban Studies (SLU)” — a Health Services discretionary initiative administered by CUNY. FY2022 adopted: $1,200,000.",0,0,0,0,0,0,0,0,0,0,0,0,1020000,0,1200000,0,0,0,0,0,0,0,0,0,0,0
Health Services,CUNY Technical Apprenticeship Program,CUNY,285,CUNY Technical Apprenticeship Program,,"“CUNY Technical Apprenticeship Program” — a Health Services discretionary initiative administered by CUNY. FY2016 adopted: $50,000.",0,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Health Services,Cancer Services,DHMH,286,Cancer Services,,"“Cancer Services” — a Health Services discretionary initiative administered by DHMH. FY2027 adopted: $743,908.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743908,0,743908,743908,743908,743908,743908,743908,743908,743908
Health Services,Center for Puerto Rican Studies,CUNY,287,Center for Puerto Rican Studies,,"“Center for Puerto Rican Studies” — a Health Services discretionary initiative administered by CUNY. FY2016 adopted: $970,000.",0,0,970000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Health Services,Child Health and Wellness,DHMH,288,Child Health and Wellness,,"“Child Health and Wellness” — a Health Services discretionary initiative administered by DHMH. FY2025 adopted: $664,719.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664719,664719,664719,364719,664719,664719,0,0,0,0
Health Services,Children and Families in NYC Homeless System,DHS,289,Children and Families in NYC Homeless System,,"“Children and Families in NYC Homeless System” — a Health Services discretionary initiative administered by DHS. FY2018 adopted: $1,000,000.",0,0,0,0,1000000,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Health Services,City Council Merit-Based Scholarships,CUNY,290,City Council Merit-Based Scholarships,,"“City Council Merit-Based Scholarships” — a Health Services discretionary initiative administered by CUNY. FY2016 adopted: $17,000,000.",0,0,17000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
