item_number,agency_name,agency_code,units_of_appropriation,num_units,report_deadlines,coverage_period,condition_text
11,Department of Citywide Administrative Services,856,290,1,"July 1, 2021; June 30, 2022; November 15, 2022","July 1, 2021 to June 30","As a condition of the funds in unit of appropriation number 290, the Department of Citywide Administrative Services (“DCAS”) shall submit an annual report to the Council regarding School Safety Guard reimbursement required pursuant to Local Law 2 of 2016. Such report shall provide: 1) the headcount of school safety guards, disaggrega ted by school, 2) the hours and amounts reimbursed, disaggregated by school, 3) the number of schools that have applied for the program and the number of schools that were enrolled in the program, 4) a description of the methodology used to set the level of reimbursable hours with an explanation of any changes made to that level in the prior year. The report shall be submitted on or before November 15, 2022 and shall cover the period beginning July 1, 2021 and ending June 30, 2022."
12,Department of Correction,072,002; 003,2,"December 31, 2022; January 1, 2023; January 15, 2023; July 1, 2022; July 15, 2023; June 30, 2023","July 1, 2022 to December 31","As a condition of the funds in unit of appropriation numbers 002 and 003, the Department of Correction (“DOC”) shall provide semi -annual headcount reports to the Council detailing the number of uniformed officers that perform duties that do not require uniformed expertise and are traditionally and primarily performed by civilian personnel. Such reports shall be disaggregated by rank, and shall include the salary range, average salary, and title of the civilian positions in which the uniformed officers are working. The semi-annual reports shall be submitted as follows: the first report shall be submitted on or before January 15, 2023 and shall cover the period beginning July 1, 2022 and ending December 31, 2022. The second report shall be submitted on or before July 15, 2023 and shall cover the period beginning January 1, 2023 and ending June 30, 2023."
13,Department of Correction,072,001; 002; 003; 004,4,"October 15, 2022",,"As a condition of the funds in unit of appropriation numbers 001, 002, 003, and 004, the Department of Correction (“DOC”) shall submit to the Council, no later than October 15, 2022, a report detailing the demographics of uniformed personnel, including gender, race , and ethnicity. Such information shall be disaggregated by rank, gender, race, and ethnicity."
14,Department of Correction,072,001; 002; 003; 004,4,"April 1, 2023; December 15, 2022; December 31, 2022; January 1, 2023; July 1, 2022; June 15, 2023; June 30, 2023; March 15, 2023; March 31, 2023; October 1, 2022; September 15, 2023; September 30, 2022","July 1, 2022, to September 30","As a condition of the funds in unit of appropriation numbers 001, 002, 003, and 004 the Department of Correction shall provide quarterly reports to the Council detailing the following information relating to leave: (1) average number of officers per day who are on medical leave (including new medical leave, continued medical leave, and indefinite medical leave); (2) officers on medically monitored return; (3) aggregate data by category of cases that have been closed through Trials or OATH; and (4) average number of home checks per day. Such quarterly reports shall be submitted as follows: (i) for the period beginning July 1, 2022, and ending September 30, 2022, such report shall be submitted by December 15, 2022; (ii) for the period beginning October 1, 2022, and ending December 31, 2022, the report shall be submitted by March 15, 2023; (iii) for the period beginning January 1, 2023, and ending March 31, 2023, the report shall be submitted by June 15, 2023; and (iv) for the period beginning April 1, 2023, and ending June 30, 2023, the report shall be submitted by September 15, 2023."
15,Department of Correction,072,001; 002; 003; 004,4,"April 1, 2023; December 15, 2022; January 1, 2023; July 1, 2022; June 15, 2023; June 30, 2023; March 15, 2023; March 31, 2023; October 1, 2022; September 15, 2023; September 30, 2022","July 1, 2022, to September 30","As a condition of the funds in unit of appropriation numbers 001, 002, 003, and 004, the Department of Correction shall provide quarterly reports to the Council detailing the average Department-wide unstaffed posts per day for the reporting period. Such quarterly reports shall be submitted as follows: (i) for the period beginning July 1, 2022, and ending September 30, 2022, such report shall be submitted by December 15, 2022; (ii) for the period beginning October 1, 2022, and ending Dec ember 31, 2022, the report shall be submitted by March 15, 2023; (iii) for the period beginning January 1, 2023, and ending March 31, 2023, the report shall be submitted by June 15, 2023; and (iv) for the period beginning April 1, 2023, and ending June 30, 2023, the report shall be submitted by September 15, 2023."
16,Department of Cultural Affairs,126,003,1,"December 15, 2023",,"As a condition of the funds in unit of appropriation number 003, the Department of Cultural Affairs shall submit to the Council, no later than December 15, 2023, a report on the total amount of grants awarded in Fiscal 2023, the amount of each award, and the demographics of the organization that received the grant including , but not limited to , size of the organization, location of the organization, and type of organization (dance, visual art, performing art, etc.)."
17,Department of Education,040,436,1,,,"As a condition of the funds in unit of appropriation number 436, the Department of Education (“DOE”) shall submit to the Council, no later than September 30, 202 2, an annual report on the New York City School Support Services (“ NYCSSS”) budget for Fiscal 2023, including a headcount breakdown disaggregated by title, full -time staff, and part-time staff. The DOE shall provide a breakdown of the budget by the following categories: regular school day, emergency work, extended use, administration, spending and headcount, as well as building -based custodial budgets. In addition, the DOE shall provide a breakdown of the budget by the following categories: contractually-mandated, program-related, need-based, and fringe."
18,Department of Education,040,436,1,"June 1, 2023",,"As a condition of the funds in unit of appropriation number 436, the Department of Education (“DOE”) shall submit to the Council, no later than June 1, 2023, a report by school building detailing the number and type of science laboratories available, disaggregated by type, such as STEAM/STEM, demonstration, full, and other science laboratories."
19,Department of Education,040,401; 402; 403; 404; 415; 416; 453; 454; 481; 482,10,"January 31, 2023",,"As a condition of the funds in unit of appropriation numbers 401, 402, 403, 404, 415, 416, 453, 454, 481, and 482, the Department of Education (“DOE”) shall submit to the Council, no later than January 31, 2023, a list of every community school, including the school name and DBN, as well as a list of the community school core programs with the budgeted amount for such core programs for each school. Such report shall be disaggregated by services provided by the DOE and those provided through a contracted community-based organization."
20,Department of Education,040,436,1,"August 1, 2023; December 31, 2022; January 1, 2023; July 1, 2022; June 30, 2023; March 1, 2023","January 1, 2023 to June 30","As a condition of the funds in unit of appropriation number 436, the Department of Education (""DOE"") shall submi t semi -annual reports to the Council regarding charter matching projects, including a list of all charter matching projects and the amount spent on each project, with a breakdown of expense and capital spending. For any charters where the school's expenditures and the DOE's match obligation do not match, DOE shall provide an explanation as to why it does not. The semi-annual reports shall be submitted as follows: the first report shall be submitted no later than March 1, 2023 and shall cover the period begi nning July 1, 2022 and ending December 31, 2022. The second report shall be submitted no later than August 1, 2023 and shall cover the period beginning January 1, 2023 and ending June 30, 2023."
21,Department of Education,040,406; 444,2,"January 31, 2023",,"As a condition of the funds in unit of appropriation numbers 406 and 444, the Department of Education (“DOE”) shall submit to the Council, no later than January 31, 2023, a report on the number of leases held by DOE and by a charter school for which the charter school is paid a lease subsidy by DOE. For each lease held by DOE, such report shall include: 1) the building identification code; 2) the address; 3) the start and end dates of the lease; 4) the annual cost of the lease; 5) the occupant of the leased space; 6) the budget code; 7) the building use; and 8) actual spending per lease in Fiscal 202 3. For each lease held by a charter school for which the charter school is paid a lease subsidy by DOE, the report shall include, for each building: 1) the names of the charter school and charter operator; 2) the address; 3) the start and end dates of the lease, 4) the annual cost of the charter school's lease for the current fiscal year; 5) the annual cost of the lease DOE is obligated to pay for; 6) the total lease payments from DOE to date; 7) the projected total lease payments from DOE; 8) the per pupil cost of the lease to DOE; and 9) the owner of the property the charter school is leasing from."
22,Department of Education,040,401; 403; 407; 409; 415; 481,6,"March 15, 2023; November 15, 2022",,"As a condition of the funds in unit of appropriation numbers 401, 403, 407, 409, 415, and 481, the Department of Education (“DOE”) shall submit semi-annual headcount reports to the Council that lists school-based staff by title and Borough Field Support Center-based staff by title. Additionally, DOE must report on staff by title for all pre- kindergarten staff in DOE facilities and non -DOE facilities. DOE must also report on the total number of school nurses and identify how many of these nurses are funded by the DOE, how many are contracted through DOE, and how many are funded by the Department of Health and Mental Hygiene (“DOHMH”). DOE must also report on the total number of school based social workers funded centrally , as well as the total number of social workers hired by individual schools. The semi-annual reports shall be submitted as follows: the first report shall be submitted no later than November 15, 2022 and the second report shall be submitted no later than March 15, 2023."
23,Department of Education,040,406,1,"December 1, 2022; June 1, 2023",,"As a condition of the funds in unit of appropriation number 406, the Department of Education (“DOE”) shall submit to the Council a semi -annual list detailing the total number of charter schools, listed by name and address, funded in such unit of appropriation. Such list shall also contain the total number of enrolled students in each charter school, disaggregated by grade. The semi-annual list shall also contain the following information for all charter schools funded in such unit of appropriation, in the aggregate: 1) the total number of enrolled students, disaggregated by grade; 2) the total number of enrolled Special Education students, disaggregated by grade; 3) the total number of enrolled General Education students, disaggregated by grade; 4) the total number of enrolled English Language Learner students , disaggregated by grade; 5) the total number of students provided free or reduced price school lunches, disaggregated by grade; and 6) the total sum of year -end projected payments, disaggregated by payments for general education students and payments for special education students with the payments for special education students further disaggregated by tuition payment category. The first list shall be submitted no later than December 1, 2022 and the second list shall be submitted no later than June 1, 2023."
24,Department of Education,040,All,1,,,"As a condition of the funds in all the units of appropriation associated with the Department of Education (“DOE”), the DOE shall issue the Financial Status Reports for the following dates: FINANCIAL STATUS REPORT REPORT CONTENT ISSUE DATE ANTICIPATED MEETING DATE SEPTEMBER 2022 FY 2023 FSROpening Condition October 2nd October 27th OCTOBER 2022 FY 2022 Year-End Close November 5th December 3rd DECEMBER 2022 FY 2022 FSR Update; FY 2023 November Plan Summary December 8th January 14th FEBRUARY 2023 FY 2023 FSR Update, including Fiscal Analysis; FY 2024 Preliminary Budget Summary February 11th March 11th MARCH 2023 FY 2023 FSR Update, including Fiscal Analysis; FY 2024 Preliminary Budget Summary April 8th May 6th MAY 2023 FY2023 FSR Update, including Fiscal Analysis; FY 2024 Executive Budget Summary May 24th June 15th"
25,Department of Education,040,481,1,"June 30, 2023",,"As a condition of the funds in unit of appropriation number 481, the Department of Education (“DOE”) shall submit to the Council, no later than June 30, 2023, an annual report on adult literacy programs offered directly by, or pursuant to a contract with the City. Such report shall include: 1) the number of adult literacy programs offered, disaggregated by those issued directly by the Department of Education DOE and those provided pursuant to contract; 2) the number of applicants who applied to such programs; 3) the total number of enrolled students in such programs; 4) the average retention for such programs; and 5) student outcomes of such programs."
26,Department of Education,040,438,1,"December 31, 2022; January 1, 2023; January 15, 2023; July 15, 2023; June 30, 2023; September 1, 2022","September 1, 2022 to December 31","As a condition of the funds in unit of appropriation number 438, the Department of Educ ation (“DOE”) shall submit to the Council semi-annual reports on busing provided for students living in shelters. Such reports shall detail the number of students who have been routed and a snapshot of the number of students who are waiting to be routed. T he semi-annual reports shall be submitted as follows: the first report shall be submitted no later than January 15, 2023 and shall cover the period beginning September 1, 2022 and ending December 31, 2022. The second report shall be submitted no later than July 15, 2023 and shall cover the period beginning January 1, 2023 and ending June 30, 2023."
27,Department of Education,040,407; 408; 409; 410; 470,5,"February 28, 2023; May 24, 2023",,"As a condition of the funds in unit of appropriation numbers 407, 408, 409, 410, and 470, the Department of Education (“DOE”) shall submit to the Council a semi-annual report on Universal Prekindergarten, 3K for All, and Early Childhood Education enrollment disaggregated by school district and program detailing the number of students enrolled in each full -day program broken down by special education and non-special education students, the number of students enrolled in each half -day program by special education and non- special education students, and the total capacity of each facility. The first report shall be submitted no la ter than February 28, 2023 and include preliminary enrollment data. The second semi report shall be submitted no later than May 24, 2023 and include final enrollment data."
28,Department of Education,040,439; 440,2,"April 1, 2023",,"As a condition of the funds in unit of appropriation numbers 439 and 440, the Department of Education (“DOE”) shall submit to the Council, no later than April 1, 2023, a report detailing, for each school: 1) the total number of breakfasts served disaggregated between those served in the cafeteria and those not served in the cafeteria; 2) the total number of lunches served disaggregated by traditional, halal, and kosher meals; 3) the total number of summer meals served; 4) the number and percentage of students who completed and submitted lunch forms and/or an alternative income form; and 5) the participation rates – average meals per dayfor breakfast, lunch, and summer meals. In addition, the report must provide: 6) the total average cost per meal for breakfasts served disaggregated between those served in the cafeteria and those not served in the cafeteria; 7) the total average cost per meal for lunches served disaggregated by traditional, halal, and kosher meals; and 8) the total average cost per sum mer meal served. Additionally, such report shall include: 1) the number of grab and go meals served during the COVID -19 pandemic, broken out by meals served to children and meals served to adults; 2) the total number of kosher and halal meals served disaggregated by child and adult meals; and 3) the total average cost per such meals."
29,Department of Education,040,401; 402; 481; 482,4,"November 1, 2022",,"As a condition of the funds in unit of appropriation numbers 401, 402, 481 and 482, the Department of Education (“DOE”) shall submit to the Council , no later than November 1, 2022, a report on the Public Schools Athletic League summer enrollment and attendance, disaggregated by school district, student grade level, and by special education and non-special education students."
30,Department of Finance,836,001; 011,2,"April 1, 2022; March 31, 2023; May 1, 2023","April 1, 2022 to on March 31","As a condition of the funds in unit of appropriation numbers 001 and 011, the D epartment of Finance (“DOF”) shall submit to the Council, no later than May 1, 2023, an annual report detailing the number and nature of inquiries received by the Taxpayer Advocate regarding property tax exemptions or business tax exemptions, whichever is applicable. Such report shall also include the number, nature, and resolution of complaints received by the Taxpayer Advocate; any recommendations made by the Taxpayer Advocate to the commissioner; the acceptance and denial rates of such recommendations by the commissioner; and the number and nature of inquiries referred to the Taxpayer Advocate by the ombudspersons at the Department; the number and nature of inquiries referred to the Taxpayer Advocate by 311. Such report shall cover the period beginning April 1, 2022 and ending on March 31, 2023."
31,Department of Health and Mental Hygiene,816,102; 112,2,"December 30, 2022; June 30, 2023; March 1, 2022; March 31, 2023",,"As a condition of funds in unit of appropriation numbers 102 and 112, the Department of Health and Mental Hygiene (“DOHMH”) shall submit to the Council a semi -annual report detailing the number of new infections other than COVID -19. The report shall provide the number of new infections for tuberculosis, HIV/AIDS, viral hepatitis, and measles. Additionally, the rep ort shall include a rate comparison for the past two years. Such reports shall c over the period of March 1, 2022 through March 31, 2023 and shall be submitted by December 30, 2022 and June 30, 2023."
32,Department of Health and Mental Hygiene,816,104; 114,2,"December 31, 2022; January 1, 2023; July 1, 2022; June 30, 2023; March 30, 2023; September 30, 2023","July 1, 2022 to December 31","As a condition of the funds in unit of appropriation numbers 104 and 114, the Department of Health and Mental Hygiene shall submit to the Council reports on spending of City funds from Animal Care Centers, including, but not limited to, number of staff in each center. Such reports shall be submitted as follows: (i) for the period beginning July 1, 2022 and ending December 31, 2022, the report shall be submitted by March 30, 2023; and (ii) for the period beginning January 1, 2023 and ending June 30, 2023, the report shall be submitted by September 30, 2023."
33,Department of Health and Mental Hygiene,816,103; 113; 423; 424; 001,5,"April 1, 2023; August 1, 2023; December 31, 2022; February 1, 2023; January 1, 2023; July 1, 2022; June 30, 2023; March 31, 2023; May 1, 2023; November 1, 2022; October 1, 2022; September 30, 2022","July 1, 2022 to September 30","As a condition of funds in unit of appropriation numbers 103 and 113 in the Department of Health and Mental Hygiene’s (“ DOHMH”) budget, unit of appropriation numbers 423 and 424 in the Department of Education’s (“DOE”) budget, and unit of appropriation number 001 in the Health and Hospitals Corporation’s ( “H+H”) budget, DOHMH, DOE and H+H shall submit to the Council quarterly reports identifying the number of full-time equivalent employees and contracted nurses hired by each agency, disaggregated by title if applicable, the salary range, and a listing of schools being served. These quarterly reports shall be submitted on: (i) November 1, 2022, covering the period beginning July 1, 2022 and ending September 30, 2022; (ii) February 1, 2023, covering the period beginning October 1, 2022 and ending December 31, 2022; (iii) May 1, 2023, covering the period beginning January 1, 2023 and ending March 31, 2023; and (iv) August 1, 2023, covering the period beginning April 1, 2023 and ending June 30, 2023."
34,Department of Homeless Services,071,100; 102; 200; 202,4,,,"As a condition of the funds in unit of appropriation numbers 100, 102, 200, and 202, the Department of Homeless Services (“DHS”) shall submit to the Council , within 90 days after the release of each financial plan, data regarding services and shelters targeted to the street homeless population. Such reports shall include the following: (1) new placements into low -barrier shelter beds (i.e., safe haven beds, stabilization beds, etc.); (2) the average monthly occupancy for lowbarrier shelter beds; and (3) the average capacity for drop-in centers."
35,Department of Housing Preservation and Development,806,004; 009; Budget Line HD-0009 – All Projects,3,"July 1, 2021; June 30, 2022; October 15, 2022","on July 1, 2021 to on June 30","As a condition of the funds in unit of appropriation numbers 004 and 009 and budget line HD0009, the Department of Housing Preservation and Development (“HPD”) shall submit to the Council, no later than October 15, 2022, a report detailing the number of buildings in the Article 7A program and the expenditure amount at each building. Such report shall cover the period beginning on July 1, 2021 and ending on June 30, 2022."
36,Department of Housing Preservation and Development,806,004; 011,2,"July 1, 2022; July 15, 2023; June 30, 2023","on July 1, 2022 to on June 30","As a condition of the funds in unit of appropriation numbers 004 and 011, the Department of Housing Preservation and Development (“HPD”) shall submit to the Coun cil, no later than July 15, 2023, a report on the Underlying Conditions Program. Such report shall include the number of underlying conditions issued by HPD, the address of each building to which an underlying condition was issued, and the result of each order that was issued. Such report shall cover the period beginning on July 1, 2022 and ending on June 30, 2023."
37,Department of Sanitation,827,101; 102; 103; 104; 105; 107,6,"October 15, 2022",,"As a condition of the funds in unit of appropriation numbers 101, 102, 103, 104, 105, and 107, the Department of Sanitation (“DSNY”) shall submit to the Council, no later than October 15, 2022, a report detailing the demographics of uniformed personnel, including gender and race. Such information shall be disaggregated by rank, gender, and race."
38,Department of Sanitation,827,101; 102; 109; 110,4,"December 31, 2022; January 1, 2023; January 15, 2023; July 1, 2022; July 15, 2023; June 30, 2023","July 1, 2022 to December 31","As a condition of the funds in unit of appropriation numbers 101, 102, 109 and 110, the Department of Sanitation shall submit to the Council semi -annual reports regarding the school organics collection program. Such report shall include the following information: 1) the number of schools added to the program disaggregated by type of school, name, address, borough, date added, and route; 2) the tonnage of organics collected on each route; and 3) a description of the organics education and outreach conducted at each school that is part of the program. Such semi -annual reports shall be submitted as follows: (i) for the period beginning July 1, 2022 and ending December 31, 2022, the report shall be submitted by January 15, 2023; and (ii) for the period beginning January 1, 2023 and ending June 30, 2023, the report shall be submitted by July 15, 2023."
39,Department of Sanitation,827,102; 109,2,"January 31, 2023",,"As a condition of the funds in unit of appropriation numbers 102 and 109, the Department of Sanitation shall submit to the Council, no later than January 31, 2023, a report detailing the number of weekly litter basket pick-ups disaggregated by Community District."
40,Department of Sanitation,827,101; 102; 106,3,"May 1, 2023",,"As a condition of the funds in unit of appropriation numbers 101, 102, and 106, the Department of Sanitation shall submit to the Council, no later than May 1, 2023, a report on how many public waste containers were placed in Fiscal 2023 and the location of each such container."
41,Department of Small Business Services,801,006,1,"December 31, 2022; January 1, 2021; January 31, 2023",,"As a condition of the funds in unit of appropriation 006 in the budget of the Department of Small Business Services (“SBS”), the Economic Development Corporation (“EDC”) shall submit to the Council an annual report regarding NYC Ferry. The annual report shall include: 1) current route map and list of routes and landings served; 2) annual ridership by routes; 3) systemwide On-Time Performance as reported by the Operator; 4) latest demographic information available for ferry riders including percent identifying as New Yorkers; 5) the number and class of vessels currently in the NYC Ferry fleet including their passenger capacity; 6) a breakdown of city capital spending for any major facility completed in the prior year (landings, maintenance facilities, etc); 7) the total city capital spending for any vessel built or acquired in the prior year; and 8) the systemwide subsidy from the prior fiscal year. Such report shall be submitted on January 31, 2023, and except where noted shall cover the period from January 1, 2021 to December 31, 2022."
42,Department of Small Business Services,801,002,1,"January 15, 2023; July 1, 2021; June 30, 2022","on July 1, 2021 to on June 30","As a condition of the funds in unit of appropriation number 002, the Department of Small Business Services (“SBS”) shall submit to the Council, no later than January 15, 2023, a report detailing the number of small businesses served through SBS’s Commercial Lease Assistance P rogram, disaggregated by borough. The report shall also include a description of the various types of assistance provided to small businesses through the program. Such report shall cover the period beginning on July 1, 2021 and ending on June 30, 2022."
43,Department of Small Business Services,801,010; 011,2,"April 15, 2023; February 28, 2023; July 1, 2022","on July 1, 2022 to on February 28","As a condition of the funds in unit of appropriation numbers 010 and 011, the Department of Small Business Services (“SBS”) shall provide to the Counc il, no later than April 15, 2023, a report detailing the: 1) number of registrants placed at jobs; 2) zip codes in which registrants placed at jobs reside; 3) job category/job classification of job placements (direct managed hires or selfplacement); 4) industry of job placement; and 5) average hourly wage at placement. Such report shall cover the period beginning on July 1, 2022 and ending on February 28, 2023."
44,Department of Social Services,069,105; 205,2,,,"As a condition of the funds in unit of appropriation numbers 105 and 205, the Human Resources Administration (“HRA”) and the Mayor’s Office to End Domestic and Gender -Based Violence (“ENDGBV”) shall work collaboratively to submit to the Council a report that reflects the ENDGBV funding in its entirety including the total budget of ENDGBV, the total budget by program area, and the total headcount for ENDGBV. Such report shall be submitted within ten days of each financial plan release."
45,Department of Youth and Community Development,260,312,1,"August 1, 2022",,"As a condition of the funds in unit of appropriation number 312, the Department of Youth and Community Development (“DYCD”) shall provide a report to the Council no later than August 1, 2022, on the utilization of older youth beds (those serving youth 21 -24 years of age), including average daily attendance for Fiscal 2022. This report shall also be disaggregated by borough and provider agency."
46,Department of Youth and Community Development,260,312,1,"September 1, 2022",,"As a condition of the funds in unit of appropriation number 312, the Department of Youth and Community Development (“DYCD”) shall provide a report to the Council no later than September 1, 2022, on the percentage of Summer Youth Employment Program (“SYEP”) placements at public work sites, disaggregated by agency."
47,Department of Youth and Community Development,260,312,1,,,"As a condition of the funds in unit of appropriation number 312, the Department of Youth and Community Development (“DYCD”) shall provide to the Council within 90 days of its completion, the Department’s final report of the 2021 Homeless Youth Count."
48,Department of Youth and Community Development,260,312,1,"April 1, 2023; August 1, 2023; December 31, 2022; February 1, 2023; January 1, 2023; July 1, 2022; June 30, 2023; March 31, 2023; May 1, 2023; November 1, 2022; October 1, 2022; September 30, 2022","July 1, 2022 to September 30","As a condition of the funds in unit of appropriation number 312, the Department of Youth and Community Development (“DYCD”) shall provide to the Council quarterly reports on daily attendance num bers at Saturday Night Lights programs, disaggregated by site location. Such quarterly reports shall be submitted as follows: (i) for the period beginning July 1, 2022 and ending September 30, 2022, the report shall be submitted by November 1, 2022; (ii) for the period beginning October 1, 2022 and ending December 31, 2022, the report shall be submitted by February 1, 2023; (iii) for the period beginning January 1, 2023 and ending March 31, 2023, the report shall be submitted by May 1, 2023; and (iv) for the period beginning April 1, 2023, and ending June 30, 2023 the report shall be submitted by August 1, 2023."
49,Department of Youth and Community Development,260,311; 312; 001,3,"February 1, 2023",,"As a condition of funds in units of appropriations 311 and 312 in the Department of Youth and Community Development’s (“DYCD”) budget and in unit of appropriation 001 in the New York Police Department ’s (“NYPD”) budget , DYCD and the NYPD shall ensure that there is programming for the disabled and shall provide an annual report, due on February 1, 2023, on the total annual budget for the Saturday Night Lights program, the locations in which the programming takes place, and the programming and activities that are held at each event and if each program or activity are available and accessible to people with disabilities. The reporting shall also include a breakdown of costs disaggregated by agency, and shall include personal serv ices (“PS”) costs, including but not limited to overtime ; other than personal services (“OTPS”) costs; and costs of any associated contracts."
50,Fire Department,057,001; 002; 003; 004; 005; 006; 007; 008,8,"October 15, 2022",,"As a condition of the funds in unit of appropriation numbers 001, 002, 003, 004, 005, 006, 007, and 008, the Fire Department (“FDNY”) shall submit to the Council, no later than October 15, 2022, a report detailing the demographics of uniformed personnel and the demographics of all Emergency Medical Services personnel, including gender, race, and ethnicity. Such inform ation shall be disaggregated by rank or title, gender, race, and ethnicity."
