Fund,Department,Control Officer,Department ID,Short Title,Link to Website,Department Description,Adopted 2015,Itemized 2015,Adopted 2016,Itemized 2016,Adopted 2017,Itemized 2017,Adopted 2018,Itemized 2018,Adopted 2019,Itemized 2019,Adopted 2020,Itemized 2020,Adopted 2021,Itemized 2021,Adopted 2022,Itemized 2022,Adopted 2023,Itemized 2023,Adopted 2024,Itemized 2024,Adopted 2025,Itemized 2025,Adopted 2026,Itemized 2026,Adopted 2027,Itemized 2027
Boroughwide Needs,"Diversity, Inclusion and Equity in Tech Initiative",Multiple agencies,26,"Diversity, Inclusion and Equity in Tech Initiative",,"“Diversity, Inclusion and Equity in Tech Initiative” — a Boroughwide Needs discretionary initiative administered by Multiple agencies. FY2022 adopted: $700,000.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,700000,0,0,0,0,0,0,0,0,0,0,0
Boroughwide Needs,LGBT Community Services,Multiple agencies,27,LGBT Community Services,,"“LGBT Community Services” — a Boroughwide Needs discretionary initiative administered by Multiple agencies. FY2022 adopted: $4,725,000.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4725000,0,0,0,0,0,0,0,0,0,0,0
Boroughwide Needs,Multiple Boroughwide Needs Initiative,Unspecified agency,28,Multiple Boroughwide Needs Initiative,,"“Multiple Boroughwide Needs Initiative” — a Boroughwide Needs discretionary initiative administered by Unspecified agency. FY2027 adopted: $2,000,000.",0,0,0,0,0,0,0,0,0,0,0,0,2000000,0,0,0,0,0,0,0,0,0,0,0,2000000,0
Boroughwide Needs,Trans Equity Programs,Multiple agencies,29,Trans Equity Programs,,"“Trans Equity Programs” — a Boroughwide Needs discretionary initiative administered by Multiple agencies. FY2022 adopted: $3,275,000.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3275000,0,0,0,0,0,0,0,0,0,0,0
CHILDREN’S SERVICES,- RC Staten Island Drug Treatment Court,DA,30,- RC Staten Island Drug Treatment Court,,"“- RC Staten Island Drug Treatment Court” — a CHILDREN’S SERVICES discretionary initiative administered by DA. FY2016 adopted: $250,000.",0,0,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHILDREN’S SERVICES,Adolescent Portable Therapy Program,DOP,31,Adolescent Portable Therapy Program,,"“Adolescent Portable Therapy Program” — a CHILDREN’S SERVICES discretionary initiative administered by DOP. FY2016 adopted: $250,000.",0,0,250000,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHILDREN’S SERVICES,Adult Literacy Initiative,DYCD,32,Adult Literacy Initiative,,"“Adult Literacy Initiative” — a CHILDREN’S SERVICES discretionary initiative administered by DYCD. FY2019 adopted: $4,000,000.",0,0,0,0,6000000,0,0,0,4000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHILDREN’S SERVICES,Alternatives to Incarceration (ATI) Programs,MOCJ,33,Alternatives to Incarceration (ATI) Programs,,"“Alternatives to Incarceration (ATI) Programs” — a CHILDREN’S SERVICES discretionary initiative administered by MOCJ. FY2016 adopted: $4,432,000.",0,0,4432000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHILDREN’S SERVICES,Bail Fund,MOCJ,34,Bail Fund,,"“Bail Fund” — a CHILDREN’S SERVICES discretionary initiative administered by MOCJ. FY2016 adopted: $1,400,000.",0,0,1400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHILDREN’S SERVICES,Center for Court Innovation,MOCJ,35,Center for Court Innovation,,"“Center for Court Innovation” — a CHILDREN’S SERVICES discretionary initiative administered by MOCJ. FY2016 adopted: $500,000.",0,0,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHILDREN’S SERVICES,Child Advocacy Centers (Safe Horizon),MOCJ,36,Child Advocacy Centers (Safe Horizon),,"“Child Advocacy Centers (Safe Horizon)” — a CHILDREN’S SERVICES discretionary initiative administered by MOCJ. FY2016 adopted: $748,000.",0,0,748000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHILDREN’S SERVICES,Communities of Color Nonprofit Stabilization Fund,DYCD,37,Communities of Color Nonprofit Stabilization Fund,,"“Communities of Color Nonprofit Stabilization Fund” — a CHILDREN’S SERVICES discretionary initiative administered by DYCD. FY2019 adopted: $3,700,000.",0,0,0,0,2500000,0,0,0,3700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
