fiscal_year,category,initiative,award_type,member,organization,program,ein,amount,agency,purpose,confidence,name_source,absorbed_from_file,absorbed_from_line,absorbed_from_ein,disclosure_confirmed
2017,MENTAL HEALTH SERVICES,Geriatric Mental Health,initiative_provider,,"Services and Advocacy for GLBT Elders, Inc. (SAGE)",,132947657,86000,DOHMH,"This funding supports organizations that provide a range of mental health services to older adults in “non-clinical settings,” such as senior centers, drop-in centers, religious institutions, social clubs, homeless prevention programs, and individual homes.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,267,131740122,yes
2017,SENIOR SERVICES,LGBTQ Senior Services in Every Borough,initiative_provider,,"Services and Advocacy for GLBT Elders, Inc. (SAGE)",,132947657,1200000,DFTA,"This action provides LBGT culturally competent services for seniors through Services and Advocacy for GLBT Elders (SAGE) sites located in the Bronx, Brooklyn, Manhattan and Staten Island and in Queens provided by Queens Community House.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,295,112375583,yes
2017,MENTAL HEALTH SERVICES,Autism Awareness,initiative_provider,,"Shield of David, The d/b/a Shield Institute, The",,131740041,88136,DOHMH,This allocation supports wraparound services for autistic children in after-school and summer programs and during school closings. The programs may also provide forums and training seminars to teach coping skills to families and caregivers affected by autism or other relevant services.,high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,236,113070228,yes
2017,YOUTH SERVICES,COMPASS,initiative_provider,,"Southeast Bronx Neighborhood Centers, Inc.",,132675560,126000,DYCD,This allocation supports programming for children in grades K-12 under the Comprehensive Afterschool System of New York City (COMPASS NYC).,high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,345,112799128,yes
2017,MENTAL HEALTH SERVICES,Services,initiative_provider,,"St. Ann's Corner of Harm Reduction, Inc.",,133724008,92107,DOHMH,"This funding supports a range of programs and services that address the needs of individuals with chemical dependencies, developmental disabilities, and/or serious mental illnesses, as well as the needs of their families and caregivers. The funding may support medically supervised outpatient programs (MSOPs), transition management programs, Article 16 clinics, psychological clubs, recreation programs, or other behavioral health services.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,253,135623279,yes
2017,MENTAL HEALTH SERVICES,Services,initiative_provider,,St. Luke's-Roosevelt Hospital Center,,132997301,41103,DOHMH,"This funding supports a range of programs and services that address the needs of individuals with chemical dependencies, developmental disabilities, and/or serious mental illnesses, as well as the needs of their families and caregivers. The funding may support medically supervised outpatient programs (MSOPs), transition management programs, Article 16 clinics, psychological clubs, recreation programs, or other behavioral health services.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,253,135623279,yes
2017,HOUSING,Stabilizing NYC,initiative_provider,,St. Nick's Alliance Corporation,,510192170,50000,HPD,"This initiative supports a coalition of 16 not-for-profit groups that seek to combat the loss of affordable housing at the hands of predatory equity companies, and to defend low-income tenants in predatory equity building from harassment and eviction. Stabilizing NYC combines legal and organizing resources into a citywide front against predatory equity, helping tenants hold their predatory equity landlords accountable for lack of repairs, bogus evicition cases, and affirmative harassment.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,181,133442022,yes
2017,HOUSING,Community Housing Preservation Strategies,initiative_provider,Levin,St. Nick's Alliance Corporation,,510192170,61000,HPD,"The Housing Preservation Initiative (HPI) provides funding for neighborhood-based groups to design and implement a grassroots, neighborhood-based approach to stop the loss of affordable housing. HPI seeks to protect affordable housing and promote neighborhood stabilization in needy districts. HPI funding helps local organizations work with local residents and institutions to protect affordable housing and promote neighborhood stabilization.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,151,133442022,yes
2017,HOUSING,,initiative_provider,,"Staten Island Center for Independent Living, Inc.",,133266398,29730,HPD,"The Community Consultant Contract (CCC) initiative provides funding for the front-line anti-eviction/anti-displacement services that community groups provide. When a community resident is at risk of eviction, or when a constituent needs assistance with a housing case, they call the CCC-funded specialist at their local community group. These specialists are knowledgeable about a full range of available resources and use all applicable tools to keep New York City residents in housing they can afford. This initiative allows neighborhood-based groups to provide the following core housing services: tenant organization; code enforcement advocacy; housing court assistance; apartment repossession; and other housing-related public education.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,172,132735378,yes
2017,SENIOR SERVICES,Small Business Outreach and Assistance Program,initiative_provider,,"Staten Island Chamber of Commerce Foundation, Inc.",,134069282,41105,DSBS,"This initiative will provide assistance to entrepreneurs and small businesses in all five boroughs.The services will include pro-bono legal assistance, technical and financing assistance,business courses, referrals to other governmental resources and support, and assistance with affordable healthcare enrollment opportunities. Some of these services will be provided on the ground at storefronts, allowing easier access by clients.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,326,133187792,yes
2017,SENIOR SERVICES,Day Laborer Workforce Initiative,initiative_provider,,"Staten Island Community Job Center, Inc.",,472787706,50000,DSBS,"This initiative will support the expansion of the existing 4 day laborer centers to provide services in all 5 boroughs. These services include dignified physical space for day laborers to meet, referrals to jobs or support services, legal services to address issues such as wage theft, as as well as workforce training and development.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,316,135562185,yes
2017,CHILDREN’S SERVICES,Discretionary Child Care,initiative_provider,,"Staten Island Mental Health Society, Inc.",Head Start Program,135623279,325000,ACS,This allocation support child care programs and adds additional child care slots to certain programs.,high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,5,131992185,yes
2017,HEALTH SERVICES,Cancer Services,initiative_provider,,Staten Island University Hospital,,112868878,50000,DOHMH,"This allocation supports various education and supportive services for breast, colon and ovarian cancer.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,106,264417161,yes
2017,HOUSING,,initiative_provider,,"Strycker's Bay Neighborhood Council, Inc.",,131943516,29730,HPD,"The Community Consultant Contract (CCC) initiative provides funding for the front-line anti-eviction/anti-displacement services that community groups provide. When a community resident is at risk of eviction, or when a constituent needs assistance with a housing case, they call the CCC-funded specialist at their local community group. These specialists are knowledgeable about a full range of available resources and use all applicable tools to keep New York City residents in housing they can afford. This initiative allows neighborhood-based groups to provide the following core housing services: tenant organization; code enforcement advocacy; housing court assistance; apartment repossession; and other housing-related public education.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,172,132735378,yes
2017,YOUTH SERVICES,COMPASS,initiative_provider,,"Strycker's Bay Neighborhood Council, Inc.",,131943516,134400,DYCD,This allocation supports programming for children in grades K-12 under the Comprehensive Afterschool System of New York City (COMPASS NYC).,high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,345,112799128,yes
2017,CULTURAL ORGANIZATIONS,Coalition of Theaters of Color,initiative_provider,,"Take Wing and Soar Productions, Inc.",,141885605,14600,DCLA,To support the operations and programming of various theaters and cultural organizations primarily in communities of color.,high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,70,237448611,yes
2017,CULTURAL ORGANIZATIONS,Coalition of Theaters of Color,initiative_provider,,"Teatro Circulo, Ltd.",,133805585,29800,DCLA,To support the operations and programming of various theaters and cultural organizations primarily in communities of color.,high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,70,237448611,yes
2017,SENIOR SERVICES,Initiative,initiative_provider,,Third Sector New England,,042261109,66000,DSBS,"The Worker Cooperative Business Development initiative will support the creation of jobs in worker cooperatives by coordinating education and training resources and by providing technical, legal, and financial assistance. The initiative will fund a comprehensive citywide effort to reach cooperative entrepreneurs, provide for the start-up of new worker cooperative small businesses, and assist existing cooperatives. The initiative will offer workforce development and concrete skills for unemployed, underemployed and discouraged workers in high-needs neighborhoods.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,335,136400434,yes
2017,SENIOR SERVICES,Day Laborer Workforce Initiative,initiative_provider,,Third Sector New England,,042261109,170000,DSBS,"This initiative will support the expansion of the existing 4 day laborer centers to provide services in all 5 boroughs. These services include dignified physical space for day laborers to meet, referrals to jobs or support services, legal services to address issues such as wage theft, as as well as workforce training and development.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,314,113560625,yes
2017,MENTAL HEALTH SERVICES,Autism Awareness,initiative_provider,,"United Cerebral Palsy of New York City, Inc.",,135654532,13078,DOHMH,This allocation supports wraparound services for autistic children in after-school and summer programs and during school closings. The programs may also provide forums and training seminars to teach coping skills to families and caregivers affected by autism or other relevant services.,high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,237,263373908,yes
2017,VETERAN SERVICES,Homeless Prevention Services for Veterans,initiative_provider,,United War Veterans Council,,133793337,25000,DYCD,"This initiative includes funding for programs supporting veterans and their families in issues related to health, education, employment and building a lasting community.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,337,133213525,yes
2017,HEALTH SERVICES,Maternal and Child Health Services,initiative_provider,,"Urban Health Plan, Inc.",,237360305,22320,DOHMH,"This funding supports a range of maternal and child health services and coordination efforts that aid expectant mothers and women of childbearing age, promoting women’s health before, during, and after pregnancy in an effort to improve maternal and child health outcomes and reduce infant mortality rates. Services may include doula care or home-visiting programs.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,110,132884976,yes
2017,HOUSING,Stabilizing NYC,initiative_provider,,"Urban Homesteading Assistance Board, Inc.",,132902798,65000,HPD,"This initiative supports a coalition of 16 not-for-profit groups that seek to combat the loss of affordable housing at the hands of predatory equity companies, and to defend low-income tenants in predatory equity building from harassment and eviction. Stabilizing NYC combines legal and organizing resources into a citywide front against predatory equity, helping tenants hold their predatory equity landlords accountable for lack of repairs, bogus evicition cases, and affirmative harassment.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,181,133442022,yes
2017,HOUSING,,initiative_provider,,"West Side Federation for Senior Housing, Inc.",,132926433,29730,HPD,"The Community Consultant Contract (CCC) initiative provides funding for the front-line anti-eviction/anti-displacement services that community groups provide. When a community resident is at risk of eviction, or when a constituent needs assistance with a housing case, they call the CCC-funded specialist at their local community group. These specialists are knowledgeable about a full range of available resources and use all applicable tools to keep New York City residents in housing they can afford. This initiative allows neighborhood-based groups to provide the following core housing services: tenant organization; code enforcement advocacy; housing court assistance; apartment repossession; and other housing-related public education.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,175,112435565,yes
2017,SENIOR SERVICES,Initiative,initiative_provider,,"Working World, The (TWW)",,202264584,234000,DSBS,"The Worker Cooperative Business Development initiative will support the creation of jobs in worker cooperatives by coordinating education and training resources and by providing technical, legal, and financial assistance. The initiative will fund a comprehensive citywide effort to reach cooperative entrepreneurs, provide for the start-up of new worker cooperative small businesses, and assist existing cooperatives. The initiative will offer workforce development and concrete skills for unemployed, underemployed and discouraged workers in high-needs neighborhoods.",high,council_disclosure,data/fy17/schedule_c/fy17_schedule_c_awards.csv,330,861096987,yes
2017,YOUTH SERVICES,YouthBuild Project Initiative,initiative_provider,,Young Men’s Christian Association of Greater New York,,132736022,29000,,,low,absorbed_text,data/fy17/schedule_c/fy17_schedule_c_awards.csv,355,131624228,no
2018,Children’s Services,Discretionary Child Care,initiative_provider,,A&G Early Child Care Community Network Inc.,,472375867,2150000,ACS,This allocation provides funding for child care programs that did not receive an EarlyLearn contract or sufficient child care slots from the Administration.,high,council_disclosure,data/fy18/schedule_c/fy18_schedule_c_awards.csv,2,136400434,yes
2018,Small Business Services and Workforce Development,MWBE Leadership Associations,initiative_provider,Citywide,"Accion East, Inc.",,113317234,88855,SBS,"This funding will provide for a range of services that will help increase the capacity of MWBEs across the City. Services will include guidance on government contracting for potential or City-certified MWBEs, assistance in connecting MWBEs to potential customers, aid in the development of bids and proposals, assistance in securing project financing and bonding, and the promotion and marketing of the City’s MWBE program.",high,council_disclosure,data/fy18/schedule_c/fy18_schedule_c_awards.csv,440,371443165,yes
2018,Immigrant Services,Immigrant Opportunities Initiative,initiative_provider,Citywide,"African Services Committee, Inc.",,133749744,27000,DSS/HRA,"This initiative provides legal services for recent immigrants to assist with applications for citizenship or permanent residency, and various other immigrant related legal services.",high,council_disclosure,data/fy18/schedule_c/fy18_schedule_c_awards.csv,238,113475993,yes
2018,Health Services,Viral Hepatitis Prevention,initiative_provider,Citywide,"African Services Committee, Inc.",,133749744,40410,DHMH,"This funding supports a range of programs and services intended to combat the spread of Hepatitis B/C and HIV as passed through intravenous drug use. In addition to Hepatitis B/C testing, services may include addiction treatment, care coordination, overdose prevention, mental health assessments, and sterile syringe access.",high,council_disclosure,data/fy18/schedule_c/fy18_schedule_c_awards.csv,130,331007278,yes
2018,,,,,Asian Community United Society Inc.,,264164117,10000,DYCD,,medium,council_disclosure,data/fy18/schedule_c/fy18_appendix_a_aging.csv,11,651209580,yes
2018,Housing,Community Housing Preservation Strategies,initiative_provider,,"Association for Neighborhood & Housing Development, Inc.",,132775999,100000,HPD,This funding will support ANHD’s efforts to expand and strengthen technical support and a capacity building program for community-based organizations participating in Council-funded community consultant contracts and housing preservation initiative programs. The capacity-building work performed by ANHD includes 76 Council-funded groups. This funding will allow Council-funded groups to scale up their activities and conduct more robust housing and tenant advocacy.,high,council_disclosure,data/fy18/schedule_c/fy18_schedule_c_awards.csv,164,133020589,yes
2018,Immigrant Services,Immigrant Opportunities Initiative,initiative_provider,Citywide,"Association of the Bar of the City of New York Fund, Inc. d/b/a City Bar Justice Center",,136003018,45000,DSS/HRA,"This initiative provides legal services for recent immigrants to assist with applications for citizenship or permanent residency, and various other immigrant related legal services.",high,council_disclosure,data/fy18/schedule_c/fy18_schedule_c_awards.csv,238,113475993,yes
2018,Veteran Services,Veterans Community Development,initiative_provider,Citywide,"Bailey House, Inc.",,133165181,20000,DYCD,"Funding will be allocated through DYCD to organizations that sponsor parades and other events, feed and house veterans, and offer other services related to health, education, employment and building a lasting community.",high,council_disclosure,data/fy18/schedule_c/fy18_schedule_c_awards.csv,454,133461695,yes
2018,Mental Health Services,Mental Health Services for Vulnerable Populations,initiative_provider,Citywide,"Bailey House, Inc.",,133165181,250000,DHMH,"This funding supports community-based organizations and advocacy networks that provide a range of mental health programs, services, trainings, and referrals throughout the City, addressing the mental health needs of vulnerable and marginalized populations, such as HIV-positive people, suicidal individuals, and people with developmental disabilities. Additional populations of interest include children and youth, immigrants and people with limited English proficiency, homeless individuals and families, and at-risk seniors.",high,council_disclosure,data/fy18/schedule_c/fy18_schedule_c_awards.csv,336,111630780,yes
2018,,,,Cohen,"Bedford Park Multi-Service Center for Senior Citizens, Inc.",,132745303,30000,DFTA,"Funding will support recreational, educational, social programming, advocacy and counseling for seniors, as well as support the general operating expenses including rent, utilities, communications, equipment rental, printing supplies and other expenses to",high,council_disclosure,data/fy18/schedule_c/fy18_appendix_a_aging.csv,12,113199040,yes
2018,Children’s Services,Discretionary Child Care,initiative_provider,,"Bethany Day Nursery, Inc.",,132732818,709605,ACS,This allocation support child care programs and adds additional child care slots to certain programs.,high,council_disclosure,data/fy18/schedule_c/fy18_schedule_c_awards.csv,4,111630780,yes
2018,Cultural Organizations,Coalition of Theaters of Color,initiative_provider,,"Billie Holiday Theatre, Inc.",,112336154,123200,DCLA,To support the operations and programming of theaters and cultural organizationsprimarily in communities of color.,high,council_disclosure,data/fy18/schedule_c/fy18_schedule_c_awards.csv,38,112972441,yes
2018,Cultural Organizations,Coalition of Theaters of Color,initiative_provider,,"Black Spectrum Theatre Company, Inc.",,510135262,123200,DCLA,To support the operations and programming of theaters and cultural organizationsprimarily in communities of color.,high,council_disclosure,data/fy18/schedule_c/fy18_schedule_c_awards.csv,38,112972441,yes
2018,Immigrant Services,Immigrant Opportunities Initiative,initiative_provider,Citywide,"Boys & Girls Club of Metro Queens, Inc.",,111966067,45000,DSS/HRA,"This initiative provides legal services for recent immigrants to assist with applications for citizenship or permanent residency, and various other immigrant related legal services.",high,council_disclosure,data/fy18/schedule_c/fy18_schedule_c_awards.csv,239,113065859,yes
2018,Youth Services,COMPASS,initiative_provider,,"Boys & Girls Club of Metro Queens, Inc.",,111966067,420000,DYCD,This allocation supports programming for children in grades K-5 under the Comprehensive Afterschool System of New York City (COMPASS NYC).,high,council_disclosure,data/fy18/schedule_c/fy18_schedule_c_awards.csv,461,131623989,yes
2018,Housing,Community Housing Preservation Strategies,initiative_provider,,"Brighton Neighborhood Association, Inc.",,112435523,29729,HPD,"The Community Consultant Contract (CCC) initiative provides funding for the front-line anti-eviction/anti-displacement services that community groups provide. When a community resident is at risk of eviction, or when a constituent needs assistance with a housing case, they call the CCC-funded specialist at their local community group. These specialists are knowledgeable about a full range of available resources and use all applicable tools to keep New York City residents in housing they can afford. This initiative allows neighborhood-based groups to provide the following core housing services: tenant organization; code enforcement advocacy; housing court assistance; apartment repossession; and other housing-related public education.",high,council_disclosure,data/fy18/schedule_c/fy18_schedule_c_awards.csv,166,112634818,yes
2018,Criminal Justice Services,Bail Fund,initiative_provider,,"Bronx Freedom Fund, Inc.",,261385792,109000,,,low,absorbed_text,data/fy18/schedule_c/fy18_schedule_c_awards.csv,24,131941627,no
2018,,,,Lander,"Brooklyn Arts Council, Inc.",Senior Program,237072915,9500,DFTA,Provide arts programming at senior centers located in District 39.,high,council_disclosure,data/fy18/schedule_c/fy18_appendix_a_aging.csv,31,111630780,yes
2018,,,,Williams,"Brooklyn Arts Council, Inc.",Senior Program,237072915,10500,DFTA,Funds will be used to support Brooklyn Arts Council in providing programs and services for senior residents throughout District 45 and the Borough of Brooklyn.,high,council_disclosure,data/fy18/schedule_c/fy18_appendix_a_aging.csv,31,111630780,yes
2018,,,,Cumbo,"Brooklyn Community Pride Center, Inc.",,262214534,6500,DFTA,Funding to support operating and programming expenses to facilitate services city-wide for the LGBTQ+ community.,high,council_disclosure,data/fy18/schedule_c/fy18_appendix_a_aging.csv,38,262214534,yes
2018,Small Business Services and Workforce Development,MWBE Leadership Associations,initiative_provider,Citywide,"Brooklyn Kings County Hispanic Chamber Of Commerce, Inc.",,202381186,30925,SBS,"This funding will provide for a range of services that will help increase the capacity of MWBEs across the City. Services will include guidance on government contracting for potential or City-certified MWBEs, assistance in connecting MWBEs to potential customers, aid in the development of bids and proposals, assistance in securing project financing and bonding, and the promotion and marketing of the City’s MWBE program.",high,council_disclosure,data/fy18/schedule_c/fy18_schedule_c_awards.csv,440,371443165,yes
2018,,,,Rodriguez,"COTHOA Luncheon Club, Inc.",,133608860,5000,DFTA,Funding to support the provision of health/wellness activities for seniors.,high,council_disclosure,data/fy18/schedule_c/fy18_appendix_a_aging.csv,84,112864728,yes
2018,,,,Miller,Calvary Baptist Church,,112480945,6000,DFTA,,medium,council_disclosure,data/fy18/schedule_c/fy18_appendix_a_aging.csv,39,132720248,yes
2018,,,,Miller,Calvary Baptist Church,,112480945,6000,DFTA,,medium,council_disclosure,data/fy18/schedule_c/fy18_appendix_a_aging.csv,39,132720248,yes
2018,,,,CD28,Calvary Baptist Church,,112480945,11000,DFTA,The funding will go towards the Grandparents support group that strives to provide events and activities for grandparents who are raising grandchildren.,medium,council_disclosure,data/fy18/schedule_c/fy18_appendix_a_aging.csv,39,132720248,yes
2018,Health Services,,initiative_provider,,Care for the Homeless,,133666994,70000,DHMH,"This allocation enables culturally and linguistically competent community-based organizations in all five boroughs to conduct outreach and education efforts regarding healthcare access and coverage, including issues pertaining to Medicare, Medicaid, the Pregnant Women/Prenatal Care Assistance Program (PCAP), the Family Planning Extension Program (FPEP), the AIDS Drug Assistance Program (ADAP) and the Children’s Health Insurance Program (CHIP).",high,council_disclosure,data/fy18/schedule_c/fy18_schedule_c_awards.csv,94,510567466,yes
2018,Housing,Community Housing Preservation Strategies,initiative_provider,,"Central Astoria Local Development Coalition, Inc.",,112652331,29729,HPD,"The Community Consultant Contract (CCC) initiative provides funding for the front-line anti-eviction/anti-displacement services that community groups provide. When a community resident is at risk of eviction, or when a constituent needs assistance with a housing case, they call the CCC-funded specialist at their local community group. These specialists are knowledgeable about a full range of available resources and use all applicable tools to keep New York City residents in housing they can afford. This initiative allows neighborhood-based groups to provide the following core housing services: tenant organization; code enforcement advocacy; housing court assistance; apartment repossession; and other housing-related public education.",high,council_disclosure,data/fy18/schedule_c/fy18_schedule_c_awards.csv,168,113580935,yes
2018,Public Safety,Crisis Management System -Youth Programs,initiative_provider,,"Central Family Life Center, Inc., The",,133626127,90000,ACS,"This funding supports violence interrupters and outreach workers staff ACS non-secure placement sites to identify youth at risk of continuing the cycle of violence. Once identified, they are connected with CMS providers and wrap-around services once they leave ACS facilities.",high,council_disclosure,data/fy18/schedule_c/fy18_schedule_c_awards.csv,374,061711370,yes
2018,Cultural Organizations,Coalition of Theaters of Color,initiative_provider,,"Chinese Theatre Works, Inc.",,112393789,29800,DCLA,To support the operations and programming of theaters and cultural organizationsprimarily in communities of color.,high,council_disclosure,data/fy18/schedule_c/fy18_schedule_c_awards.csv,39,134046782,yes
2018,Health Services,Maternal and Child Health Services,initiative_provider,,Choices in Childbirth,,202015286,72000,,,low,absorbed_text,data/fy18/schedule_c/fy18_schedule_c_awards.csv,121,510567466,no
2018,Housing,Community Housing Preservation Strategies,initiative_provider,,"Clinton Housing Development Company, Inc.",,132851988,29729,HPD,"The Community Consultant Contract (CCC) initiative provides funding for the front-line anti-eviction/anti-displacement services that community groups provide. When a community resident is at risk of eviction, or when a constituent needs assistance with a housing case, they call the CCC-funded specialist at their local community group. These specialists are knowledgeable about a full range of available resources and use all applicable tools to keep New York City residents in housing they can afford. This initiative allows neighborhood-based groups to provide the following core housing services: tenant organization; code enforcement advocacy; housing court assistance; apartment repossession; and other housing-related public education.",high,council_disclosure,data/fy18/schedule_c/fy18_schedule_c_awards.csv,217,133385032,yes
2018,Mental Health Services,Court-Involved Youth Mental Health,initiative_provider,,"Coalition for Behavioral Health, Inc., The",,132729071,145000,DHMH,"This allocation supports programs that utilize risk assessment tools to identify juveniles in the arrest process who require mental health services and that provide family counseling and respite services to families of court-involved youth. The initiative also supports efforts to connect community-based providers working with court-involved youth to other non-governmental organizations familiar with the Courts, the Administration for Children's Services (ACS), the Department of Correction (DOC), and other relevant City and State agencies.",high,council_disclosure,data/fy18/schedule_c/fy18_schedule_c_awards.csv,294,132645436,yes
2018,Health Services,,initiative_provider,,"Community Healthcare Network, Inc.",,133083068,52692,DHMH,"This allocation enables culturally and linguistically competent community-based organizations in all five boroughs to conduct outreach and education efforts regarding healthcare access and coverage, including issues pertaining to Medicare, Medicaid, the Pregnant Women/Prenatal Care Assistance Program (PCAP), the Family Planning Extension Program (FPEP), the AIDS Drug Assistance Program (ADAP) and the Children’s Health Insurance Program (CHIP).",high,council_disclosure,data/fy18/schedule_c/fy18_schedule_c_awards.csv,95,135562202,yes
2018,Health Services,Viral Hepatitis Prevention,initiative_provider,Citywide,"Community Healthcare Network, Inc.",,133083068,53880,DHMH,"This funding supports a range of programs and services intended to combat the spread of Hepatitis B/C and HIV as passed through intravenous drug use. In addition to Hepatitis B/C testing, services may include addiction treatment, care coordination, overdose prevention, mental health assessments, and sterile syringe access.",high,council_disclosure,data/fy18/schedule_c/fy18_schedule_c_awards.csv,140,136400434,yes
2018,Young Women’s Initiative,Dedicated Contraceptive Fund,initiative_provider,,"Community Healthcare Network, Inc.",,133083068,63000,DHMH,"This funding will increase access to contraception, including Long-Acting Reversible Contraception (LARCs) among young women, particularly those without health insurance. This initiative will also support provider training, patient counseling and care, and the purchasing of contraceptives. Programs will serve a variety of high-risk populations, including youth of color, LGBTQ individuals, and the uninsured, in a culturally responsive manner and promote reproductive and sexual health.",high,council_disclosure,data/fy18/schedule_c/fy18_schedule_c_awards.csv,469,131624096,yes
2018,Health Services,Maternal and Child Health Services,initiative_provider,Citywide,"Community Healthcare Network, Inc.",,133083068,84633,DHMH,"This funding supports a range of maternal and child health services and coordination efforts that aid expectant mothers and women of childbearing age, promoting women’s health before, during, and after pregnancy in an effort to improve maternal and child health outcomes and reduce infant mortality rates. Services may include doula care or home-visiting programs.",high,council_disclosure,data/fy18/schedule_c/fy18_schedule_c_awards.csv,122,132655001,yes
2018,Criminal Justice Services,Support for Victims of Human Trafficking,initiative_provider,Citywide,"Community Healthcare Network, Inc.",,133083068,175000,MOCJ,"This allocation supports programs that offer counseling and assistance with mental health, educational, immigration, housing and employment, as an alternative to detention or incarceration, for defendants in the City's five human trafficking intervention courts; and for other victims of human trafficking.",high,council_disclosure,data/fy18/schedule_c/fy18_schedule_c_awards.csv,28,132612524,yes
2018,Children’s Services,Discretionary Child Care,initiative_provider,,Conselyea Street Block Association,,112347180,1448669,ACS,This allocation support child care programs and adds additional child care slots to certain programs.,high,council_disclosure,data/fy18/schedule_c/fy18_schedule_c_awards.csv,5,112300840,yes
2018,Senior Services,Information and Referral Services,initiative_provider,Citywide,"Council of Belmont Organizatons, Inc.",,132755323,103914,DFTA,This allocation supports community-based organizations that provide information and referral services related to senior services and other resources in the community.,high,council_disclosure,data/fy18/schedule_c/fy18_schedule_c_awards.csv,381,112932528,yes
2018,,,,Lander,"Council of Peoples Organization, Inc.",,753046891,3500,DFTA,Funding to support general operating and programming costs.,high,council_disclosure,data/fy18/schedule_c/fy18_appendix_a_aging.csv,86,237390996,yes
2018,,,,,"Council of Peoples Organization, Inc.",,753046891,7000,,,medium,council_disclosure,data/fy18/schedule_c/fy18_appendix_a_aging.csv,86,237390996,yes
2018,Education,Support for Educators,initiative_provider,Citywide,Council of School Supervisors and Administrators,,112024569,450000,DOE,"This allocation will provide support for DOE educators through professional development and supplies used for student instruction. Programs supported include STEM Teacher’s College ($250,000) and Teacher’s Choice ($20,104,500). In addition, $450,000 allocated to the Council of School Supervisors and Administrators supports the Executive Leadership Institute.",high,council_disclosure,data/fy18/schedule_c/fy18_schedule_c_awards.csv,83,136400434,yes
2018,,,,Chin,"Council of Senior Centers and Services of NYC, Inc.",,132967277,5000,DFTA,To support SCRIE outreach to thousands of seniors in the Council District 1 who are eligible but not yet enrolled in SCRIE.,high,council_disclosure,data/fy18/schedule_c/fy18_appendix_a_aging.csv,86,237390996,yes
2018,Cultural Organizations,Coalition of Theaters of Color,initiative_provider,,"Creative Ammo, Inc.",,134181617,14600,DCLA,To support the operations and programming of theaters and cultural organizationsprimarily in communities of color.,high,council_disclosure,data/fy18/schedule_c/fy18_schedule_c_awards.csv,40,133116643,yes
2018,,,,Eugene,Crown Heights Preservation Committee Corporation,,112322490,15000,DFTA,"Funding to support senior programming and activities including ESL classes, computer classes, and trips, and to defray the cost of wheel chair accessible senior bus.",high,council_disclosure,data/fy18/schedule_c/fy18_appendix_a_aging.csv,89,112297647,yes
2018,,,,Cumbo,Crown Heights Preservation Committee Corporation,,112322490,20000,DFTA,Funds will be used to enhance activities for seniors including educational and recreational classes and events. It will also be used for maintaining senior wheel chair accessible bus.,high,council_disclosure,data/fy18/schedule_c/fy18_appendix_a_aging.csv,89,112297647,yes
2018,Youth Services,COMPASS,initiative_provider,,"Development Outreach, Inc.",,132997764,150000,DYCD,This allocation supports programming for children in grades K-5 under the Comprehensive Afterschool System of New York City (COMPASS NYC).,high,council_disclosure,data/fy18/schedule_c/fy18_schedule_c_awards.csv,461,131623989,yes
2018,Health Services,Maternal and Child Health Services,initiative_provider,Citywide,"Diaspora Community Services, Inc.",,113122295,29157,DHMH,"This funding supports a range of maternal and child health services and coordination efforts that aid expectant mothers and women of childbearing age, promoting women’s health before, during, and after pregnancy in an effort to improve maternal and child health outcomes and reduce infant mortality rates. Services may include doula care or home-visiting programs.",high,council_disclosure,data/fy18/schedule_c/fy18_schedule_c_awards.csv,122,132655001,yes
