item_number,agency_name,agency_code,units_of_appropriation,num_units,report_deadlines,coverage_period,condition_text
18,Department of Education,040,406; 444,2,"January 31, 2024",,"As a condition of the f unds in unit of appropriation numbers 406 and 444, the Department of Education (“DOE”) shall submit to the Council, no later than January 31, 2024 , a report on the number of leases held by DOE and by a charter school for which the charter school is paid a lease subsidy by DOE. For each lease held by DOE, such report shall include: 1) the building identification code; 2) the address; 3) the start and end dates of the lease; 4) the annual cost of the lease; 5) the occupant of the leased space; 6) the budget code; 7) the building use; and 8) actual spending per lease in Fiscal 2023. For each lease held by a charter school for which the charter school is paid a lease subsidy by DOE, the report shall include, for each building: 1) the names of the charter school and charter operator; 2) the address; 3) the start and end dates of the lease, 4) the annual cost of the charter school's lease for the current fiscal year; 5) the annual cost of the lease DOE is obligated to pay for; 6) the total lease payments f rom DOE to date; 7) the projected total lease payments from DOE; 8) the per pupil cost of the lease to DOE; and 9) the owner of the property the charter school is leasing from."
19,Department of Education,040,401; 403; 407; 409; 415; 481,6,"March 15, 2024; November 15, 2023",,"As a condition of the funds in unit of appropriation numbers 401, 403, 407, 409, 415, and 481, the Department of Education (“DOE”) shall submit semi-annual headcount reports to the Council that lists school-based staff by title and Borough Field Support Center-based staff by title. Additionally, DOE must report on staff by title for all pre -kindergarten staff in DOE facilities and non -DOE facilities. DOE must also report on the total number of school nurses and identify how many of these nurses are funded b y the DOE, how many are contracted through DOE, and how many are funded by the Department of Health and Mental Hygiene (“DOHMH”). DOE must also report on the total number of school based social workers funded centrally, as well as the total number of social workers hired by individual schools. The semi-annual reports shall be submitted as follows: the first report shall be submitted no later than November 15, 2023 and the second report shall be submitted no later than March 15, 2024 ."
20,Department of Education,040,406,1,"December 1, 2023; June 1, 2024",,"As a condition of the funds in unit of appropriation number 406, the Department of Education (“DOE”) shall submit to the Council a semi -annual list detailing the total number of charter schools, listed by name and address, funded in such unit of appropriation. Such list shall also contain the total number of enrolled students in each charter school, disaggregated by grade. The semi-annual list shall also contain the following information for all charter schools funded in such unit of appropriation, in the aggregate: 1) the total number of enrolled students, disaggregated by grade; 2) the total number of enrolled Special Education students, disaggregated by grade; 3) the total number of enrolled General Education students, disaggregated by grade; 4) the total number of enrolled English Language Learner students, disaggregated by grade; 5) the total number of students provided free or reduced price school lunches, disaggregated by grade; and 6) the total sum of year -end projected payments, disaggregated by payments for general education students and payments for special education students with the payments for special education students further disaggregated by tuition payment category. The first list shall be submitted no later than December 1, 2023 and the second list shall be submitted no later than June 1, 2024 ."
21,Department of Education,040,All,1,,,"As a condition of the funds in all the units of appropriation associated with the Department of Education (“DOE”), the DOE shall issue the Financial Status Reports for the following dates: FINANCIAL STATUS REPORT REPORT CONTENT ISSUE DATE ANTICIPATED MEETING DATE SEPTEMBER 2023 FY 2024 FSROpening Condition October 2nd October 27th OCTOBER 2023 FY 2023 Year-End Close November 5th December 3rd DECEMBER 2023 FY 2023 FSR Update; FY 2023 November Plan Summary December 8th January 14th FEBRUARY 2024 FY 2024 FSR Update, including Fiscal Analysis; FY February 11th March 11th 2024 Preliminary Budget Summary MARCH 2024 FY 2024 FSR Update, including Fiscal Analysis; FY 2024 Preliminary Budget Summary April 8th May 6th MAY 2024 FY2024 FSR Update, including Fiscal Analysis; FY 2024 Executive Budget Summary May 24th June 15th"
22,Department of Education,040,438,1,"January 1, 2024; January 15, 2024; June 30, 2024","September 1, 202 3 to December 31","As a condition of the funds in unit of appropriation number 438, the Department of Education (“DOE”) shall submit to the Council semi-annual reports on busing provided for students living in shelters. Such reports shall detail the number of students who have been routed and a snapshot of the number of students who are waiti ng to be routed. The semi -annual reports shall be submitted as follows: the first report shall be submitted no later than January 15, 2024 and shall cover the period beginning September 1, 202 3 and ending December 31, 202 3 . The second report shall be submitted no later than July 15, 202 4 and shall cover the period beginning January 1, 2024 and ending June 30, 2024 ."
23,Department of Education,040,407; 408; 409; 410; 470,5,"February 28, 2024; May 24, 2024",,"As a condition of the funds in unit of appropriation numbers 407, 408, 409, 410, and 470, the Department of Education (“DOE”) shall submit to the Council a semi-annual report on Universal Prekindergarten, 3K for All, and Early Childhood Education enrollment disaggregated by school district and program detailing the number of students enrolled in each full -day program broken down by special education and non-special education students, the number of students enrolled in each half -day program by special education and non -special education students, and the total capacity of each facility. The first report shall be submitted no later than February 28, 2024 and include preliminary enrollment data. The second semi report shall be submitted no later than May 24, 2024 and include final enrollment data."
24,Department of Education,040,439; 440,2,"April 1, 2024",,"As a condition of t he funds in unit of appropriation numbers 439 and 440, the Department of Education (“DOE”) shall submit to the Council, no later than April 1, 2024 , a report detailing, for each school: 1) the total number of breakfasts served disaggregated betwee n those served in the cafeteria and those not served in the cafeteria; 2) the total number of lunches served disaggregated by traditional, halal, and kosher meals; 3) the total number of summer meals served; 4) the number and percentage of students who com pleted and submitted lunch forms and/or an alternative income form; and 5) the participation rates – average meals per dayfor breakfast, lunch, and summer meals. In addition, the report must provide: 6) the total average cost per meal for breakfasts served disaggregated between those served in the cafeteria and those not served in the cafeteria; 7) the total average cost per meal for lunches served disaggregated by traditional, halal, and kosher meals; and 8) the total average cost per summer meal served."
25,Department of Education,040,401; 402; 481; 482,4,"November 1, 2023",,"As a condition of the funds in unit of appropriation numbers 401, 402, 481 and 482, the Department of Education (“DOE”) shall submit to the Council, no later than November 1, 2023 , a report on the Public Schools Athletic League summer enrollment and attendance, disaggregated by school district, student grade level, and by special education and non-special education students."
26,Department of Education,040,407; 408; 409; 410,4,"April 1, 2024; August 1, 2024; December 31, 2023; February 1, 2024; January 1, 2024; July 1, 2023; June 30, 2024; March 31, 2024; May 1, 2024; November 1, 2023; October 1, 2023; September 30, 2023","July 1, 2023 to September 30","As a condition of the funds in units of appropriation 407, 408, 409 and 410, the Department of Education shall submit quarterly reports to the Council regarding payments to providers with which the Department has contracted to provide early childhood care and education -- for children aged zero to 3, in 3-K and in pre-K, detailing for each provider the amount budgeted under the contract, the amount the provider has invoiced the department and the amount the department has paid to the provider. These quarterly reports shall be submitted on: (i) November 1, 2023, covering the period beginning July 1, 2023 and ending September 30, 2023; (ii) February 1, 2024, covering the period beginning October 1, 2023 and ending December 31, 2023; (iii) May 1, 2024, covering the period beginning January 1, 2024 and ending March 31, 2024 and (iv) August 1, 2024 covering the period beginning April 1, 2024 and ending June 30, 2024."
27,Department of Education,040,401; 402; 407; 415; 416; 453; 481; 482,8,"September 30, 2023",,"As a condition of the funds in units of appropriation 401, 402, 407, 415, 416 and 453, 481 and 482 the Department of Education (“DOE”) shall submit an annual report, no later than September 30, 2023, on funding for restorative justice programming and services for the previous school year. The report shall include the following information: (i) the amount of funding to implement restorative justice programming and services; (ii) the list schools and direct/indirect restorative justice programs and services offered, including if the programs and services were used by students; (iii) the amount of funds not spent; and (iv) the number of staff, students, school staff, and administrators administering the programs."
28,Department of Education,040,402,1,"June 30, 2024",,"As a condition of the funds in unit of appropriation 402, the Department of Education shall submit to the Council, no later than June 30, 2024, an annual report on arts instruction in K-12 schools. This report shall cover arts instruction in individual schools for the 2023-2024 school year. This annual report should be listed by school and disaggregated by arts instruction by type, such as music, dance, theater, and visual arts."
29,Department of Finance,836,001; 011,2,"April 1, 2024; February 28, 2024; March 1, 2023","March 1, 2023 to on February 28","As a condition of the funds in unit of appropriation numbers 001 and 011, the Department of Finance (“DOF”) shall submit to the Council, no later than April 1, 2024 , an annual report detailing the number and nature of inquiries received by the Taxpayer Advocate regarding property tax exemptions or business tax exemptions, whichever is applicable. Such report shall also include the number, nature, and resolution of complaints received by the Taxpayer Advocate; any recommendations made by the Taxpayer Advocate to the commissioner; the acceptance and denial rates of such recommendations by the commissioner; and the number and nature of inquiries referred to the Taxpayer Advocate by the ombudspersons at the Department; the number and nature of inquiries referred to the Taxpayer Advocate by 311. Such report shall cover the period beginning March 1, 2023 and ending on February 28, 2024 ."
30,Department of Health and Mental Hygiene,816,102; 112,2,"June 30, 2024; March 1, 2023; March 31, 2024",,"As a condition of funds in unit of appropriation numbers 102 and 112, the Department of Health and Mental Hygiene (“DOHMH”) shall submit to the Council a semi -annual report detailing the number of new infections other than COVID -19. The report shall provide the number of new infections for tuberculosis, HIV/AIDS, viral hepatitis, and measles. Additionally, the report shall include a rate comparison for the past two years. Such reports shall cover the period of March 1, 2023 through March 31, 2024 and shall be submitted by December 30, 202 3 and June 30, 2024 ."
31,Department of Health and Mental Hygiene,816,104; 114,2,"December 31, 2023; March 30, 2024; September 30, 2024","July 1, 202 3 to December 31","As a condition of the funds in unit of appropriation numbers 104 and 114, the Department of Health and Mental Hygiene (“DOHMH”) shall submit to the Council reports on spending of City funds from Animal Care Centers, including, but not limited to, number of staff in each center. Such reports shall be submitted as follows: (i) for the period beginning July 1, 202 3 and ending December 31, 2023 , the report shall be submitted by March 30, 2024 ; and (ii) for the period beginning January 1, 202 4 and ending June 30, 202 4 , the report shall be submitted by September 30, 2024 ."
32,Department of Health and Mental Hygiene,816,103; 113; 423; 424; 001,5,"April 1, 2024; August 1, 2024; December 31, 2023; July 1, 2023; June 30, 2024; March 31, 2024; November 1, 2023; September 30, 2023","July 1, 2023 to September 30","As a condition of funds in unit of appropriation numbers 103 and 113 in the Department of Health and Mental Hygiene’s (“DOHMH”) bud get, unit of appropriation numbers 423 and 424 in the Department of Education’s (“DOE”) budget, and unit of appropriation number 001 in the Health and Hospitals Corporation’s (“H+H”) budget, DOHMH, DOE and H+H shall submit to the Council quarterly reports identifying the number of full-time equivalent employees and contracted nurses hired by each agency, disaggregated by title if applicable, the salary range, and a listing of schools being served. These quarterly reports shall be submitted on: (i) November 1, 2023 , covering the period beginning July 1, 2023 and ending September 30, 2023 ; (ii) February 1, 202 4, covering the period beginning October 1, 202 3 and ending December 31, 2023 ; (iii) May 1, 202 4 , covering the period beginning January 1, 202 4 and ending March 31, 2024 ; and (iv) August 1, 2024 , covering the period beginning April 1, 2024 and ending June 30, 2024 ."
33,Department of Homeless Services,071,100; 102; 200; 202,4,,,"As a condition of the funds in unit of appropriation numbers 100, 102, 200, and 202, the Department of Homeless Services (“DHS”) shall su bmit to the Council, within 90 days after the release of each financial plan, data regarding services and shelters targeted to the street homeless population. Such reports shall include the following: (1) new placements into low -barrier shelter beds (i.e., safe haven beds, stabilization beds, etc.); (2) the average monthly occupancy for lowbarrier shelter beds; and (3) the average capacity for drop-in centers."
34,Department of Housing Preservation and Development,806,004; 009; Budget Line HD-0009 – All Projects,3,"July 1, 2022; June 30, 2023; October 15, 2023","on July 1, 2022 to on June 30","As a condition of the funds in unit of appropriation numbers 004 and 009 and budget line HD0009, the Department of Housing Preservation and Development (“HPD”) shall submit to the Council, no later than October 15, 2023 , a report detailing the number of buildings in the Article 7A program and the expenditure amount at each building. Such report shall cover the period beginning on July 1, 2022 and ending on June 30, 2023 ."
35,Department of Housing Preservation and Development,806,004; 011,2,"July 1, 2023; July 15, 2024; June 30, 2024","on July 1, 2023 to on June 30","As a condition of the funds in unit of appropriation numbers 004 and 011, the Department of Housing Preservation and Development (“HPD”) shall submit to the Council, no later than July 15, 2024 , a report on the Underlying Conditions Program. Such report shall include the number of underlying conditions issued by HPD, the address of each building to which an unde rlying condition was issued, and the result of each order that was issued. Such report shall cover the period beginning on July 1, 2023 and ending on June 30, 2024 ."
36,Department of Sanitation,827,101; 102; 103; 104; 105; 107,6,,,"As a condition of the funds in unit of appropriation numbers 101, 102, 103, 104, 105, and 107, the Department of Sanitation (“DS NY”) shall submit to the Council, no later than October 15, 202 3 , a report detailing the demographics of uniformed personnel, including gender and race. Such information shall be disaggregated by rank, gender, and race."
37,Department of Sanitation,827,101; 102; 109; 110,4,"July 15, 2024",,"As a condition of the funds in unit of appropriation numbers 101, 102, 109 and 110, the Department of Sanitation (“DSNY”) shall submit to the Council an annual report regarding the school organics collection program. Such report shall include the following information: 1) the number of schools added to the program disaggregated by type of school, name, address, borough, dat e added, and route; 2) the tonnage of organics collected on each route; and 3) a description of the organics education and outreach conducted at each school that is part of the program. Such report shall be submitted no later than July 15, 2024 ."
38,Department of Sanitation,827,102; 109,2,,,"As a condition of the funds in unit of appropriation numbers 102 and 109, the Department of Sanitation (“DSNY”) shall submit to the Council, no later than January 31, 202 4 , a report detailing the number of weekly litter basket pick-ups disaggregated by Community District."
39,Department of Sanitation,827,101; 102; 106,3,,,"As a condition of the funds in unit of appropriation numbers 101, 102, and 106, the Department of Sanitation (“DSNY”) shall submit to the Council, no later than May 1, 202 4 , a report on how many public waste containers were placed in Fiscal 2023 and the location of each such container."
40,Department of Small Business Services,801,006,1,"December 31, 2023; January 31, 2024",,"As a condition of the funds in unit of appropriation 006 in the budget of the Department of Small Business Services (“SBS”), the Economic Development Corporation (“EDC”) shall submit to the Council an annual report regarding NYC Ferry. The annual repo rt shall include: 1) current route map and list of routes and landings served; 2) annual ridership by routes; 3) systemwide On-Time Performance as reported by the Operator; 4) latest demographic information available for ferry riders including percent identifying as New Yorkers; 5) the number and class of vessels currently in the NYC Ferry fleet including their passenger capacity; 6) a breakdown of city capital spending for any major facility completed in the prior year (landings, maintenance facilities, etc); 7) the total city capital spending for any vessel built or acquired in the prior year; 8) the systemwide subsidy from the prior fiscal year ; and 9) the number of participants in the Ferry Forward program disaggregated by eligibility category and borough of residence. Such report shall be submitted on January 31, 2024 , and except where noted shall cover the period from January 1, 202 2 to December 31, 2023 ."
41,Department of Small Business Services,801,002,1,"January 15, 2024; July 1, 2022; June 30, 2023","on July 1, 2022 to on June 30","As a condition of the funds in unit of appropriation number 002, the Department of Small Business Services (“SBS”) shall submit to the Council, no later than January 15, 2024 , a report detailing the number of small businesses served through SBS’s Commercial Lease Assistance Program, disaggregated by borough. The report shall also include a description of the various types of assistance provided to small businesses through the program. Such report shall cover the period beginning on July 1, 2022 and ending on June 30, 2023 ."
42,Department of Small Business Services,801,010; 011,2,"February 28, 2024; July 1, 2023","on July 1, 2023 to on February 28","As a condition of the funds in unit of appropriation numbers 010 and 011, the Department of Small Business Services (“SBS”) shall provide to the Council, no later than April 15, 202 4 , a report detailing the: 1) number of registrants placed at jobs; 2) zip codes in which registrants placed at jobs reside; 3) job category/job classification of job placements (direct managed hires or selfplacement); 4) industry of job placement; and 5) average hourly wage at placement. Such report shall cover the period beginning on July 1, 2023 and ending on February 28, 2024 ."
43,Department of Social Services,069,105; 205,2,"September 1, 2023",,"As a condition of the funds in unit of appropriation numbers 105 and 205, the Human Resources Administration (“HRA”) and the Mayor’s Office to End Domestic and Gender -Based Violence (“ENDGBV”) shall work collaboratively to submit to the Council a report that reflects the ENDGBV funding in its entirety including the total budget of ENDGBV, the total budget by program area, and the total headcount for ENDGBV. Such report shall be submitted within ten days of each financial plan release. Department of Transportation Unit of Appropriation [001] Unit of Appropriation [014] Department of Citywide Administrative Services Unit of Appropriation [890] Department of Parks and Recreation Unit of Appropriation [006] Unit of Appropriation [010] As a condition of the funds in units of appropriation 014 and 001 of the Department of Transportation (""DOT""), funds in units of appropriation 890 of the Department of Citywide Administrative Services (""DCAS""), and funds in units of appropriation 006 and 010 in the Department of Parks and Recreation (""DPR""), shall submit to the Council an annual report due no later than September 1, 2023 including each electric vehicle charging station, status of installation, and location, and frequency of use."
44,Department of Youth and Community Development,260,312,1,"August 1, 2023",,"As a condition of the funds in unit of appropriation number 312, the Department of Youth and Community Development (“DYCD”) shall provide a report to the Council no later than August 1, 2023 , on the utilization of older youth beds (those serving youth 21-24 years of age), including average daily attendance for Fiscal 202 3 . This report shall also be disaggregated by borough and provider agency. ."
45,Department of Youth and Community Development,260,311; 312; 001,3,"April 1, 2024; August 1, 2024; December 31, 2023; February 1, 2024; January 1, 2024; July 1, 2023; June 30, 2024; March 31, 2024; May 1, 2024; November 1, 2023; October 1, 2023; September 30, 2023","July 1, 2023 to September 30","As a condition of funds in units of appropriations 311 and 312 in the Department of Youth and Community Development’s (“DYCD”) budget and in unit of appropriation 001 in the New York Police Department’s (“NYPD”) budget, DYCD and NYPD shall provide to the Council quarterly reports on daily attendance numbers at Saturday Night Lights programs, disaggregated by site location. Such quarterly reports shall be submitted as follows: (i) for the period beginning July 1, 2023 and ending September 30, 2023, the report shall be submitted by November 1, 2023; (ii) for the period beginning October 1, 2023 and ending December 31, 2023, the report shall be submitted by February 1, 2024; (iii) for the period beginning January 1, 2024 and ending March 31, 2024, the report shall be submitted by May 1, 2024; and (iv) for the period beginning April 1, 2024, and ending June 30, 2024 the report shall be submitted by August 1, 2024. DYCD and NYPD shall ensure that there is programming for the disabled and the report submitted on April 1, 2024 shall also include information on the total annual budget for the Saturday Night Lights program, the locations in which the programming takes place, and the programming and activities that are held at each event and if each program or activity are available and accessible to people with disabilities. The reporting shall also include a breakdown of costs disaggregated by agency, and shall include personal services (“PS”) costs, including but not limited to overtime; other than personal services (“OTPS”) costs; and costs of any associated contracts. Department of Youth and Community Development Unit of Appropriation [005] Unit of Appropriation [311] As a condition of funds in units of appropriation 005 and 311, the Department of Youth and Community Development (“DYCD”) shall submit to the Council, on a semi-annual basis, a report detailing spending for the Adult Literacy program, including but not limited to: 1) how much is included in the agency’s budget for the Adult Literacy program, 2) how spending is distributed across community based organizations, 3) how much is the rate per student by each of the community-based organizations and 4) the number of students. These semi-annual reports shall be submitted on February 1, 2024 covering the period beginning on July 1, 2023 and ending on December 31, 2023 and on August 1, 2024 covering the period beginning on January 1, 2024 and ending on June 30, 2024."
46,Fire Department,057,001; 002; 003; 004; 005; 006; 007; 008,8,"October 15, 2023",,"As a condition of the funds in unit of appropriation numbers 001, 002, 003, 004, 005, 006, 007, and 008, the Fire Department (“FDNY”) shall submit to the Council, no later than October 15, 2023 , a report detailing the demographics of uniformed personnel and the demographics of all Emergency Medical Services personnel, including gender, race, and ethnicity. Such information shall be disaggregated by rank or title, gender, race, and ethnicity."
47,Health and Hospitals Corporation,819,001,1,,,"As a condition of the funds in unit of appropriation number 001, the Health and Hospitals Corporation (“H+H”) shall submit to the Council, no later than January 31, 202 4 , a report on budgeted and actual headcount for H+H's correctional health staff by title."
48,Health and Hospitals Corporation,819,001,1,"December 31, 2023; February 15, 2024; January 1, 2023","January 1, 2023 to on December 31","As a condition of the funds in unit of appropriation number 001, the Health and Hospitals Corporation (“H+H”) shall submit to the Council, no later than February 15, 2024 , a report on the hospital utilization rate of beds and the average length of stay, in total and disaggregated by hospital. Such report shall cover the period beginning January 1, 2023 and ending on December 31, 2023 ."
