category,agencies,initiative,amount
HOMELESS SERVICES,DHS,Citywide Homeless Prevention Fund,250000
HOMELESS SERVICES,DHS,Medical Service Reduction in Adult Shelter PEG Restoration,1200000
HOUSING,HPD,Citywide Task Force on Housing Court,500000
HOUSING,HPD,Community Consultants,415000
HOUSING,HPD,Housing Preservation Initiative,1250000
HOUSING,HPD,Mortgage Foreclosure Prevention Program,750000
HOUSING,HPD,Anti-Eviction & SRO Legal Services,2000000
HOUSING,HPD,PRATT Block by Block,200000
HOUSING,HPD,Subsidized Housing Information Project (SHIP),45000
HOUSING,HPD,Association for Neighborhood and Housing Development,100000
LIBRARIES,NY,Public Library (Research) Fiscal 2012 Subsidy Restoration,4270000
LIBRARIES,NY,Public Library (Branches) Fiscal 2012 Subsidy Restoration,22692000
LIBRARIES,Brooklyn,Public Library Fiscal 2012 Subsidy Restoration,17019000
LIBRARIES,Queens,Borough Public Library Fiscal 2012 Subsidy Restoration,17019000
PARKS AND RECREATION,DPR,Parks Job Training Restoration,2900000
PARKS AND RECREATION,DPR,Playground Associates Restoration,1000000
PARKS AND RECREATION,DPR,Pools- Restoration of Pools Closures,546000
PARKS AND RECREATION,DPR,Pools- Maintenance of Pool Season,891000
PARKS AND RECREATION,DPR,Seasonal Plan Restoration,2483500
SENIOR SERVICES,SBS,Consortium for Worker Education,1000000
SENIOR SERVICES,SBS,Food Cooperative Expansion Initiative,50000
SENIOR SERVICES,SBS,Food Distribution Study,50000
SENIOR SERVICES,SBS,Food Retail and Workforce Training and Placement Program,45000
SENIOR SERVICES,SBS,High Tech Connect,150000
SENIOR SERVICES,SBS,IBZ RFP Restoration,96000
SENIOR SERVICES,SBS,Jobs to Build On,3500000
SENIOR SERVICES,SBS,MWBE Leadership Associations,600000
SENIOR SERVICES,SBS,Small Business and Job Development / Financial Literacy,600000
SENIOR SERVICES,DoITT,Diversity in Media Program,100000
SOCIAL SERVICES,DYCD,Expansion at New Amsterdam,45000
SOCIAL SERVICES,DYCD,Household Composting Program (GrowNYC),45000
SOCIAL SERVICES,DYCD,Expand Low-Income Farmer’s Markets (Harvest Home),60000
SOCIAL SERVICES,DYCD,Disconnected Youth Training Program (GrowNYC),65000
SOCIAL SERVICES,DYCD,Earned Income Tax Credit (Food Bank),150000
SOCIAL SERVICES,DYCD,EBTs at Food Markets (GrowNYC),270000
SOCIAL SERVICES,DYCD,Food Pantries,570000
SOCIAL SERVICES,HRA,Food Pantries,1500000
SOCIAL SERVICES,HRA,HASA Money Management GMHC - PEG Restoration,200000
SOCIAL SERVICES,HRA,HASA Nutrition Program Administration - PEG Restoration,995000
SOCIAL SERVICES,HRA,Teen Relationship Abuse Prevention Program (RAPP) –PEG Restoration,2000000
SOCIAL SERVICES,HRA,HASA Supportive Housing Contract Reduction - PEG Restoration,2368000
SOCIAL SERVICES,HRA,HASA Supportive Housing Case Managers - PEG Restoration,2718000
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,Adult Literacy PEG Restoration,1000000
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,Adult Literacy Services Initiative,1500000
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,PAX Anti-Gun Project,50000
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,YMCA After School Program,350000
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,New York Junior Tennis League,800000
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,Sports & Arts in Schools (SASF),1000000
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,Beacon PEG Restoration,2300000
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,OST Option II PEG Restoration,2200000
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,After -Three Corporation,3000000
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,Runaway and Homeless Youth Services PEG Restoration,7170000
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,OST Option I PEG Restoration,9950000
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,New York Immigration Coalition,100000
YOUTH AND COMMUNITY DEVELOPMENT,DYCD,Immigrant Opportunities Initiative (IOI),4000000
