member,organization,program,ein,amount,purpose
Hanks,"Community Agency for Senior Citizens, Inc.",Cassidy Coles Older Adult Center,133263537,15000,Funds will be used to provide services and support to Cassidy Coles Older Adult Center.
Hanks,"Community Agency for Senior Citizens, Inc.",New Lane Older Adult Center,133263537,10000,Funding will support services at the New Lane Older Adult Center.
Williams,"Community Bridge Home, Inc.",,113192295,5000,"Funding will cover costs associated with teaching intermediate bridge, providing dance and exercise classes."
Powers,Community Service Society of New York,,135562202,5000,Funding will support the retired and senior volunteer program for older adults in Council District 4.
Carr,Community Service Society of New York,AmeriCorps Seniors RSVP Program,135562202,5000,Funds will support programmatic and operating costs of the AmeriCorps Seniors RSVP program in Staten Island.
Jordan,Convent Avenue Baptist Church- Hamilton Grange Senior Center Program,,132780116,10000,Funding to support senior services provided by Convent Avenue Baptist Church in Council District 9.
Feliz,"Council of Belmont Organizations, Inc.",Public Benefits Support,132755323,10000,"Funds will support COBO'S senior assistance programming, including filing paperwork for public benefits."
Louis,"Council of Jewish Organizations of Flatbush, Inc.",Elder Abuse Prevention,112864728,5000,"Funds will support COJO service in Council District 45 for immigrant seniors, providing them with assistance to complete applications to obtain permanent residence and citizenship, work permits, adjustments of immigrant status, and fee waiver."
Louis,"Council of Peoples Organization, Inc.",Council District 45,753046891,6000,Funds will support senior programming in Council District 45.
Hanif,"Council of Peoples Organization, Inc.",Senior Center Programming,753046891,16500,"To support Senior Center and related programs that provide hot meals and food pantry items, as well as offering them critical services in case management, nutrition, and education. Appendix A: Aging Discretionary Page 7 Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds"
Brewer,"Council of Senior Centers and Services of NYC, Inc.",Rights & Information for Senior Empowerment,132967277,5000,Funding will support Rights & Information for Senior Empowerment programming and services in Council District 6.
Osse,"Crown Heights Jewish Community Council, Inc.",,237390996,10000,Funding will be used to support senior services and food pantry in Council District 36.
Hudson,"Crown Heights Jewish Community Council, Inc.",Senior Programs - Council District 35,237390996,30000,Funding will be used to support senior programs and services in District 35.
Joseph,Crown Heights Preservation Committee Corporation,Senior Center Services & Food Bank - Council District 40,112322490,20000,"Funds will support senior exercise classes, as well as staff salaries, supplies, arts and crafts and meals on wheels."
Hudson,Crown Heights Preservation Committee Corporation,Shalom Senior Center,112322490,10000,"Funding to promote Shalom Senior Center activities such as English Second Language (ESL), fitness classes, arts and crafts and to defray costs of wheel chair accessible bus."
Mealy,Crown Heights Preservation Committee Corporation,Shalom Senior Center,112322490,10000,Funds will enhance programs and support Shalom Senior Center expenses.
Nurse,"Cypress Hills Fulton Street Senior Citizens Center, Inc.",Senior Programs - District 37,112297647,50000,"Funds will go to operational support for NYC Department for the Aging mandated services, health promotion and exercise, technology, insurance and supplemental staff expenses."
Hanif,"Dances for a Variable Population, Inc.",Movement Speaks - Park Slope Senior Center & Dance for Seniors - Eileen Dugan Senior Center,264572204,5000,Funds to support MOVEMENT SPEAKS® sequential dance workshops held at the Park Slope Center for Successful Aging and DANCES FOR SENIORS workshop/performances offered at Park Slope Senior Center and Eileen Dugan Senior Center.
Bottcher,"Dances for a Variable Population, Inc.",Senior Dance & Community Wellness,264572204,8000,Funds will support Senior Dance and Community Wellness classes.
