member,organization,program,ein,amount,purpose
Won,"HANAC, Inc.",Ravenswood Senior Center,112290832,10000,"Funding will be used to provide social services, health promotion, wellness with nutrition, health exercises, evidence base programming, education and art classes."
Caban,"HANAC, Inc.",Senior Services - Council District 22,112290832,7000,"Funds will be used to support the Extended Services Program, which provides free senior casework in Council District 22."
Jordan,"Harlem Advocates for Seniors, Inc.",,811966114,10000,Funding to support senior and housing services in Council District 9.
Abreu,"Harlem Advocates for Seniors, Inc.",Senior Committee Older Adult Program - Council District 7,811966114,10000,Funding to support programming for older adults in Council District 7.
Jordan,"Harlem Presents, Inc.",Harlem Village,800783830,20000,"Funds will be used to provide free cultural entertainment for the village of Harlem, with activities taking place in Council District 9. Appendix A: Aging Discretionary Page 11 Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds"
Jordan,"Harlem Pride, Incorporated",Harlem Pride,272191962,6500,Funds will be used to support operating costs of outreach and community engagement programs for seniors.
Bottcher,"Hartley House, Inc.",HOPE Program,131656652,9000,Funds will support HOPE programming and services.
Menin,"Health Advocates for Older People, Inc.",,134165807,6500,"To fund the Healthy Aging Program which promotes maintenance of physical and mental health for elderly residing in Council District 5, publicly noticed through Council District 5 monthly newsletter and website."
Carr,"Health Essential Association, Inc.",,452871053,10000,Funds to be used for programming and services for seniors.
Restler,"Heights and Hills, Inc.",Case Management - Council District 33 Volunteer Program,237237927,15500,To provide in-home case management services in Council District 33.
Aviles,"Heights and Hills, Inc.",Case Management & Volunteer Programs,237237927,10000,"To provide nutritious meals (offered onsite only), educational and recreational activities, behavioral health sessions, and comprehensive case assistance services."
Joseph,"Heights and Hills, Inc.",Case Management Services Volunteer Program - Council District 40,237237927,5000,Funds will support programs and work to assist seniors from Council District 40 through its volunteer program.
Hudson,"Heights and Hills, Inc.",Case Management Support - District 35,237237927,10000,Funding for volunteer programs in support of ongoing in-home case management for homebound seniors.
Hanif,"Heights and Hills, Inc.",Senior Center Programming,237237927,19000,"Funds will be used to support arts and cultural programs, education and recreation, technology classes, health promotion and general operations of the center."
Joseph,"Helen Keller International, Inc.",New York Vision Program: Clear Sight for Seniors - Council District 40,135562162,5000,Funding will be used to provide seniors access to vision care in Council District 40.
Hanif,Helen Keller Services,Adaptive Living Program,111630807,5000,"To support the Adaptive Living Program for legally-blind older adults, aged 55 and older."
Restler,Helen Keller Services,Adaptive Living Program - Council District 33,111630807,5000,To support the free Adaptive Living Program (ALP) for visually impaired seniors in Council District 33.
Brannan,Helen Keller Services,Assistance & Training for Legally Blind Older Adults,111630807,5000,"To support skills based training, resource navigation, and other assistance for legally blind older adults."
Rivera,Henry Street Settlement,Vladeck Senior Services,131562242,15000,Funds will support the Henry Street Senior Center.
Yeger,"Homecrest Community Services, Inc.",,113373115,5000,"Funding to provide educational and recreational services for seniors, access and translation (Chinese-English) services, case assistance, community workshops, health and wellness promotion."
Vernikov,"Homecrest Community Services, Inc.",Homecrest Senior Center,113373115,5000,Funding to support operational expenses and social services programming for seniors at Homecrest Senior Center.
Kagan,"Homecrest Community Services, Inc.",Senior Program - Council District 47,113373115,10000,Funds will be used to provide space for Immigrant population in the Senior Center in Council District 47.
Brannan,"Homecrest Community Services, Inc.","Social, Recreational, & Wellness Programming for Seniors - Council District 43",113373115,5000,To support programming to serve social needs and general well being of older adults in Council District 43.
Stevens,"Hope of Israel Senior Citizens Center, Inc.",Hope of Israel Senior Center - Council District 16,132749857,7000,Funding to support recreational activities and programming at the Hope of Israel Senior Citizens center in Council District 16. Appendix A: Aging Discretionary Page 12 Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds
Salamanca,"Housing Options and Geriatric Association Resources, Inc.",Senior Case Assistance Program & Golden Age Clubhouse - Council District 17,133887707,25000,To support the Senior Case Assistance Program/Golden Age Clubhouse for low income seniors in Council District 17.
Gennaro,"India Home, Inc.",,208747291,40000,"Funding will provide halal lunch, exercise, physical therapy, and yoga sessions for seniors to keep them healthy and active."
Krishnan,"India Home, Inc.",,208747291,13000,Funds will be used to support India Home's Senior Center Programs & Support Services.
Williams,"India Home, Inc.",,208747291,10000,"Funds will be used to support culturally competent senior programming, home delivered meals & groceries, wellness check-up calls, virtual health and wellness activities, educational seminars, civic engagement, etc."
Ung,"India Home, Inc.",Senior Center Programs & Support Services,208747291,7500,Funding to support culturally competent and linguistically accessible senior services and programming to older adults in Council District 20.
Adams,"India Home, Inc.",Seniors Services - Council District 28,208747291,11000,Funds will support case management and programing at senior center in Richmond Hill.
Stevens,"Institute for the Puerto Rican/Hispanic Elderly, Inc.",Arturo Schomburg Senior Center - Council District 16,132987263,15000,Funds will be used to cover the cost of running recreational activities at the IPR/HE Arturo Schomburg Senior Center in Council District 16.
Ayala,"Institute for the Puerto Rican/Hispanic Elderly, Inc.",Betances Senior Center,132987263,10000,"To provide funding for health and fitness workshops, cultural events and activities, as well as critical case assistance to seniors and families at Betances Senior Center."
Farias,"Institute for the Puerto Rican/Hispanic Elderly, Inc.",Bronx River Houses & James Monroe Houses - Council District 18,132987263,25000,Funding to support the Health Aging Program at Bronx River Houses and James Monroe Houses in Council District 18.
Salamanca,"Institute for the Puerto Rican/Hispanic Elderly, Inc.",Bronx River Older Adult Center,132987263,25000,Funds will be used for Bronx River Older Adult Center programming.
Ayala,"Institute for the Puerto Rican/Hispanic Elderly, Inc.",Carver Senior Center,132987263,10000,Access to critical Services for seniors at Carver Senior Center.
Krishnan,"Institute for the Puerto Rican/Hispanic Elderly, Inc.",Elmhurst/Jackson Heights Senior Center,132987263,5000,"To fund Elmhurst/Jackson Heights Senior Center’s educational and recreational programs and activities, as well as case assistance to center seniors and their caregivers."
Won,"Jacob A. Riis Neighborhood Settlement, The",Queensbridge - Riis Neighborhood Senior Center,111729398,30000,Funding to support Queensbridge/Riis Neighborhood Senior Center.
Powers,"James Lenox House Association, Inc.",Geriatric Nurse,131624148,5000,Funding will support a Registered Nurse geriatrician who services residents two evenings weekly.
Ayala,Jewish Association for Services for the Aged (JASA),1199 NORC,132620896,5000,"To provide funding for JASA's health-related programming, which addresses chronic diseases, nutrition, and weight management."
Gutierrez,Jewish Association for Services for the Aged (JASA),Bushwick/Hylan NORC,132620896,10000,To support programming for seniors at Bushwick/Hylan NORC SSP.
Brewer,Jewish Association for Services for the Aged (JASA),Club 76 Older Adult Center,132620896,5000,Funds will support JASA Club 76 Older Adult Center programming and services.
Brooks-Powers,Jewish Association for Services for the Aged (JASA),Council District 31,132620896,10000,Funding will support JASA’s socialization and intergenerational programming in Council District 31. Appendix A: Aging Discretionary Page 13 Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds
Brooks-Powers,Jewish Association for Services for the Aged (JASA),Digital Literacy Education - Council District 31,132620896,10000,Funding will support digital literacy education for seniors in Council District 31.
Narcisse,Jewish Association for Services for the Aged (JASA),HES Older Adult Center,132620896,25000,Funding to provide services and activities for seniors at the HES Older Adult Center.
Lee,Jewish Association for Services for the Aged (JASA),Holliswood Older Adult Center,132620896,6000,"Funding to support senior programming, events, and activities in Holliswood Older Adult Center."
Bottcher,Jewish Association for Services for the Aged (JASA),Penn South,132620896,19500,"Funds will support health and educational programs, cultural and recreational activities, counseling, referral and other related services to improve the quality of life of Penn South residents."
Ung,Jewish Association for Services for the Aged (JASA),Queens Elder Abuse Prevention Program (LEAP),132620896,5000,"To support elder abuse prevention and counseling, including legal consultation and representation, in Council District 20."
Jordan,Jewish Association for Services for the Aged (JASA),Riverton Square NORC,132620896,10000,Funding will support senior services at Riverton Square NORC.
Brewer,Jewish Association for Services for the Aged (JASA),RNA House NORC - Supportive Services Program,132620896,5000,Funds will support Supportive Services Program at RNA House NORC.
Ariola,Jewish Association for Services for the Aged (JASA),Rockaway Park Senior Center,132620896,10000,Funds will be used to support programming and services as well as operational expenses of Rockaway Park Senior Center.
Brooks-Powers,Jewish Association for Services for the Aged (JASA),Roy Reuther Older Adult Center,132620896,15000,"Funding will support virtual and in-person digital literacy classes for seniors at Roy Reuther Older Adult Center, located, in Council District 31."
Vernikov,Jewish Association for Services for the Aged (JASA),Senior Alliance Senior Center,132620896,10000,"Funding to support programming, activities and services at JASA Senior Alliance 161 Corbin Place."
Vernikov,Jewish Association for Services for the Aged (JASA),Senior Food Program - Council District 48,132620896,5000,Funding for home delivered meals for seniors residing in the 48th Council District.
Kagan,Jewish Association for Services for the Aged (JASA),Senior Program - Council District 47,132620896,10000,Funds will provide senior services and programming in Council District 47.
Vernikov,Jewish Association for Services for the Aged (JASA),Sheuer House Brighton 6,132620896,5000,"Funding to support programs, senior outings, supplies and operating costs at Scheuer House Brighton 6"
Brewer,Jewish Association for Services for the Aged (JASA),St. Martins Tower NORC - Supportive Services Program,132620896,5000,Funds will support NORC Supportive Services Program.
Barron,Jewish Association for Services for the Aged (JASA),Starrett City Senior Center,132620896,8000,Funding to support operating expense costs for senior programming at Starrett City Senior Center.
Velazquez,Jewish Association for Services for the Aged (JASA),Sue Ginsburg Older Adult Center,132620896,8000,"To support general operating expenses, cultural events, senior transportation at JASA Sue Ginsburg Older Adult Center."
Velazquez,Jewish Association for Services for the Aged (JASA),Throggs Neck Older Adult Center,132620896,5000,"Funding to support general operating expenses, cultural events, and senior transportation at JASA Throggs Neck Older Adult Center."
Vernikov,Jewish Association for Services for the Aged (JASA),Trumps United,132620896,5000,"Funding to support programming, activities and services at JASA Trump United"
Gutierrez,Jewish Association for Services for the Aged (JASA),Williamsburg Senior Center,132620896,10000,To support programming for seniors at Williamsburg Senior Center.
Carr,"Jewish Community Center of Staten Island, Inc.",,135562256,11000,"Funds will enhance and expand current programming, including case management, referrals, nutrition, education and recreation. Appendix A: Aging Discretionary Page 14 Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds"
Borelli,"Jewish Community Center of Staten Island, Inc.",Senior Olympics,135562256,5000,Funds will be used to support Senior Olympics.
Hanks,"Jewish Community Center of Staten Island, Inc.",Stapleton Older Adult Center,135562256,15000,Funding will support an Outreach Coordinator at the Stapleton Older Adult Center.
Osse,"Jewish Community Council of Greater Coney Island, Inc.",,112665181,10000,Funds will be used to support senior transportation services in Council District 36.
Vernikov,"Jewish Community Council of Greater Coney Island, Inc.",Homecare Program,112665181,20000,Funding to support the expenses related to Senior Citizen Homecare programming and Services.
Vernikov,"Jewish Community Council of Greater Coney Island, Inc.",Jay Harama Senior Center,112665181,5000,"Funding to support various programming, activities and services at Jay Harama Senior Center."
Kagan,"Jewish Community Council of Greater Coney Island, Inc.",Marlboro Older Adult Center,112665181,8000,Funds will be used to support our Marlboro Older Adult Center's Healthy Aging services.
Hanif,"Jewish Community Council of Greater Coney Island, Inc.",Older Adult Citizen Transportation Program,112665181,5000,Funds will support the Older Adult Citizen Transportation Program which provides both individual and group trips for frail elderly transporting them to medical and non- medical essential services and appointments.
Aviles,"Jewish Community Council of Greater Coney Island, Inc.",Older Adult Transportation,112665181,5000,Funds will be used to support Older Adult Citizen Transportation Program which provides both individual and group trips for frail elderly transporting them to medical and non-medical essential services and appointments.
Louis,"Jewish Community Council of Greater Coney Island, Inc.",Senior Citizen Program - Council District 45,112665181,5000,"Funds will be used to support our Older Adult Center programs such as educational/recreational classes, home delivered meals and congregate meals at JCCGCI Older Adult Centers."
Brannan,"Jewish Community Council of Greater Coney Island, Inc.",Senior Citizen Transportation - Council District 43,112665181,5000,To support free transportation services for older adults in Council District 43.
Vernikov,"Jewish Community Council of Greater Coney Island, Inc.",Senior Food Program,112665181,7500,"Funds to support seniors in need services, food pantry and home delivered meals program."
Vernikov,"Jewish Community Council of Greater Coney Island, Inc.",Senior Transportation Program,112665181,7500,Funding to support senior transportation program which transports seniors of medical and non-medical appointments.
Ariola,"Jewish Community Council of the Rockaway Peninsula, Inc.",,112425813,20000,Funds will be used to support Kosher Client Choice Food Pantry especially for senior clients and Holocaust survivors and to support social services coordination.
Abreu,Jewish Home Lifecare Manhattan,Geriatrics Career Development (GCD) - Council District 7,131624033,5000,Funding to support Geriatrics Career Development in Council District 7.
Farias,Kips Bay Boys & Girls Club,Castle Hill Senior Center,131623850,20000,Funding to continue programming at the Castle Hill Senior Center.
Ung,"Korean American Senior Citizens Society of Greater New York, Inc.",Korean American Senior Services,112455396,5000,To support Korean American senior case assistance and senior programming for residents in Council District 20.
Paladino,"Korean Community Services of Metropolitan New York, Inc.",Social Service Program,237348989,10000,Funds will support expenses for social adult day care in Council District 19.
Gutierrez,"La Nueva Esperanza, Inc.",Senior Support - Council District 34,204393724,10000,To provide services to seniors suffering with substance abuse and/or HIV/AIDS.
Menin,"Lenox Hill Neighborhood House, Inc.",,131628180,17500,"To support the East Side Case Management Consortium, the Center at Lenox Hill Neighborhood House and the Support Our Seniors programing. Appendix A: Aging Discretionary Page 15 Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds"
Powers,"Lenox Hill Neighborhood House, Inc.",Senior Center at Saint Peter's Church,131628180,15000,"Funding will support the Senior Center at Saint Peter's Church, which serves seniors annually with diverse meal, intellectual, health and social programs."
Powers,"Lenox Hill Neighborhood House, Inc.",Senior Transportation,131628180,5000,Funding will support transportation for seniors to programs at the Center.
Carr,"Lifestyles for the Disabled, Inc.",,133740011,8000,"Funding will be used for the operational costs to provide meals, movie nights, art classes, and other entertaining activities throughout the year to Staten Island seniors."
Borelli,"Lifestyles for the Disabled, Inc.",Horticulture Program,133740011,12500,Funding to support remarkable horticulture program.
Hanks,"Lifestyles for the Disabled, Inc.",Serving Our Seniors,133740011,10000,Funding will support the Serving Our Seniors program in Council District 49.
Holden,"Maspeth Town Hall, Inc.",Senior Programming,237259702,10000,"Funds to be used for staff support, programming, activities for seniors in Council District 30."
Carr,"Meals on Wheels of Staten Island, Inc.",,132894978,10000,Funds will be used to help support the Meals on Wheel Nutrition Services.
Bottcher,"Medicare Rights Center, Inc.",,133505372,5000,Funding to support Medicare Education and Enrollment services.
Lee,"Medicare Rights Center, Inc.",,133505372,5000,To fund Town Hall Enrollment and Outreach in Council District 23.
Powers,"Medicare Rights Center, Inc.",Council District 4,133505372,5000,Funding will support community presentations in Council District 4 about how to access and enroll in Medicare programs.
Brewer,"Medicare Rights Center, Inc.",Education & Enrollment Program,133505372,5000,Funds will support the Education & Enrollment Program and services in District 6.
Brannan,"Medicare Rights Center, Inc.",Medicare Counseling & Enrollment Assistance - Council District 43,133505372,5000,To support Medicare enrollment assistance and counselling/advice for Council District 43 residents.
Hudson,"Medicare Rights Center, Inc.",Medicare Education & Enrollment Virtual Town Hall - District 35,133505372,5000,To fund Medicare education town halls in District 35.
Sanchez,"Mekong, Inc.",Social Services Assistance Program,800834777,10000,"Funds will provide essential in-language social services for Southeast Asian (mostly Cambodian and Vietnamese) women and seniors in the Bronx, to create a safety net for the Southeast Asians."
Williams,"Merrill Park Civic Association of Springfield Gardens, Inc.",Robert Couche Senior Center,112304928,5000,Funds will be used to support the cost associated with senior programming.
Ariola,"Metropolitan New York Coordinating Council on Jewish Poverty, Inc.",,132738818,17500,This funding will support district based senior services.
Borelli,"Metropolitan New York Coordinating Council on Jewish Poverty, Inc.",,132738818,15000,Funding to senior home repair program for Council District 51 constituents.
Krishnan,"Metropolitan New York Coordinating Council on Jewish Poverty, Inc.",,132738818,10000,"Funding for case workers to assist senior clients facing evictions, medical payments and various other services for seniors."
Hanif,"Metropolitan New York Coordinating Council on Jewish Poverty, Inc.",Case Workers & SenioRepair Program,132738818,5000,"To support cost of case workers who help clients under threat of eviction or utility shutoff, those who cannot pay medical bills, and have other emergencies, including those in need of the SenioRepair program."
Ung,"Metropolitan New York Coordinating Council on Jewish Poverty, Inc.",Senior Repair Program - Council District 20,132738818,5000,To provide free handyman services and home repairs for low-income older adults in Council District 20.
Brannan,"Metropolitan New York Coordinating Council on Jewish Poverty, Inc.",Social Services,132738818,7500,To support Met Council's social services and assistance. Appendix A: Aging Discretionary Page 16 Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds
Abreu,"Metropolitan New York Coordinating Council on Jewish Poverty, Inc.",Social Services Program - Council District 7,132738818,7500,"Funding to support senior clients secure government benefits and entitlements, including counseling, financial assistance and emergency food in Council District 7."
Abreu,"Morningside Retirement and Health Services, Inc.",NORC Program - Council District 7,136206256,7500,Funding to support the Morningside Retirement and Health Services NORC program.
Sanchez,"Morris Heights Health Center, Inc.",Community Engagement - Council District 14,061081232,20000,To support community engagement around the new community center and well as local community events for Morris Heights seniors.
Velazquez,"Morris Park Community Association, Inc.",,237429900,5000,Funding will support senior services provided by MPCA in Council District 13.
Sanchez,"Mosholu-Montefiore Community Center, Inc.",Fort Independence Social Club,133622107,15000,Renewal for an existing Fort Independence Social Club. The program will support teaching artists for creative aging goals. Creative Aging fosters advanced level skill- building with a comprehensive curriculum and culminating events.
De La Rosa,"Mosholu-Montefiore Community Center, Inc.",Marble Hill Senior Citizen Center,133622107,10000,To support programming at the Marble Hill Senior Center.
Feliz,"Mosholu-Montefiore Community Center, Inc.",Mosholu Montefiore Neighborhood Senior Center,133622107,10000,Fund will support senior-oriented programing at the Mosholu Montefiore Neighborhood Senior Center.
Dinowitz,"Mosholu-Montefiore Community Center, Inc.",Neighborhood Senior Center - Council District 11,133622107,25000,"Funding to support programming activities for older adults, including special events, trips, program marketing, consultants to facilitate activities to seniors, incentives for recruitment and retention for seniors and staffing."
Menin,Moving For Life,,465251831,7500,Funding will support an adult exercise and movement program within Council District 5.
Menin,Moving For Life,,465251831,7000,To support a Senior Fitness classes weekly in John Jay Park in City Council District 5 for fall and spring that introduce seniors to athletic activities in a supportive and social environment.
Abreu,Moving For Life,Exercise for Health - Council District 7,465251831,7000,Funding to support Moving for Life programming in Council District 7.
Hanks,"Mt. Sinai Center for Community Enrichment, Inc.",Senior Day Care,134082027,15000,Funding will support the Senior Day Care program in Council District 49.
Yeger,"Nachas Health and Family Network, Inc.",,113067201,5000,"Funds will support a comprehensive senior program, including detailed case management sessions resulting in entitlement procurement, including client prescreening, etc."
Jordan,"National Jazz Museum in Harlem, The",,133853627,25000,Funding will support senior services and programming in Council District 9.
Krishnan,"Neighborhood Housing Services of Queens CDC, Inc.",,471267077,5000,To fund informational programming about home ownership and senior citizens assistance programs.
Salamanca,"Neighborhood Self Help by Older Persons Project, Inc.",Casa Boricua Senior Center - Council District 17,133077047,10000,Funds will support senior activities and events at Casa Boricua Senior Center.
Salamanca,"Neighborhood Self Help by Older Persons Project, Inc.",Lafayette Estates NORC - Council District 17,133077047,15000,Funds will support senior activities and events at Lafayette Estates NORC Supportive Services program.
Farias,"Neighborhood Self Help by Older Persons Project, Inc.",Lafayette Estates NORC - Council District 18,133077047,15000,"Funding to provide educational, socialization, and health and wellness programs at the Lafayette Estates NORC in Council District 18."
Jordan,"New Economy Project, Inc.",,133842270,8500,Funding will support senior services and programming in Council District 9. Appendix A: Aging Discretionary Page 17 Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds
Carr,"New York City Verrazano 10-13 Association, Inc.",,134151778,5000,"Funds will be used to support free workshops, marketing material and general operating expenses for the senior safety & security workshops."
Borelli,"New York City Verrazano 10-13 Association, Inc.",Senior Programs - Council District 51,134151778,5000,Funding to support senior programs in Council District 51.
Menin,"New York Foundation for Senior Citizens, Inc.",,132618568,10000,"To support the Home Sharing and Respite Care Program for residents in Council District 5, publicly noticed through Council District 5 monthly newsletter and website."
Rivera,"New York Foundation for Senior Citizens, Inc.",Council District 2,132618568,10000,Funds will support New York Foundation for Senior Citizens programs and operations in Council District 2.
Powers,"New York Foundation for Senior Citizens, Inc.",Council District 4,132618568,5000,"Funding will support the Home Sharing/Respite Care program, which provides home care assistance to seniors in Council District 4."
De La Rosa,"New York Foundation for Senior Citizens, Inc.",Dyckman Senior Center,132618568,15000,To support programming at the Dyckman Senior Center.
Brewer,"New York Foundation for Senior Citizens, Inc.",Home Sharing & Respite Care Program,132618568,5000,Funds will support Home Sharing and Respite Care Program.
Narcisse,"New York Foundation for Senior Citizens, Inc.",Home Sharing & Respite Care Program - Council District 46,132618568,5000,Funds will be used to provide services to seniors in the Council District 46.
Marte,"New York Foundation for Senior Citizens, Inc.",LaGuardia Senior Center,132618568,8500,"The funds requested will be used to WiFi the centers, which will enhance and expand LaGuardia Senior Center's health promotion, social and recreational programs and services."
Marte,"New York Foundation for Senior Citizens, Inc.",Mott Street Senior Center,132618568,7500,"The funds requested will be used to WiFi the centers, which will enhance and expand Mott Street Senior Center's health promotion, social and recreational programs and services."
Holden,"New York Irish Center, Inc.",Senior Programming,550869151,5000,Funds to be used to support programs and services for seniors.
Won,"New York Irish Center, Inc.",Senior Wellness & Socialization Program,550869151,20000,Funding will supplement activities for seniors such as communal dining lunch to seniors and computer training for seniors.
Hanif,New York Memory Center,,112713960,6000,Funds will provide escorted round-trip transportation to-and-from members' homes for most Brooklyn neighborhoods and computer based cognitive training classes.
Brannan,"NIA Community Services Network, Inc.",Programming & Assistance for Seniors,112697931,31000,"To support for NIA's recreational, assistance, and support services."
Kagan,"NIA Community Services Network, Inc.",Senior Services - Council District 47,112697931,10000,Funds will be used to provide services for seniors that include healthy-aging and arts programming.
Borelli,"Noble Maritime Collection, The",,133351673,10000,Funding will support arts programming and support for seniors in Council District 51.
Restler,North Brooklyn Development Corporation,Tenant Services - Council District 33,112555446,10000,"To support the Tenant Services program for seniors that will educate, advise, assist senior tenants at risk of residential displacement, inform community resident of housing rights & assist seniors in securing affordable housing."
Velazquez,"North East Bronx Senior Citizens Center, Inc.",,132759045,15000,To support the continuation of programming and senior services at the North East Bronx Senior Citizens Center. Appendix A: Aging Discretionary Page 18 Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds
Vernikov,"Ohel Children's Home and Family Services, Inc.",,116078704,5000,Funding to support a variety of district based senior services.
Kagan,"Ohel Children's Home and Family Services, Inc.",Senior Program - Council District 47,116078704,8000,"Funds will be used to provide services to older adults including outpatient mental health counseling, case management, and opportunities for socialization."
Bottcher,"Older Adults Technology Services (OATS), Inc.",,550882599,5000,Funds will provide free intensive and high-quality technology trainings for seniors.
Hanif,"Older Adults Technology Services (OATS), Inc.",,550882599,7500,Funds will support free intensive and high-quality technology trainings aimed at closing the digital divide and connecting seniors aged 60+.
Powers,"Older Adults Technology Services (OATS), Inc.",Council District 4,550882599,10000,Funding will support technology-based programming and training sessions to older New Yorkers in Council District 4.
Menin,"Older Adults Technology Services (OATS), Inc.",Council District 5,550882599,10000,"To fund a free community-based programming for older adults including technology- training and certification classes, workshops & special events, where laptops and internet connections (where necessary) are brought to senior centers in Council District 5."
Mealy,"Older Adults Technology Services (OATS), Inc.",Literacy & Technology Training for Older Adults,550882599,10000,"Funds will support development of training curriculum designed especially for older learners and their devices, delivery of training and access to telephone hotline support."
Kagan,Our Lady of Grace Roman Catholic Church,Senior Services Program,111694947,10000,"Funds will provide a safe and comfortable facility to the elderly members to spend quality time dancing, playing games, doing crafts as well as group trips."
Gutierrez,"Peter Cardella Senior Citizen Center, Inc.",Meals on Wheels,112328536,10000,Funding will support Meals on Wheels at Senior Center.
Gutierrez,"Peter Cardella Senior Citizen Center, Inc.",Senior Center Operations,112328536,10000,"Funding will support for facility maintenance/operation, escalating costs of utilities, insurance, food, transportation costs, and supplies associated with operating a multi- service older adult center."
Holden,"Peter Cardella Senior Citizen Center, Inc.",Senior Programming,112328536,20000,"Funding to support the lunch program, entitlement and benefit case assistance, info/referral services, education, recreation, health promotion and socialization programs."
Rivera,"Phipps Neighborhoods, Inc.",Phipps NORC,132707665,10000,Funds will support the Phipps NORC's programs and operations.
Feliz,"Phipps Neighborhoods, Inc.",West Farms Senior Program,132707665,25000,Funds will support Phipps Neighborhoods Senior Program at West Farms.
Restler,"Polish and Slavic Center, Inc.",,112285970,5000,"funding to support senior services, activities and programming in Council District 33."
Holden,"Polonians Organized to Minister to Our Community, Inc.",Senior Programming & Services,112594500,10000,"Funds to be used to support counseling, advocacy and individual bilingual assistance to those with social and immigration related issues."
Velazquez,"Presbyterian Senior Services, Inc.",City Island Older Adult Center,131981482,10000,To support the PSS City Island Older Adult Center.
Stevens,"Presbyterian Senior Services, Inc.",Highbridge Gardens Senior Center - Council District 16,131981482,13000,"Funding to support senior programming, activities and services at The PSS Highbridge Gardens Senior Center including congregate meals, classes/workshops, and related supplies and materials in Council District 16. Appendix A: Aging Discretionary Page 19 Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds"
Stevens,"Presbyterian Senior Services, Inc.",Highbridge Senior Center - Council District 16,131981482,20000,"Funding to support senior programming, activities and services at The PSS Highbridge"
Center,"including congregate meals, classes/workshops, and related supplies and materials in Council District 16. Salamanca Presbyterian Senior Services, Inc.",Jackson & Davidson Senior Centers - Council District 17,131981482,10000,Funding to support senior services at PSS Jackson and Davidson Centers.
Abreu,"Presbyterian Senior Services, Inc.",Manhattanville Senior Center,131981482,10000,Funding to support services at the Manhattanville Senior Center.
Feliz,"Presbyterian Senior Services, Inc.",Parkside Senior Center,131981482,10000,Funds will support recreational activities and initiatives for seniors at Parkside Senior Center.
Velazquez,"Preston Center of Compassion, Inc.",,571180937,20000,"To support PCC programing, social, health, and cultural activities for seniors in Council District 13."
Gennaro,"Queens Community House, Inc.",Pomonok Senior Club,112375583,5000,The funds received will be used to cover the cost of food/refreshments for the weekly gathering to expand networking opportunities for seniors. Funds will be applied to the purchase of supplies and transportation.
Krishnan,"Queens Community House, Inc.",Queens Center for Gay Seniors,112375583,8000,To fund intergenerational arts programming at Queens Center for Gay Seniors.
Krishnan,"Queens Community House, Inc.",Senior Programming,112375583,22000,"To maintain staffing to assist senior clients, to assist with transportation, and to provide case management and assistance."
Schulman,"Queens Community House, Inc.",Support Our Seniors,112375583,11000,"Funds will support various wellness programs/services at Council District 29 centers for senior citizens; including Rego Park Older Adult Center, Forest Hills Older Adult Center, Kew Gardens Older Adult Center and Forest Hills NORC."
Adams,"Queens Interagency Council on the Aging, Inc.",,112744700,5000,Funds will support the agency's meeting costs and outreach efforts.
Schulman,"Queens Interagency Council on the Aging, Inc.",Queens Borough Hall,112744700,5000,To support QICA monthly programs throughout the year at Queens Borough Hall.
Ariola,"Queens Jewish Community Council, Inc.",,237172152,5000,"Funds will be used to provide senior services, meals-on-wheels, senior programming and immigration services."
Gennaro,"Queens Jewish Community Council, Inc.",,237172152,24000,Funding to support senior programming including intervention and immigrant services.
Paladino,"Queens Jewish Community Council, Inc.",Senior Services,237172152,5000,"Funding to support services/programming for citizenship, green card, and medical insurance in Council District 19."
Lee,"Queensboro Council for Social Welfare, Inc.",,111817497,5000,Funds will be used to support QCSW services to Council District 23 seniors.
Paladino,"Queensborough Community College Auxiliary Enterprise Association, Inc.",QPAC Senior Program,112037770,5000,To provide local senior programming in Council District 19.
Holden,Rabbi Israel Meyer HaKohen Rabbinical Seminary of America,Middle Village Adult Center Senior Programming,111752021,20000,Funds to be used for operating expenses of programs and services at the Middle Village Adult Center.
Sanchez,"Regional Aid for Interim Needs, Inc.",Bailey Senior Center,136213586,10000,Funds will be used to support programming and congregate meals at Bailey Senior
Center,"in addition to programming for health and social activities. Riley Regional Aid for Interim Needs, Inc.",Boston East Neighborhood Senior Center,136213586,27500,Funds to be used to operate the R.A.I.N Boston East Neighborhood Senior Center. Appendix A: Aging Discretionary Page 20 Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds
Velazquez,"Regional Aid for Interim Needs, Inc.",Boston Road Senior Center,136213586,10000,To support the operating expenses of the R.A.I.N. Boston Road Older Adult Center.
Riley,"Regional Aid for Interim Needs, Inc.",Boston Secor Neighborhood Senior Center,136213586,27500,Funds to be used for the R.A.I.N Boston Secor Neighborhood Senior Center.
