item_number,agency_name,agency_code,units_of_appropriation,num_units,report_deadlines,coverage_period,condition_text
12,Department of Education,040,All,1,,,"As a condition of this appropriation, the Department of Education shall issue the Financial Status Report for the following dates: Financial Status Report Report Content Anticipating Meeting Date Issue Date September 2015 FY16 FSROpening Condition 20-Oct 3-Oct October 2015 FY15 Year-End Close 21-Nov 3-Nov December 2015 FY16 FSR update; FY17 November Plan Summary 22-Dec 9-Dec February 2016 FY16 FSR update, including Fiscal Analysis; FY17 Preliminary Budget Summary 6-Mar 16-Feb March 2016 FY16 FSR update 28-April 10-Apr May 2016 FY16 FSR update; FY17 Executive Budget Summary 29-May 13-May"
13,Department of Education,040,401,1,"April 1, 2016; April 30, 2016; December 31, 2015; January 1, 2016; January 31, 2016; July 1, 2015; July 31, 2016; June 30, 2016; March 31, 2016; October 1, 2015; October 31, 2015; September 30, 2015","July 1, 2015 to September 30","As a condition to the expenditure of funds appropriated to the unit of appropriation numbers 401 and 403, the Department shall provide quarterly headcount reports to the City Council that lists school-based staff by title, network-based staff by title, and cluster-based staff by title. The quarterly updates shall be submitted as follows: the first report shall be submitted on or before October 31, 2015 and shall cover the period beginning July 1, 2015 and ending September 30, 2015. The second update shall be submitted on or before January 31, 2016 and shall cover the period beginning October 1, 2015 and ending December 31, 2015. The thir d update shall be submitted on or before April 30, 2016 and shall cover the period beginning January 1, 2016 and ending March 31, 2016. The fourth update shall be submitted on or before July 31, 2016 and shall cover the period beginning April 1, 2016 and ending June 30, 2016."
14,Department of Education,040,401,1,"April 1, 2016",,"In relation to the funding in units of appropriation 401, 403, and 453 for the Public School Athletic League (“PSAL”), the Department of Education (“DOE”) shall provide a report to the City Council, no later than April 1, 2016, listing each sports team whi ch received funding for the 2015-2016 school year. Such list shall be disaggregated by 1) sport; 2) gender; 3) school name; 4) school DBN; 5) sport season; 6) league (i.e. PSAL, Small Schools Athletic League (“SSAL”), or transfer); and 7) amount of funding provided by PSAL for each team. Such report shall also include a list of all teams that were rejected by PSAL for formation in the 2015 -2016 school year, disaggregated by 1) sport; 2) gender; 3) school name; 4) school DBN; 5) league; and 6) reason for den ial. The report shall also include a breakdown of PSAL’s total funding (not including funding provided for teams) by PS and OTPS."
15,Department of Education,040,439,1,"April 1, 2016",,"As a condition to the expenditure of funds appropriated to units of appropriation 439 and 440, the Department shall provide the City Council a report detailing the total amount of collected and uncollected lunch fees; and the number of school lunches serve d daily following the same methodology used in the Mayor’s Management Report, disaggregated by free lunch, reducedpriced lunch, and paid lunch. For each lunch category, the DOE shall identify the number of lunches served in schools participating in the U niversal School Meals program under federal Provision II; the number of lunches served in schools participating in the Community Eligibility Provision (CEP); the number of lunches served in schools participating in the City Council’s Free Lunch in Middle Schools Initiative; and the number of lunches served in schools that do not participate in one of these programs. The report shall include the number of schools participating in each of these lunch programs. The report, which shall include data as of De cember 31, 2015, shall also include, disaggregated by the number of students attending schools that participate in the Universal School Meals program (Provision II), CEP, the Free Lunch in Middle Schools Initiative, and none of these programs: 1) the number of students eligible for free lunch, disaggregated by the number who are directly certified and not directly certified; and 2) the number and percentage of students who completed and submitted lunch forms and/or an alternative income form. Where data is available through the collection of a form verifying student income levels, the report shall also include: 1) the number of students eligible for reduced -price lunch; and 2) the number of students eligible for full-priced lunch. Such list shall be provided to the Council no later than April 1, 2016."
16,Department of Finance,836,001; 011,2,"May 1, 2016",,"No later than May 1, 2016, as a condition of the funds in units of appropriation 001 and 011, the Commissioner of the Department of Finance shall submit to the Council an annual report detailing the number and nature of inquiries received by the Taxpayer Advocate regarding property tax exemptions or business tax exemptions, whichever is applicabl e for Fiscal 2016 . Such report shall also include the number, nature, and resolution of complaints received by the Taxpayer Advocate; any recommendations made by the Taxpayer Advocate to the commissioner; the acceptance and denial rates of such recommendations by the commissioner; and the number and nature of inquiries referred to the Taxpayer Advocate by the ombudspersons at the Department; and the number and nature of inquiries referred to the Taxpayer Advocate by 311. The reporting requirements pursua nt to this term and condition shall commence immediately following the employment of the Taxpayer Advocate within the Department of Finance."
17,Department of Health and Mental Hygiene,816,102; 112,2,"April 1, 2016",,"As a condition of the funds in unit of appropriation numbers 102 and 112, no later than April 1, 2016, the Commissioner of the Department of Health and Mental Hygiene ( “DOHMH”) shall provide to the City Council all communicable disease procedures relating to illnesses of potential public health concern that currently exist for schools to which a DOHMH nurse or other school health professional is assigned."
18,Department of Health and Mental Hygiene,816,107; 117,2,,,"As a condition of the funds in unit of appropriation numbers 107 and 117, the Commissioner of the Department of Health and Mental Health (DOHMH) shall provide to the City Council and make available on the DOHMH’s website, no later than December 31, 201 5, a list of providers, categorized by location, that offer oral health services. The Department shall also use best efforts to expand outreach about oral health care p rograms that are available to New York City residents."
19,Department of Health and Mental Hygiene,816,102; 112,2,"April 1, 2015; April 1, 2016; March 1, 2016",,"No later than April 1, 2016, as a condition of the funds in units of appropriation 102 and 112, the Commissioner of the Department of Health and Mental Hygiene (DOHMH) shall submit to the Council a report detailing the wait times for services sought in DOH MH’s clinics. The report shall provide the average wait times of services sought, disaggregated by service type, for each DOHMH clinic. Such report shall cover the period of April 1, 2015 through March 1, 2016."
20,Department of Homeless Services,071,100,1,,,"As a condition of the funds in unit of appropriation 100 to be expended for the Department’s Annual Homeless Outreach Population Estimate (HOPE), or any similar annual survey of the City’s homeless population during Fiscal 201 6, the Department shall use best efforts to determine the number of homeless youths included in the City’s homeless population at the time of such survey. Such best efforts shall include a question regarding the age of the respondent. The result s of such best efforts shall be published in the Department’s annual Hope Survey results publication."
21,Human Resources Administration/Department of Social Services,069,103; 105,2,"October 1, 2015",,"In relation to the funding in units of appropriation 103 and 105 for transitional residential facilities, or any other housing facility that provides temporary or emergency housing pursuant to a contract with a community -based or other non -City organization, the Human Resources Administration/Department of Social Services shall provide a report to the City Council no later than October 1, 2015, listing the name and location of each transitional residential facility or other similar facility, except that if the disclosure of the location of the facility is prohibited by federal, state or local law, then the location of such facility shall not be disclosed. Such list shall be disaggregated by Council District. In addition, the Commiss ioner shall provide reasonable notice of the location of each such facility to the Council Member in whose district such facility will be operated before the facility begins to provide the services as outlined in the contract."
22,New York Police Department,056,001; 002; 003; 004; 006; 007; 008; 009,8,"April 1, 2016; April 15, 2016; December 31, 2015; January 15, 2016; July 1, 2015; July 15, 2016; June 30, 2016; March 31, 2016; October 1, 2015; October 15, 2015; September 30, 2015","July 1, 2015 to September 30","As a condition of funds in units of appropriation 001, 002, 003, 004,006, 007, 008, and 009, the Commissioner of the New York Police Department shall submit quarterly reports detailing the demographics of newly hired police officers. For each officer hired in Fiscal 2016, such report shall include demographic information for su ch officers, including gender, race, and national origin. The quarterly reports shall be submitted as follows: the first report shall be submitted on or before October 15, 2015 and shall cover the period beginning July 1, 2015 and ending September 30, 2015. The second report shall be submitted on or before January 15, 2016 and shall cover the period beginning October 1, 2015 and ending December 31, 2015. The third report shall be submitted on or before April 15, 2016 and shall cover the period beginning Ja nuary 1, 2016 and ending March 31, 2016. The fourth report shall be submitted on or before July 15, 2016 and shall cover the period beginning April 1, 2016 and ending June 30, 2016."
23,New York Police Department,056,007,1,"April 1, 2016",,"No later than April 1, 2016, as a condition of funds in units of appropriation 007, the Commissioner of the New York Police Department shall submit a report to the City Council detailing the number of arrests resulting from Local Law 29 of 2014, which makes it a misdemeanor for a motorist to interfere with the right of way of a pedestrian by causing contact with a pedestrian or bicyclist on the sidewalk or while the pedestrian or bicyclist was in the crosswalk or otherwise lawfully crossing the street, and as a result of the contact, physical injury to the pedestrian or bicyclist occurs. The arrests reported pursuant to this term and con dition shall be disaggregated by police precinct. Such report shall indicate whether the infraction occurred during the motorist’s official business duties, if known."
24,New York Police Department,056,007,1,"April 1, 2016",,"No later than April 1, 2016, as a condition of funds in units of appropriation 007, the Commissioner of the New York Police Department shall submit a report to the City Council detailing the number of incidents that result from a motorist’s interferenc e with the right of way of a bicyclist by causing contact with a bicyclist while the bicyclist has the right of way, and as a result of the contact, death of the bicyclist occurs. The incidents reported pursuant to this term and condition shall be disaggregated by police precinct."
25,New York Police Department,056,001; 100,2,"April 1, 2016; April 15, 2016; December 31, 2015; January 1, 2016; January 15, 2016; July 1, 2015; July 15, 2016; June 30, 2016; March 31, 2016; October 1, 2015; October 15, 2015; September 30, 2015","July 1, 2015 to September 30","As a condition of funds in units of appropriation 001 and 100 , the Commissioner of the New York Police Department shall submit quarterly reports detailing the budgeted headcount, actual headcount, and vacancies for school crossing guards. Such report shall be disaggregated by patrol bureau and precinct. The quarterly reports shall be submitted as follows: the first report shall be submitted on or before October 15, 2015 and shall cover the period beginning July 1, 2015 and ending September 30, 2015. The second report shall be submitted on or before January 15, 2016 and shall cover the period beginning October 1, 2015 and e nding December 31, 2015. The third report shall be submitted on or before April 15, 2016 and shall cover the period beginning January 1, 2016 and ending March 31, 2016. The fourth report shall be submitted on or before July 15, 2016 and shall cover the period beginning April 1, 2016 and ending June 30, 2016."
26,New York Police Department,056,001,1,"September 30, 2015",,"No later than September 30, 2015, as a condition of funds in units of appropriation 001 and 100, the Commissioner of the New York Police Department (“NYPD”) shall submit an annual report regarding the school crossing guard locations. Following consultation with the Department of Education and Department of Transportation, the NYPD’s report should include how intersections and crossing guard allocations were identified. In addition, the NYPD’s report shall detail any changes to the school crossing guard trai ning manual and patrol guide sections related to crossing guard deployment."
27,Department of Small Business Services,801,010; 011,2,"April 1, 2016",,"No later than April 1, 2016, i n relation to the funding in the units of appropriation 010 and 011 for Workforce One programs, the Department of Small Business Services shall provide to the Council an annual report detailing the: 1) number of registrants placed at jobs; 2) Council districts in which registrants placed at jobs reside 3) job category/job classification of job placements (direct-managed hires or self -placement); 4) industry of job placement; 5) average hourly wage at placement; and 6) Council districts in which the jobs are located. Such information shall be disaggregated by each specific job placement progra m within Workforce One program and by each specific Workforce One career center."
28,Department of Small Business Services,801,010; 011,2,"April 1, 2016",,"No later than April 1, 2016, i n relation to the funding in the units of appropriation 010 and 011 for Workforce One programs, the Department of Small Business Services shall provide an annual report to the Council detailing the zip codes and census tracts or council districts in which each Workforce One registrant resides."
29,Department of Youth and Community Development,260,312,1,"October 1, 2015",,"In relation to the funding in unit of appropriation 312 for transitional residential facilities, or any other housing facility that provides temporary or emergency housing pursuant to a contract with a community-based or other non -City organization, the Department of Youth and Community Development shall provide a report to the City Council no later than October 1, 2015, listing the name and location of each transitional residential facility or other similar facility, except that if the disclosure of the location of the facility is prohibited by federal, state or local law, then the location of such facility shall not be disclosed. Such list shall be disaggregated by Council District. In addition, the Commissioner shall provide reasonable notice of the location of each such facility to the Council Member in whose district such fa cility will be operated before the facility begins to provide the services as outlined in the contract."
30,Department of Youth and Community Development,260,312,1,,,"In relation to the funding in unit of appropriation 312 for the Department’s Summer Youth Employment Program, the Department shall provide, via mail or by electronic means, to all its contract recipients literature advertising the availability of free and reduced cost breakfast and lunch under the “Got Breakfast” Program and the Department of Education’s Summer Breakfast and Lunch Programs, and shall request the contractors to provide to participants the addresses of the closest locations at which these youth may avail themselves of these meals."
