fy,tier,absorbing_file,absorbing_line,absorbing_ein,absorbing_amount,absorbing_category,absorbing_initiative,absorbing_award_type,extracted_name,ein,amount,verdict,scope,n_candidates,already_in_corpus,d_organization,d_member,d_program,d_agency,d_purpose,d_source,d_status,d_fy,first_candidate_name
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,108,136400434,25799,HEALTH SERVICES,Maternal and Child Health Services,initiative_provider,Choices in Childbirth,202015286,32000,unique,same_fy,1,0,Choices in Childbirth,,,DOHMH,"This funding supports a range of maternal and child health services and coordination efforts that aid expectant mothers and women of childbearing age, promoting women’s health before, during, and after pregnancy in an effort to improve maternal and child health outcomes and reduce infant mortality rates. Services may include doula care or home-visiting programs.",Maternal and Child Health Services,Cleared,FY17,Choices in Childbirth
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,108,136400434,25799,HEALTH SERVICES,Maternal and Child Health Services,initiative_provider,"Community Health Center of Richmond, Inc.",510567466,11520,unique,same_fy,1,0,"Community Health Center of Richmond, Inc.",,,DOHMH,"This funding supports a range of maternal and child health services and coordination efforts that aid expectant mothers and women of childbearing age, promoting women’s health before, during, and after pregnancy in an effort to improve maternal and child health outcomes and reduce infant mortality rates. Services may include doula care or home-visiting programs.",Maternal and Child Health Services,Cleared,FY17,"Community Health Center of Richmond, Inc."
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,108,136400434,25799,HEALTH SERVICES,Maternal and Child Health Services,initiative_provider,Community Healthcare Network,133083068,84633,unique,same_fy,1,0,"Community Healthcare Network, Inc.",,,DOHMH,"This funding supports a range of maternal and child health services and coordination efforts that aid expectant mothers and women of childbearing age, promoting women’s health before, during, and after pregnancy in an effort to improve maternal and child health outcomes and reduce infant mortality rates. Services may include doula care or home-visiting programs.",Maternal and Child Health Services,Cleared,FY17,"Community Healthcare Network, Inc."
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,108,136400434,25799,HEALTH SERVICES,Maternal and Child Health Services,initiative_provider,Diaspora Community Services,113122295,29157,unique,same_fy,1,0,"Diaspora Community Services, Inc.",,,DOHMH,"This funding supports a range of maternal and child health services and coordination efforts that aid expectant mothers and women of childbearing age, promoting women’s health before, during, and after pregnancy in an effort to improve maternal and child health outcomes and reduce infant mortality rates. Services may include doula care or home-visiting programs.",Maternal and Child Health Services,Cleared,FY17,"Diaspora Community Services, Inc."
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,108,136400434,25799,HEALTH SERVICES,Maternal and Child Health Services,initiative_provider,Fort Greene Strategic Neighborhood Action Partnership,113343941,11253,unique,same_fy,1,0,Fort Greene Strategic Neighborhood Action Partnership,,,DOHMH,"This funding supports a range of maternal and child health services and coordination efforts that aid expectant mothers and women of childbearing age, promoting women’s health before, during, and after pregnancy in an effort to improve maternal and child health outcomes and reduce infant mortality rates. Services may include doula care or home-visiting programs.",Maternal and Child Health Services,Cleared,FY17,Fort Greene Strategic Neighborhood Action Partnership
FY17,C,data/fy17/schedule_c/fy17_schedule_c_awards.csv,108,136400434,25799,HEALTH SERVICES,Maternal and Child Health Services,initiative_provider,Greater Brooklyn Health Coalition,113484928,29157,unique,any_fy,1,0,"Greater Brooklyn Health Coalition, Inc.",,,DOHMH,"This allocation promotes women’s health before, during, and after pregnancy and works in areas with the highest infant mortality rates to improve maternal and child health outcomes through a network of community based providers offering a range of interventions: outreach, referrals, workshops, case management, and peer education.",Infant Mortality Reduction,Cleared,FY16,"Greater Brooklyn Health Coalition, Inc."
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,109,743177454,20757,HEALTH SERVICES,Maternal and Child Health Services,initiative_provider,Joseph P. Addabbo Family Health Center,061181226,29235,unique,same_fy,1,0,"Joseph P. Addabbo Family Health Center, Inc., The",,,DOHMH,"This funding supports a range of maternal and child health services and coordination efforts that aid expectant mothers and women of childbearing age, promoting women’s health before, during, and after pregnancy in an effort to improve maternal and child health outcomes and reduce infant mortality rates. Services may include doula care or home-visiting programs.",Maternal and Child Health Services,Cleared,FY17,"Joseph P. Addabbo Family Health Center, Inc., The"
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,109,743177454,20757,HEALTH SERVICES,Maternal and Child Health Services,initiative_provider,Lower East Side Family Union,237412423,27891,unique,same_fy,1,0,Lower East Side Family Union,,,DOHMH,"This funding supports a range of maternal and child health services and coordination efforts that aid expectant mothers and women of childbearing age, promoting women’s health before, during, and after pregnancy in an effort to improve maternal and child health outcomes and reduce infant mortality rates. Services may include doula care or home-visiting programs.",Maternal and Child Health Services,Cleared,FY17,Lower East Side Family Union
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,109,743177454,20757,HEALTH SERVICES,Maternal and Child Health Services,initiative_provider,Morris Heights Health Center,061081232,22320,unique,same_fy,1,0,Morris Heights Health Center,,,DOHMH,"This funding supports a range of maternal and child health services and coordination efforts that aid expectant mothers and women of childbearing age, promoting women’s health before, during, and after pregnancy in an effort to improve maternal and child health outcomes and reduce infant mortality rates. Services may include doula care or home-visiting programs.",Maternal and Child Health Services,Cleared,FY17,Morris Heights Health Center
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,109,743177454,20757,HEALTH SERVICES,Maternal and Child Health Services,initiative_provider,Mount Sinai Hospital,131624096,123541,unique,same_fy,1,0,Mount Sinai Hospital,,,DOHMH,"This funding supports a range of maternal and child health services and coordination efforts that aid expectant mothers and women of childbearing age, promoting women’s health before, during, and after pregnancy in an effort to improve maternal and child health outcomes and reduce infant mortality rates. Services may include doula care or home-visiting programs.",Maternal and Child Health Services,Cleared,FY17,Mount Sinai Hospital
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,109,743177454,20757,HEALTH SERVICES,Maternal and Child Health Services,initiative_provider,Queens Comprehensive Perinatal Council,112870422,35484,unique,same_fy,1,0,"Queens Comprehensive Perinatal Council, Inc.",,,DOHMH,"This funding supports a range of maternal and child health services and coordination efforts that aid expectant mothers and women of childbearing age, promoting women’s health before, during, and after pregnancy in an effort to improve maternal and child health outcomes and reduce infant mortality rates. Services may include doula care or home-visiting programs.",Maternal and Child Health Services,Cleared,FY17,"Queens Comprehensive Perinatal Council, Inc."
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,110,132884976,27891,HEALTH SERVICES,Maternal and Child Health Services,initiative_provider,SCO Family of Services,112777066,162203,unique,same_fy,1,0,SCO Family of Services,,,DOHMH,"This funding supports a range of maternal and child health services and coordination efforts that aid expectant mothers and women of childbearing age, promoting women’s health before, during, and after pregnancy in an effort to improve maternal and child health outcomes and reduce infant mortality rates. Services may include doula care or home-visiting programs.",Maternal and Child Health Services,Cleared,FY17,SCO Family of Services
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,110,132884976,27891,HEALTH SERVICES,Maternal and Child Health Services,initiative_provider,Urban Health Plan,237360305,22320,unique,same_fy,1,0,"Urban Health Plan, Inc.",,,DOHMH,"This funding supports a range of maternal and child health services and coordination efforts that aid expectant mothers and women of childbearing age, promoting women’s health before, during, and after pregnancy in an effort to improve maternal and child health outcomes and reduce infant mortality rates. Services may include doula care or home-visiting programs.",Maternal and Child Health Services,Cleared,FY17,"Urban Health Plan, Inc."
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,119,133234441,37000,HOMELESS SERVICES,Children and Families in NYC Homeless System,initiative_provider,"Homeless Services United, Inc.",133922640,23000,unique,same_fy,1,0,"Homeless Services United, Inc.",,,DHS,"This allocation will support innovative, specialized services provided in all five boroughs targeted at children and families in homeless shelters including incorporating trauma-informed care, evidence-based practices, aftercare programs, comprehensive case management, and other strategies to prevent maltreatment in high-risk cases.",Children and Families in NYC Homeless System,Cleared,FY17,"Homeless Services United, Inc."
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,123,132605599,207500,HOUSING,Anti-Eviction and Housing Court Resources,initiative_provider,"Housing Court Answers, Inc.",133317188,650000,unique,same_fy,1,0,"Housing Court Answers, Inc.",,,HPD,This funding supports anti-eviction education and referral services at the City's housing courts and various anti-eviction legal services groups that provide counseling and/or full legal representation for tenants seeking assistance in Housing Court.,Anti-Eviction and Housing Court Resources,Cleared,FY17,"Housing Court Answers, Inc."
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,135,133975090,51000,HOUSING,Community Housing Preservation Strategies,initiative_provider,Association for Neighborhood and Housing Development,132775999,100000,unique,same_fy,1,0,Association for Neighborhood and Housing Development,,,HPD,This funding will support ANHD’s efforts to expand and strengthen technical support and a capacity building program for community-based organizations participating in Council-funded community consultant contracts and housing preservation initiative programs. The capacity-building work performed by ANHD includes 76 Council-funded groups. This funding will allow Council-funded groups to scale up their activities and conduct more robust housing and tenant advocacy.,Community Housing Preservation Strategies,Cleared,FY17,Association for Neighborhood and Housing Development
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,139,113580935,61000,HOUSING,Community Housing Preservation Strategies,initiative_provider,Bridge Street Development Corporation,113250772,71000,unique,same_fy,1,0,Bridge Street Development Corporation,Cornegy,,HPD,"The Housing Preservation Initiative (HPI) provides funding for neighborhood-based groups to design and implement a grassroots, neighborhood-based approach to stop the loss of affordable housing. HPI seeks to protect affordable housing and promote neighborhood stabilization in needy districts. HPI funding helps local organizations work with local residents and institutions to protect affordable housing and promote neighborhood stabilization.",Community Housing Preservation Strategies,Cleared,FY17,Bridge Street Development Corporation
FY17,B,data/fy17/schedule_c/fy17_schedule_c_awards.csv,139,113580935,61000,HOUSING,Community Housing Preservation Strategies,initiative_provider,"Catholic Migration Services, Inc.",112634818,51000,unique_by_name,same_fy,2,0,"Catholic Migration Services, Inc.",,,HPD,"The Housing Preservation Initiative (HPI) provides funding for neighborhood-based groups to design and implement a grassroots, neighborhood-based approach to stop the loss of affordable housing. HPI seeks to protect affordable housing and promote neighborhood stabilization in needy districts. HPI funding helps local organizations work with local residents and institutions to protect affordable housing and promote neighborhood stabilization.",Community Housing Preservation Strategies,Cleared,FY17,"Catholic Migration Services, Inc."
FY17,B,data/fy17/schedule_c/fy17_schedule_c_awards.csv,139,113580935,61000,HOUSING,Community Housing Preservation Strategies,initiative_provider,"Catholic Migration Services, Inc.",112634818,51000,unique_by_name,same_fy,2,0,"Catholic Migration Services, Inc.",,,HPD,"The Housing Preservation Initiative (HPI) provides funding for neighborhood-based groups to design and implement a grassroots, neighborhood-based approach to stop the loss of affordable housing. HPI seeks to protect affordable housing and promote neighborhood stabilization in needy districts. HPI funding helps local organizations work with local residents and institutions to protect affordable housing and promote neighborhood stabilization.",Community Housing Preservation Strategies,Cleared,FY17,"Catholic Migration Services, Inc."
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,140,112475743,51000,HOUSING,Community Housing Preservation Strategies,initiative_provider,"El Barrio's Operation Fightback , Inc.",133248777,61000,unique,same_fy,1,0,"El Barrio's Operation Fightback, Inc.",Mark-Viverito,,HPD,"The Housing Preservation Initiative (HPI) provides funding for neighborhood-based groups to design and implement a grassroots, neighborhood-based approach to stop the loss of affordable housing. HPI seeks to protect affordable housing and promote neighborhood stabilization in needy districts. HPI funding helps local organizations work with local residents and institutions to protect affordable housing and promote neighborhood stabilization.",Community Housing Preservation Strategies,Cleared,FY17,"El Barrio's Operation Fightback, Inc."
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,141,112412584,71000,HOUSING,Community Housing Preservation Strategies,initiative_provider,"Good Old Lower East Side, Inc.",132915659,51000,unique,same_fy,1,0,"Good Old Lower East Side, Inc.",Mendez,,HPD,"The Housing Preservation Initiative (HPI) provides funding for neighborhood-based groups to design and implement a grassroots, neighborhood-based approach to stop the loss of affordable housing. HPI seeks to protect affordable housing and promote neighborhood stabilization in needy districts. HPI funding helps local organizations work with local residents and institutions to protect affordable housing and promote neighborhood stabilization.",Community Housing Preservation Strategies,Cleared,FY17,"Good Old Lower East Side, Inc."
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,143,112665181,51000,HOUSING,Community Housing Preservation Strategies,initiative_provider,"Housing Conservation Coordinators, Inc.",510141489,61000,unique,same_fy,1,0,"Housing Conservation Coordinators, Inc.",Johnson,,HPD,"The Housing Preservation Initiative (HPI) provides funding for neighborhood-based groups to design and implement a grassroots, neighborhood-based approach to stop the loss of affordable housing. HPI seeks to protect affordable housing and promote neighborhood stabilization in needy districts. HPI funding helps local organizations work with local residents and institutions to protect affordable housing and promote neighborhood stabilization.",Community Housing Preservation Strategies,Cleared,FY17,"Housing Conservation Coordinators, Inc."
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,147,112229635,61000,HOUSING,Community Housing Preservation Strategies,initiative_provider,"Northfield Community LDC of Staten Island, Inc.",132974137,61000,unique,same_fy,1,0,"Northfield Community LDC of Staten Island, Inc.",Rose,,HPD,"The Housing Preservation Initiative (HPI) provides funding for neighborhood-based groups to design and implement a grassroots, neighborhood-based approach to stop the loss of affordable housing. HPI seeks to protect affordable housing and promote neighborhood stabilization in needy districts. HPI funding helps local organizations work with local residents and institutions to protect affordable housing and promote neighborhood stabilization.",Community Housing Preservation Strategies,Cleared,FY17,"Northfield Community LDC of Staten Island, Inc."
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,148,112375583,51000,HOUSING,Community Housing Preservation Strategies,initiative_provider,"Pratt Area Community Council, Inc.",112451752,61000,unique,same_fy,1,0,"Pratt Area Community Council, Inc.",Cumbo,,HPD,"The Housing Preservation Initiative (HPI) provides funding for neighborhood-based groups to design and implement a grassroots, neighborhood-based approach to stop the loss of affordable housing. HPI seeks to protect affordable housing and promote neighborhood stabilization in needy districts. HPI funding helps local organizations work with local residents and institutions to protect affordable housing and promote neighborhood stabilization.",Community Housing Preservation Strategies,Cleared,FY17,"Pratt Area Community Council, Inc."
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,151,133442022,51000,HOUSING,Community Housing Preservation Strategies,initiative_provider,St. Nick's Alliance Corporation,510192170,61000,unique,same_fy,1,0,St. Nick's Alliance Corporation,Levin,,HPD,"The Housing Preservation Initiative (HPI) provides funding for neighborhood-based groups to design and implement a grassroots, neighborhood-based approach to stop the loss of affordable housing. HPI seeks to protect affordable housing and promote neighborhood stabilization in needy districts. HPI funding helps local organizations work with local residents and institutions to protect affordable housing and promote neighborhood stabilization.",Community Housing Preservation Strategies,Cleared,FY17,St. Nick's Alliance Corporation
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,159,112435523,29729,HOUSING,Community Housing Preservation Strategies,initiative_provider,Bridge Street Development Corporation,113250772,29729,unique,same_fy,1,0,Bridge Street Development Corporation,,,HPD,"The Community Consultant Contract (CCC) initiative provides funding for the front-line anti-eviction/anti-displacement services that community groups provide. When a community resident is at risk of eviction, or when a constituent needs assistance with a housing case, they call the CCC-funded specialist at their local community group. These specialists are knowledgeable about a full range of available resources and use all applicable tools to keep New York City residents in housing they can afford. This initiative allows neighborhood-based groups to provide the following core housing services: tenant organization; code enforcement advocacy; housing court assistance; apartment repossession; and other housing-related public education.",Community Housing Preservation Strategies,Cleared,FY17,Bridge Street Development Corporation
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,161,132851988,29729,HOUSING,Community Housing Preservation Strategies,initiative_provider,"Clinton Housing Development Company, Inc.",112652331,29729,unique,same_fy,1,0,"Central Astoria Local Development Coalition, Inc.",,,HPD,"The Community Consultant Contract (CCC) initiative provides funding for the front-line anti-eviction/anti-displacement services that community groups provide. When a community resident is at risk of eviction, or when a constituent needs assistance with a housing case, they call the CCC-funded specialist at their local community group. These specialists are knowledgeable about a full range of available resources and use all applicable tools to keep New York City residents in housing they can afford. This initiative allows neighborhood-based groups to provide the following core housing services: tenant organization; code enforcement advocacy; housing court assistance; apartment repossession; and other housing-related public education.",Community Housing Preservation Strategies,Cleared,FY17,"Central Astoria Local Development Coalition, Inc."
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,162,133248777,29729,HOUSING,Community Housing Preservation Strategies,initiative_provider,"El Barrio’s Operation Fightback, Inc.",132564241,29729,unique,same_fy,1,0,"Community League of the Heights, Inc.",,,HPD,"The Community Consultant Contract (CCC) initiative provides funding for the front-line anti-eviction/anti-displacement services that community groups provide. When a community resident is at risk of eviction, or when a constituent needs assistance with a housing case, they call the CCC-funded specialist at their local community group. These specialists are knowledgeable about a full range of available resources and use all applicable tools to keep New York City residents in housing they can afford. This initiative allows neighborhood-based groups to provide the following core housing services: tenant organization; code enforcement advocacy; housing court assistance; apartment repossession; and other housing-related public education.",Community Housing Preservation Strategies,Cleared,FY17,"Community League of the Heights, Inc."
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,163,112498292,29730,HOUSING,Community Housing Preservation Strategies,initiative_provider,"Good Old Lower East Side, Inc.",133311582,29729,unique,same_fy,1,0,"Eviction Intervention Services Homelessness Prevention, Inc.",,,HPD,"The Community Consultant Contract (CCC) initiative provides funding for the front-line anti-eviction/anti-displacement services that community groups provide. When a community resident is at risk of eviction, or when a constituent needs assistance with a housing case, they call the CCC-funded specialist at their local community group. These specialists are knowledgeable about a full range of available resources and use all applicable tools to keep New York City residents in housing they can afford. This initiative allows neighborhood-based groups to provide the following core housing services: tenant organization; code enforcement advocacy; housing court assistance; apartment repossession; and other housing-related public education.",Community Housing Preservation Strategies,Cleared,FY17,"Eviction Intervention Services Homelessness Prevention, Inc."
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,163,112498292,29730,HOUSING,Community Housing Preservation Strategies,initiative_provider,Gowanus Canal Community Development Corporation,132915659,29729,unique,same_fy,1,0,"Good Old Lower East Side, Inc.",,,HPD,"The Community Consultant Contract (CCC) initiative provides funding for the front-line anti-eviction/anti-displacement services that community groups provide. When a community resident is at risk of eviction, or when a constituent needs assistance with a housing case, they call the CCC-funded specialist at their local community group. These specialists are knowledgeable about a full range of available resources and use all applicable tools to keep New York City residents in housing they can afford. This initiative allows neighborhood-based groups to provide the following core housing services: tenant organization; code enforcement advocacy; housing court assistance; apartment repossession; and other housing-related public education.",Community Housing Preservation Strategies,Cleared,FY17,"Good Old Lower East Side, Inc."
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,164,133516262,29730,HOUSING,Community Housing Preservation Strategies,initiative_provider,"Harlem Congregations for Community Improvement, Inc.",112382250,29730,unique,same_fy,1,0,Greater Ridgewood Restoration Corporation,,,HPD,"The Community Consultant Contract (CCC) initiative provides funding for the front-line anti-eviction/anti-displacement services that community groups provide. When a community resident is at risk of eviction, or when a constituent needs assistance with a housing case, they call the CCC-funded specialist at their local community group. These specialists are knowledgeable about a full range of available resources and use all applicable tools to keep New York City residents in housing they can afford. This initiative allows neighborhood-based groups to provide the following core housing services: tenant organization; code enforcement advocacy; housing court assistance; apartment repossession; and other housing-related public education.",Community Housing Preservation Strategies,Cleared,FY17,Greater Ridgewood Restoration Corporation
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,165,135562989,29730,HOUSING,Community Housing Preservation Strategies,initiative_provider,"Housing Conservation Coordinators, Inc.",510141489,29730,unique,same_fy,1,0,"Housing Conservation Coordinators, Inc.",,,HPD,"The Community Consultant Contract (CCC) initiative provides funding for the front-line anti-eviction/anti-displacement services that community groups provide. When a community resident is at risk of eviction, or when a constituent needs assistance with a housing case, they call the CCC-funded specialist at their local community group. These specialists are knowledgeable about a full range of available resources and use all applicable tools to keep New York City residents in housing they can afford. This initiative allows neighborhood-based groups to provide the following core housing services: tenant organization; code enforcement advocacy; housing court assistance; apartment repossession; and other housing-related public education.",Community Housing Preservation Strategies,Cleared,FY17,"Housing Conservation Coordinators, Inc."
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,165,135562989,29730,HOUSING,Community Housing Preservation Strategies,initiative_provider,"Housing Court Answers, Inc.",133317188,29730,unique,same_fy,1,0,"Housing Court Answers, Inc.",,,HPD,"The Community Consultant Contract (CCC) initiative provides funding for the front-line anti-eviction/anti-displacement services that community groups provide. When a community resident is at risk of eviction, or when a constituent needs assistance with a housing case, they call the CCC-funded specialist at their local community group. These specialists are knowledgeable about a full range of available resources and use all applicable tools to keep New York City residents in housing they can afford. This initiative allows neighborhood-based groups to provide the following core housing services: tenant organization; code enforcement advocacy; housing court assistance; apartment repossession; and other housing-related public education.",Community Housing Preservation Strategies,Cleared,FY17,"Housing Court Answers, Inc."
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,168,133098397,29730,HOUSING,,initiative_provider,"Neighborhood Housing Services of Brooklyn CDC, Inc.",471169779,29730,unique,same_fy,1,0,"Neighborhood Housing Services of Brooklyn CDC, Inc.",,,HPD,"The Community Consultant Contract (CCC) initiative provides funding for the front-line anti-eviction/anti-displacement services that community groups provide. When a community resident is at risk of eviction, or when a constituent needs assistance with a housing case, they call the CCC-funded specialist at their local community group. These specialists are knowledgeable about a full range of available resources and use all applicable tools to keep New York City residents in housing they can afford. This initiative allows neighborhood-based groups to provide the following core housing services: tenant organization; code enforcement advocacy; housing court assistance; apartment repossession; and other housing-related public education.",Community Housing Preservation Strategies,Cleared,FY17,"Neighborhood Housing Services of Brooklyn CDC, Inc."
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,168,133098397,29730,HOUSING,,initiative_provider,"Neighborhood Housing Services of Jamaica, Inc.",237398279,29730,unique,same_fy,1,0,"Neighborhood Housing Services of Jamaica, Inc.",,,HPD,"The Community Consultant Contract (CCC) initiative provides funding for the front-line anti-eviction/anti-displacement services that community groups provide. When a community resident is at risk of eviction, or when a constituent needs assistance with a housing case, they call the CCC-funded specialist at their local community group. These specialists are knowledgeable about a full range of available resources and use all applicable tools to keep New York City residents in housing they can afford. This initiative allows neighborhood-based groups to provide the following core housing services: tenant organization; code enforcement advocacy; housing court assistance; apartment repossession; and other housing-related public education.",Community Housing Preservation Strategies,Cleared,FY17,"Neighborhood Housing Services of Jamaica, Inc."
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,169,112555446,29730,HOUSING,,initiative_provider,Neighborhood Initiatives Development Corporation (NIDC),133110811,29730,unique,same_fy,1,0,Neighborhood Initiatives Development Corporation (NIDC),,,HPD,"The Community Consultant Contract (CCC) initiative provides funding for the front-line anti-eviction/anti-displacement services that community groups provide. When a community resident is at risk of eviction, or when a constituent needs assistance with a housing case, they call the CCC-funded specialist at their local community group. These specialists are knowledgeable about a full range of available resources and use all applicable tools to keep New York City residents in housing they can afford. This initiative allows neighborhood-based groups to provide the following core housing services: tenant organization; code enforcement advocacy; housing court assistance; apartment repossession; and other housing-related public education.",Community Housing Preservation Strategies,Cleared,FY17,Neighborhood Initiatives Development Corporation (NIDC)
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,170,112375583,29730,HOUSING,,initiative_provider,"Northfield Community LDC of Staten Island, Inc.",132974137,29730,unique,same_fy,1,0,"Northfield Community LDC of Staten Island, Inc.",,,HPD,"The Community Consultant Contract (CCC) initiative provides funding for the front-line anti-eviction/anti-displacement services that community groups provide. When a community resident is at risk of eviction, or when a constituent needs assistance with a housing case, they call the CCC-funded specialist at their local community group. These specialists are knowledgeable about a full range of available resources and use all applicable tools to keep New York City residents in housing they can afford. This initiative allows neighborhood-based groups to provide the following core housing services: tenant organization; code enforcement advocacy; housing court assistance; apartment repossession; and other housing-related public education.",Community Housing Preservation Strategies,Cleared,FY17,"Northfield Community LDC of Staten Island, Inc."
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,170,112375583,29730,HOUSING,,initiative_provider,"Northwest Bronx Community and Clergy Coalition, Inc.",132806160,29730,unique,same_fy,1,0,"Northwest Bronx Community and Clergy Coalition, Inc.",,,HPD,"The Community Consultant Contract (CCC) initiative provides funding for the front-line anti-eviction/anti-displacement services that community groups provide. When a community resident is at risk of eviction, or when a constituent needs assistance with a housing case, they call the CCC-funded specialist at their local community group. These specialists are knowledgeable about a full range of available resources and use all applicable tools to keep New York City residents in housing they can afford. This initiative allows neighborhood-based groups to provide the following core housing services: tenant organization; code enforcement advocacy; housing court assistance; apartment repossession; and other housing-related public education.",Community Housing Preservation Strategies,Cleared,FY17,"Northwest Bronx Community and Clergy Coalition, Inc."
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,170,112375583,29730,HOUSING,,initiative_provider,"Peoples Firehouse, Inc.",112470566,29730,unique,same_fy,1,0,"Peoples Firehouse, Inc.",,,HPD,"The Community Consultant Contract (CCC) initiative provides funding for the front-line anti-eviction/anti-displacement services that community groups provide. When a community resident is at risk of eviction, or when a constituent needs assistance with a housing case, they call the CCC-funded specialist at their local community group. These specialists are knowledgeable about a full range of available resources and use all applicable tools to keep New York City residents in housing they can afford. This initiative allows neighborhood-based groups to provide the following core housing services: tenant organization; code enforcement advocacy; housing court assistance; apartment repossession; and other housing-related public education.",Community Housing Preservation Strategies,Cleared,FY17,"Peoples Firehouse, Inc."
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,171,112453853,29730,HOUSING,,initiative_provider,"Queensboro Council for Social Welfare, Inc.",111817497,29730,unique,same_fy,1,0,"Queensboro Council for Social Welfare, Inc.",,,HPD,"The Community Consultant Contract (CCC) initiative provides funding for the front-line anti-eviction/anti-displacement services that community groups provide. When a community resident is at risk of eviction, or when a constituent needs assistance with a housing case, they call the CCC-funded specialist at their local community group. These specialists are knowledgeable about a full range of available resources and use all applicable tools to keep New York City residents in housing they can afford. This initiative allows neighborhood-based groups to provide the following core housing services: tenant organization; code enforcement advocacy; housing court assistance; apartment repossession; and other housing-related public education.",Community Housing Preservation Strategies,Cleared,FY17,"Queensboro Council for Social Welfare, Inc."
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,172,132735378,29730,HOUSING,,initiative_provider,"Staten Island Center for Independent Living, Inc.",133266398,29730,unique,same_fy,1,0,"Staten Island Center for Independent Living, Inc.",,,HPD,"The Community Consultant Contract (CCC) initiative provides funding for the front-line anti-eviction/anti-displacement services that community groups provide. When a community resident is at risk of eviction, or when a constituent needs assistance with a housing case, they call the CCC-funded specialist at their local community group. These specialists are knowledgeable about a full range of available resources and use all applicable tools to keep New York City residents in housing they can afford. This initiative allows neighborhood-based groups to provide the following core housing services: tenant organization; code enforcement advocacy; housing court assistance; apartment repossession; and other housing-related public education.",Community Housing Preservation Strategies,Cleared,FY17,"Staten Island Center for Independent Living, Inc."
FY17,A,data/fy17/schedule_c/fy17_schedule_c_awards.csv,172,132735378,29730,HOUSING,,initiative_provider,"Strycker's Bay Neighborhood Council, Inc.",131943516,29730,unique,same_fy,1,0,"Strycker's Bay Neighborhood Council, Inc.",,,HPD,"The Community Consultant Contract (CCC) initiative provides funding for the front-line anti-eviction/anti-displacement services that community groups provide. When a community resident is at risk of eviction, or when a constituent needs assistance with a housing case, they call the CCC-funded specialist at their local community group. These specialists are knowledgeable about a full range of available resources and use all applicable tools to keep New York City residents in housing they can afford. This initiative allows neighborhood-based groups to provide the following core housing services: tenant organization; code enforcement advocacy; housing court assistance; apartment repossession; and other housing-related public education.",Community Housing Preservation Strategies,Cleared,FY17,"Strycker's Bay Neighborhood Council, Inc."
