item_number,agency_name,agency_code,units_of_appropriation,num_units,report_deadlines,coverage_period,condition_text
13,Department of Education,040,401; 403; 453,3,,,"As a condition of the funds in unit of appropriation numbers 401, 403, and 453 for the Public School Athletic League (“PSAL”), the Department of Education shall provide a report to the City Council, no later than April 1, 201 7, listing each sports team which received funding for the 2016-2017 school year. Such list shall be disaggregated by 1) sport; 2) gender; 3) school name; 4) school DBN; 5) sport season; 6) league (i.e. PSAL, Small Schools Athletic League (“SSAL”), or transfer); and 7) amount of funding provided by PSAL for each team. Such report shall also include a list of all teams that were rejected by PSAL for for mation in the 2015 -2016 school year, disaggregated by 1) sport; 2) gender; 3) school name; 4) school DBN; 5) league; and 6) reason for denial. The report shall also include a breakdown of PSAL’s tot al funding (not including funding provided for teams) by PS and OTPS."
14,Department of Education,040,444,1,"December 31, 2016; January 15, 2017",,"As a condition of the funds in unit of appropriation number 444, the Department of Education shall submit to the Council, no later than January 15, 2017, a report on the number of leases held by the Department as of December 31, 2016 . For each lease, s uch report shall include 1) the building identification code; 2) the address; 3) the start and end dates of the lease; 4) the annual cost of the lease; and 5) the occupant of the leased space."
15,Department of Education,040,408,1,,,"As a condition of the funds in unit of appropriation number 408, the Department of Education shall submit to the Council, no later than March 1, 201 7, a report on universal prekindergarten enrollment, including the number of students enrolled in a full -day program and the number of students enrolled in a half -day program, disaggregated by Department of Education facility and non-Department of Education facility."
16,Department of Education,040,435; Budget Line E2360 – All Projects,2,"December 31, 2016; July 1, 2016; October 1, 2016; October 15, 2016; September 30, 2016","July 1, 2016 to September 30","As a condition of the funds in unit of appropriation number 436 and budget line E2360, the Department of Education and the School Construction Authority shall submit semi -annual reports to the Council detailing whic h schools have air conditioning installed, which schools do not have air conditioning installed, and which schools have had air conditioning installation begun during the reporting period. Such report shall include the DBN and name of each school. The semi-annual reports shall be submitted as follows: the first report shall be submitted no later than October 15, 2016 and shall cover the period beginning July 1, 2016 and ending September 30, 2016. The second report shall be submitted no later than January 1 5, 2017 and shall cover the period beginning October 1, 2016 and ending December 31, 2016."
17,Department of Finance,836,001; 011,2,,,"No later than May 1, 201 7, as a condition of the funds in units of appropriation 001 and 011, the Department of Finance shall submit to the Council an annual report detailing the number and nature of inquiries received by the Taxpayer Advocate regarding property tax exemptions or business tax exemptions, whichever is app licable for Fiscal 2017. Such report shall also include the number, nature, and resolution of complaints received by the Taxpayer Advocate; any recommendations made by the Taxpayer Advocate to the commissioner; the acceptance and denial rates of such reco mmendations by the commissioner; and the number and nature of inquiries referred to the Taxpayer Advocate by the ombudspersons at the Department; and the number and nature of inquiries referred to the Taxpayer Advocate by 311."
18,Department of Health and Mental Hygiene,816,107; 117,2,,,"As a condition of the funds in unit of appropriation numbers 107 and 117, the Department of Health and Mental Health shall provide to the City Council and make available on the Department’s website, no later than December 31, 201 6, a list of City-funded providers, categorized by location, that offer oral health services. The Department shall also use best efforts to expand outreach about City-funded oral health care programs that are available to New York City residents."
19,Department of Health and Mental Hygiene,816,102; 112,2,"April 1, 2016; April 1, 2017; March 1, 2017",,"As a condition of the funds in unit of appropriation numbers 102 and 112, the Departmen t of Health and Mental Hygiene shall submit to the Council a report detailing the wait times for services sought in the Department’s clinics no later than April 1, 2017 . The report shall provide the average wait times of services sought, disaggregated by service type, for each of the Department’s clinics. Such report shall cover the period of April 1, 2016 through March 1, 2017."
20,Department of Sanitation,827,101; 102; 103; 104; 105; 107,6,"October 15, 2016",,"As a condition of the funds in unit of appropriation numbers 101, 102, 103, 104, 105, and 107, the Department of Sanitation shall submit a report, no later than October 15, 2016, detailing the demographics of uniformed personnel, including gender and race. Such information shall be disaggregated by rank, gender, and race. Fiscal 2016 Terms and Conditions Resubmitted for Fiscal 2017"
21,Department of Homeless Services,071,100,1,,,"As a condition of the funds in unit of appropriation number 100 to be expended for the Department’s Annual Homeless Outreach Population Estimate ( “HOPE”), or any similar annual survey of the City’s homeless population during Fiscal 201 7, the Depar tment shall use best efforts to determine the number of homeless youths included in the City’s homeless population at the time of such survey. Such best efforts shall include a question regarding the age of the respondent. The results of such best efforts shall be published in the Department’s annual HOPE Survey results publication."
22,Department of Youth and Community Development,260,312,1,,,"As a condition of the funds in unit of appropriation number 312 for the Department of Youth and Community Development ’s Summer Youth Employment Program, the Department shall provide, via mail or by electronic means, to all its contract recipients literature advertising the availability of free and reduced cost breakfast and lunch under the “Got Breakfast” Program and the Department of Education’s Summer B reakfast and Lunch Programs, and shall request the contractors to provide to participants the addresses of the closest locations at which these youth may avail themselves of these meals."
23,Department of Education,040,481; 005; 311; 312,4,"April 30, 2017; July 1, 2016; May 15, 2017",,"As a condition of the funds in unit of appropriation number 481 in the Department of Education’s budget and unit of appropriation numbers 005, 311, and 312 in the Department of Youth and Community Development’s budget, each agency shall submit a report to the Council, no later than May 15, 2017, regarding adult literacy programs offered directly by, or pursuant to a contract with, the City. Such report shall include 1) the number of adult literacy programs offered; 2) the number of applicants who applied to such programs; and 4) the number of such applicants who were denied admission to such programs and the reasons for such denials . Such report shall cover the period of July 1, 2016 to April 30, 2017."
24,Fire Department,057,001; 002; 003; 004; 005; 006; 007; 008,8,"October 15, 2016",,"As a condition of the funds in unit of appropriation numbers 001, 002, 003, 004, 005, 006, 007, and 008, the Fire Department shall submit a report, no later than October 15, 2016, detailing the demographics of uniformed personnel, including gender and race. Such information shall be disaggregated by rank, gender, and race."
25,Fire Department,057,009; 010,2,"October 15, 2016",,"As a condition of the funds in unit of appropriation numbers 001, 002, 003, and 004, the Fire Department shall submit a report, no later than October 15, 2016, detailing the demographics of all Emergency Medical Services personnel, including gender and race. Such information shall be disaggregated by title, gender, and race."
26,Health and Hospitals Corporation,819,001,1,,,"As a condition of the funds in unit of appropriation number 001, the Health and Hospitals Corporation shall submit to the Council annual reports on the hospital utilization rate of beds and the average length of stay, in total and disaggregated by hospital."
27,New York Police Department,056,001; 100,2,,,"As a condition of the funds in unit of appropriation numbers 001 and 100, the New York Police Department shall submit annual reports detailing the budgeted headcount, actual headcount, and vacancies for school crossing guards. Such report shall be disaggregated by borough and precinct and shall be provided in a machine-readable format."
28,New York Police Department,056,001; 002; 003; 004; 006; 007; 008; 009,8,"October 15, 2016",,"As a condition of the funds in unit of appropriation numbers 001, 002, 003, 004,006, 007, 008, and 009, the New York Police Department shall submit a report to the Council, no later than October 15, 2016, detailing the demographics of uniformed personnel, including gender and race. Such information shall be disaggregated by rank, gender, and race."
29,Department of Small Business Services,801,010; 011,2,"April 1, 2017",,"As a condition of the funds in unit of appropriation numbers 010 and 011 for Workforce One programs, the Department of Small Business Services shall provide to the Council , no later than April 1, 2017, a report detailing the: 1) number of registrants placed at jobs; 2) Council districts in which registrants placed at jobs reside 3) job category/job classification of job placements (direct-managed hires or self -placement); 4) industry of job placement; 5) average hourly wage at placement; and 6) the Council districts in which the jobs are located. Fiscal 2016 Terms and Conditions Resubmitted for Fiscal 2017"
30,Department of Small Business Services,801,010; 011,2,"April 1, 2017",,"As a condition of the funds in unit of appropriation numbers 010 and 011 for Workforce One programs, the Department of Small Business Services shall provide a report to the Council , no later than April 1, 2017, detailing the zip codes in which each Workforce One registrant resides."
