item_number,agency_name,agency_code,units_of_appropriation,num_units,report_deadlines,coverage_period,condition_text
16,Department of Education,040,406; 444,2,"January 31, 2021",,"As a condition of the funds in unit of appropriation numbers 406 and 444, the Department of Education (“DOE”) shall submit to the Council, no later than January 31, 2021, a report on the number of leases held by DOE and by a charter school for which the charter school is paid a lease subsidy by DOE. For each lease held by DOE, such report shall include: 1) the building identification code; 2) the address; 3) the start and end dates of the lease; 4) the annual cost of the lease; 5) the occupant of the leased space; 6) the budget code; 7) the building use; and 8) actual spending per lease in Fiscal 2020. For each lease held by a charter school for which the charter school is paid a lease subsidy by DOE. The report shall include, for each building: 1) the names of the charter school and charter operator; 2) the address; 3) the start and end dates of the lease, 4) the annual cost of the charter school's lease for the current Fiscal Year; 5) the monthly lease payment from DOE; 6) the total lease payments from DOE to date; 7) the projected total lease payments from DOE; and 8) the per pupil cost of the lease to DOE."
17,Department of Education,040,401; 403; 407; 409; 415; 481,6,"March 15, 2021; November 15, 2020",,"As a condition of the funds in unit of appropriation numbers 401, 403, 407, 409, 415, and 481, the Department of Education (“DOE”) shall submit semi- annual headcount reports to the Council that lists school-based staff by title and Borough Field Support Center-based staff by title. Additionally, DOE must report on staff by title for all pre -kindergarten staff in DOE facilities and non-DOE facilities. Additionally, DOE must report on the total number of school nurses and identify how many of these nurses are funded by the DOE, how many are contracted through DOE, and how many are funded by the Department of Health and Mental Hygiene. The semi -annual reports shall be submitted as follows: the first report shall be submitted no later than November 15, 2020 and the second report shall be submitted no later than March 15, 2021."
18,Department of Education,040,406,1,"December 1, 2020; June 1, 2021",,"As a condition of the funds in unit of appropriation number 406, the Department of Education shall submit to the Council a semi- annual list detailing the total number of charter schools, listed by name and address, funded in such unit of appropriation. Such list shall also contain the total number of enrolled students in each charter school, disaggregated by grade. The semi- annual list shall also contain the following information for all charter schools funded in such unit of appropriation, in the aggregate: 1) the total number of enrolled students, disaggregated by grade; 2) the total number of enrolled Special Education students, disaggregated by grade; 3) the total number of enrolled General Education students, disaggregated by grade; 4) the total number of enrolled English Language Learner students, disaggregated by grade; 5) the total number of students provided free or reduced price school lunches, disaggregated by grade; and 6) the total sum of year -end projected payments, disaggregated by payments for general education students and payments for special education students with the payments for special education students further disaggregated by tuition payment categ ory. The first list shall be submitted no later than December 1, 2020 and the second list shall be submitted no later than June 1, 2021."
19,Department of Education,040,All,1,,,"As a condition of the funds in all the units of appropriation associated with the Department of Education, the Department of Education shall issue the Financial Status Reports for the following dates: FINANCIAL STATUS REPORT REPORT CONTENT ISSUE DATE ANTICIPATED MEETING DATE SEPTEMBER 2020 FY 2021 FSR-Opening Condition October 2nd October 27th OCTOBER 2020 FY 2020 Year-End Close November 5th December 3rd DECEMBER 2020 FY 2021 FSR update; FY 2022 November Plan Summary December 8th January 14th FEBRUARY 2021 FY 2021 FSR update, including Fiscal Analysis; FY 2022 Preliminary Budget Summary February 11th March 11th MARCH 2021 FY 2021 FSR update April 8th May 6th MAY 2021 FY 2021 FSR update, including Fiscal Analysis; FY 2022 Executive Budget Summary May 19th June 10th"
20,Department of Education,040,481,1,"June 30, 2021",,"As a condition of the funds in unit of appropriation number 481, the Department of Education (“DOE”) shall submit to the Council, no later than June 30, 2021, an annual report on adult literacy programs offered directly by, or pursuant to a contract with the City. Such report shall include: 1) the number of adult literacy programs offered, disaggr egated by those issued directly by the Department of Education DOE and those provided pursuant to contract; 2) the number of applicants who applied to such programs; 3) the total number of enrolled students in such programs; 4) the average retention for such programs; and 5) student outcomes of such programs."
21,Department of Education,040,438,1,"December 31, 2020; January 1, 2021; January 15, 2021; July 15, 2021; June 30, 2021; September 1, 2020","September 1, 2020 to December 31","As a condition of the funds in unit of appropriation number 438, the Department of Education shall submit to the Council semi- annual reports on busing provided for students living in shelters. Such reports shall detail the number of students who have been routed and a snapshot of the number of students who are waiting to be routed. The semi -annual reports shall be submitted as follows: the first report shall be submitted no later than January 15, 2021 and shall cover the period beginning September 1, 2020 and ending December 31, 2020. The second report shall be s ubmitted no later than July 15, 2021 and shall cover the period beginning January 1, 2021 and ending June 30, 2021."
22,Department of Education,040,407; 408; 409; 410; 470,5,"February 1, 2021",,"As a condition of the funds in unit of appropriation numbers 407, 408, 409, 410, and 470, the Department of Education shall submit to the Council, no later than February 1, 2021, a report on Universal Prekindergarten, a report on 3K for All enrollment, and a report on Early Childhood Education enrollment di saggregated by school district and program, detailing the number of students enrolled in each full -day program broken down by special education and non-special education students, the number of students enrolled in each half -day program by special education and non-special education students, and the total capacity of each facility."
23,Department of Education,040,439; 440,2,"April 1, 2021",,"As a condition of the funds in unit of appropriation numbers 439 and 440, the Department of Education shall submit to the Council, no later than April 1, 2021, a report detailing, for each school: 1) the total number of breakfasts served disaggregated between those served in the cafeteria and those not served in the cafeteria; 2) the total num ber of lunches served; 3) the total number of summer meals served; 4) the number and percentage of students who completed and submitted lunch forms and/or an alternative income form; and 5) the participation rates – average meals per dayfor breakfast, l unch, and summer meals. In addition, the report must provide: 6) the total average cost per meal for breakfasts served disaggregated between those served in the cafeteria and those not served in the cafeteria; 7) the total average cost per meal for lunches served; and 8) the total average cost per summer meal served. Additionally, such report shall include: 1) the number of grab and go meals served during the COVID-19 pandemic, broken out by meals served to children and meals served to adults; 2) the total number of kosher and halal meals served disaggregated by child and adult meals; and 3) the total average cost per such meals."
24,Department of Finance,836,003,1,"July 1, 2019; June 30, 2020; October 15, 2020","July 1, 2019 to on June 30","As a condition of the funds in unit of appropriation number 003, the Department of Finance shall submit to the Council, no later than October 15, 2020, an annual report on the number of initial and renewal applications for the Senior Citizen Homeowner Exemption, the Disabled Homeowner Exemption, the Senior Citizen Rent Incr ease Exemption, the Disability Rent Increase Exemption, and the Not -For-Profit exemption received, disaggregated by type, including the number processed, approved, disapproved, and the median number of days it took to process the applications that were pro cessed that year and the number of applications still open after 30, 60, and 90 days. Such report shall cover the period beginning July 1, 2019 and ending on June 30, 2020."
25,Department of Finance,836,001; 011,2,"April 1, 2020; March 31, 2021; May 1, 2021","April 1, 2020 to on March 31","As a condition of the funds in unit of appropriation numbers 001 and 011, the Department of Finance shall submit to the Council, no later than May 1, 2021, an annual report detailing the number and nature of inquiries received by the Taxpayer Advoca te regarding property tax exemptions or business tax exemptions, whichever is applicable. Such report shall also include the number, nature, and resolution of complaints received by the Taxpayer Advocate; any recommendations made by the Taxpayer Advocate t o the commissioner; the acceptance and denial rates of such recommendations by the commissioner; and the number and nature of inquiries referred to the Taxpayer Advocate by the ombudspersons at the Department; the number and nature of inquiries referred to the Taxpayer Advocate by 311. Such report shall cover the period beginning April 1, 2020 and ending on March 31, 2021."
26,Department of Health and Mental Hygiene,816,102; 112,2,"April 1, 2020; April 15, 2021; March 31, 2021",,"As a condition of the funds in unit of appropriation numbers 102 and 112, the Department of Health and Mental Hygiene (“DOHMH”) shall submit to the Council, no later than April 15, 2021, a report detailing the wait times for services sought in DOHMH’s clin ics. The report shall provide the average wait times of services sought, disaggregated by service type, for each DOHMH clinic. Such report shall cover the period of April 1, 2020 through March 31, 2021."
27,Department of Health and Mental Hygiene,816,102; 112,2,"December 30, 2020; June 30, 2021; March 1, 2020; March 31, 2021",,"As a condition of funds in unit of appropriation numbers 102 and 112, the Department of Health and Mental Hygiene (“DOHMH”) shall submit to the Council a semi -annual report detailing the preliminary rate of new infections other than COVID-19. The report shall provide preliminary rate of new infections for tuberculosis, HIV/AIDS, and measles. Such reports shall cover the period of March 1, 2020 through March 31, 2021 and shall be submitted by December 30, 2020 and June 30, 2021."
28,Department of Housing Preservation and Development,806,004; 009; Budget Line HD-0009 – All Projects,3,"July 1, 2019; June 30, 2020; October 15, 2020","on July 1, 2019 to on June 30","As a condition of the funds in unit of appropriation numbers 004 and 009 and budget line HD- 0009, the Department of Housing Preservation and Development shall submit to the Council, no later than October 15, 2020, a report detailing the number of buildings in the Article 7A program and the expenditure amount at each buildi ng. Such report shall cover the period beginning on July 1, 2019 and ending on June 30, 2020."
29,Department of Housing Preservation and Development,806,004; 011,2,"July 1, 2020; July 15, 2021; June 30, 2021","on July 1, 2020 to on June 30","As a condition of the funds in unit of appropri ation numbers 004 and 011, the Department of Housing Preservation and Development (“HPD”) shall submit to the Council, no later than July 15, 2021, a report on the Underlying Conditions Program. Such report shall include the number of underlying conditions issued by HPD, the address of each building to which an underlying condition was issued, and the result of each order that was issued. Such report shall cover the period beginning on July 1, 2020 and ending on June 30, 2021."
30,Department of Sanitation,827,101; 102; 103; 104; 105; 107,6,"October 15, 2020",,"As a condition of the funds in unit of appropriation numbers 101, 102, 103, 104, 105, and 107, the Department of Sanitation shall submit to the Council, no later than October 15, 2020, a report detailing the demographics of uniformed personnel, including gender and race. Such information shall be disaggregated by rank, gender, and race."
31,Department of Small Business Services,801,006,1,"December 30, 2020; January 1, 2020; January 31, 2021",,"As a condition of the funds in unit of appropriation 006 in the budget of the Department of Small Business Services, the Economic Development Corporation (“EDC”) shall submit to the Council an annual report regarding NYC Ferry. The report shall include a copy of the contract between EDC and Hornblower New York, information regarding the design of the request for proposal, an explanation of the process to review the submitted bids and the memorandum of understanding to address operating permits and use of Ci ty-owned landing routes, and an explanation of the selection process for the existing ferry routes. All reports shall include: 1) a breakdown of capital spending on barges, gangways, and ferry landings at the project level at the planning stage, the initia tion of the project, and at completion; 2) a breakdown of capital spending on each landing disaggregated by budget line and fiscal year; 3) the cost of ferry manufacturing to the City; 4) the number of routes per landing; 5) ridership by routes projected at the start, actual ridership, the number of riders who are New York residents, and demographic information of ferry riders; 6) number of trips per route; 7) the number of boats currently operating in the fleet and their carrying capacity; and 8) s ubsidy p er route. Such report shall be submitted on January 31, 2021, and shall cover the period from January 1, 2020 to December 30, 2020."
32,Department of Small Business Services,801,002,1,"January 15, 2021; July 1, 2019; June 30, 2020","on July 1, 2019 to on June 30","As a condition of the funds in unit of appropriation number 002, the Department of Small Business Services (“SBS”) shall submit to the Council, no later than January 15, 2021, a report detailing the number of small businesses served through SBS’s Commercial Lease Assistance Program, disaggregated by borough. Such report shall cover the period beginning on July 1, 2019 and ending on June 30, 2020."
33,Department of Small Business Services,801,010; 011,2,"April 15, 2021; February 28, 2021; July 1, 2020","on July 1, 2020 to on February 28","As a condition of the funds in unit of appropriation numbers 010 and 011, the Department of Small Business Services shall provide to the Council, no later than April 15, 2021, a report detailing the: 1) number of registrants placed at jobs; 2) zip codes in which registrants placed at jobs reside; 3) job category/job classification of job placements (direct managed hires or self-placement); 4) industry of job placement; and 5) average hourly wage at placement. Such report shall cover the period beginning on July 1, 2020 and ending on February 28, 2021."
34,Department of Social Services,069,105; 205,2,,,"As a condition of the funds in unit of appropriation numbers 105 and 205, the Human Resources Administration and the Mayor ’s Office to End Domestic and Gender -Based Violence (“ENDGBV”) shall work collaboratively to submit to the Council a report that reflects the ENDGBV funding in its entirety including the total budget of ENDGBV, the total budget by program area, and the total headcount for ENDGBV. Such report shall be submitted within 10 days of the release of the Fiscal 2022 Preliminary and Executive Plans."
35,Department of Social Services,069,107,1,,,"As a condition of the funds in unit of appropriation numbers 107, the Office of Civil Justice (OCJ) and Human Resources Administration shall submit to the Council a report that reflects the OCJ funding in its entirety including the total budget of OCJ, the total budget by program area and budget code, and the total headcount for OCJ. Such report shall be submitted within fourteen calendar days of the release of each financial plan."
36,Department of Youth and Community Development,260,106; 312,2,,,"As a condition of the funds in unit of appropriation numbers 106 and 312 for the Department of Youth and Community Development’s 1) Summer Youth Employment Program, 2) Comprehensive After School NYC, 3) Beacon and 4) Cornerstone programs, the Department shall provide, via mail or by electronic means, to all of its contract recipients literature advertising the availability of the free “Grab and Go” Program offered through the Department of Education, and shall request the contractors to provide to participa nts the addresses of the closest locations at which these youth may avail themselves of these meals."
37,Department of Youth and Community Development,260,002; 100,2,"July 1, 2020; July 16, 2021; June 30, 2021; November 15, 2020; October 31, 2020","July 1, 2020 to October 31","As a condition of the funds in unit of appropriation number 002 in the Department of Youth and Community Development’s budget and unit of appropriation number 100 in the Department of Citywide Administrative Services' budget, the Office of the Census shall submit two reports to the Council that include the Office of the Census' total budget by unit of appropriation and budget code and actual spending broken out by funding for the office and census efforts, City headcount by title, and the advertising budget disaggregated by media form and media outlet. The first report shall be submitted on or before November 15, 2020 and shall cover the period beginning July 1, 2020 and ending October 31, 2020. The second report shall be submitted on or before July 16, 2021 and shall cover the period beginning October 31, 2020 and ending June 30, 2021."
38,Fire Department,057,001; 002; 003; 004; 005; 006; 007; 008,8,"October 15, 2020",,"As a condition of the funds in unit of appropriation numbers 001, 002, 003, 004, 005, 006, 007, and 008, the Fire Department shall submit to the Counci l, no later than October 15, 2020, a report detailing the demographics of uniformed personnel and the demographics of all Emergency Medical Services personnel, including gender, race, and ethnicity. Such information shall be disaggregated by rank or title, gender, race, and ethnicity."
39,Health and Hospitals Corporation,819,001,1,"January 31, 2021",,"As a condition of the funds in unit of appropriation number 001, the Health and Hospitals Corporation shall submit to the Council, no later than January 31, 2021, a report on budgeted and actual headcount for the Health and Hospitals Corporation's correctional health staff by title."
40,Health and Hospitals Corporation,819,001,1,"December 31, 2020; February 15, 2021; January 1, 2020","January 1, 2020 to on December 31","As a condition of the funds in unit of appropriation numbe r 001, the Health and Hospitals Corporation shall submit to the Council, no later than February 15, 2021, a report on the hospital utilization rate of beds and the average length of stay, in total and disaggregated by hospital. Such report shall cover the period beginning January 1, 2020 and ending on December 31, 2020."
41,Mayoralty,002,020,1,,,"As a condition of the funds in unit of appropriation number 020, within 10 days of each financial plan release, the Office of Management and Budget and the Office of Thrive NYC will provide the Council with an 1) updated multi -agency Thrive NYC Program Budget reflecting the budget in each initiative in each year of the financial plan, and 2) an updated City headcount budget by agency and Thrive NYC Program. Such report shall be provided in the same format with each submission to ensure plan to plan changes are easily identified."
42,Mayoralty,002,050; 051,2,"March 15, 2021; September 15, 2020",,"As a condition of the funds in unit of appropriation numbers 050 and 051, the Criminal Justice Coordinator shall submit to the Council semi -annual reports detailing the total budget and headcount with the total number of staff associated with the Office of Special Enforcement, disaggregated by title and agency. In addition, the reports shall include the other than personal services budget for the Office of Special Enforcement. The first report shall be submitted no later than September 15, 2020, and the second report shall be submitted no later than March 15, 2021."
43,Mayoralty,002,090; 091,2,,,"As a condition of the funds in unit of appropriation numbers 090 and 091, the Mayor's Office of Contract Services shall include in the report required by Local Law 18 of 2012 the number of bidders to each original contract."
44,New York Police Department,056,001; 100,2,"January 30, 2021; September 30, 2020",,"As a condition of the funds in unit of appropriation numbers 001 and 100, the New York Police Department (“NYPD”) shall consult with the Department of Education and Department of Transportation and submit two reports regarding school crossing guard intersection locations. The first report shall be submitted no later than September 30, 2020 and shall be based on deployments as of the second week of September 2020. The second report shall be submitted no later than January 30, 2021 and shall be based on deployments as of the second week of January 2021. The reports shall include: 1) the criteria utilized t o determine school crossing guard intersections and crossing guard allocations; 2) each location; 3) detail any changes to the school crossing guard training manual and patrol guide sections related to crossing guard deployment; and 4) detail, for both crossing guards and crossing guard supervisors, i) the budgeted headcount, ii) actual headcount, and iii) vacancies, disaggregated by patrol borough and precinct and provided in a machine-readable format."
45,New York Police Department,056,001; 002; 003; 004; 006; 007; 008; 009,8,"October 15, 2020",,"As a condition of the funds in unit of appropriation numbers 001, 002, 003, 004,006, 007, 008, and 009, the New York Police Department shall submit to the Council, no later than October 15, 2020, a report detailing the demographics of uniformed personnel, including gender, race, and ethnicity. Such information shall be disaggregated by rank, gender race and ethnicity."
46,New York Police Department,056,All,1,"January 31, 2021",,"As a condition of the funds in all units of appropriation, the New York Police Department (NYPD) shall submit a report to the Council, no later than January 31, 2021, on private budget funding sources and the expenditures from such sources. This report shall provide detail on entities providing funds to the NYPD, including the budget lines for related expenditures, and the program areas, and units receiving the funds."
