resolution,page,row,column,raw_text,confidence,flag,crop
1,11,23,organization,"Hugs for Harlem, Inc.",0.74,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p011-row23-organization.png
1,11,24,member,Jackson,0.567,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p011-row24-member.png
1,11,24,organization,M.L. Wilson Boys and Giris Club of Harlem,0.778,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p011-row24-organization.png
1,11,24,amount,"($5,000.00)",0.769,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p011-row24-amount.png
1,11,25,organization,Norther Manhattan Improvement Corporation,0.595,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p011-row25-organization.png
1,11,25,amount,"($4,000.00)",0.738,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p011-row25-amount.png
1,11,26,conduit_org,Community League oft the Heights,0.616,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p011-row26-conduit_org.png
1,11,27,organization,Washington Heights Community Arts Project,0.717,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p011-row27-organization.png
1,11,28,member,Jackson,0.763,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p011-row28-member.png
1,11,28,amount,"($3,000.00)",0.557,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p011-row28-amount.png
1,11,29,organization,Bronx African American Chamber of Commerce,0.532,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p011-row29-organization.png
1,11,30,organization,Emmanuel Baptist Church,0.629,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p011-row30-organization.png
1,11,31,amount,"($36,714.00)",0.505,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p011-row31-amount.png
1,11,32,organization,"UJAMAA Black Theater, Inc.",0.609,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p011-row32-organization.png
1,12,0,organization,"LaGuardia/Vietnam Veterans of America, Queens Chapter #32",0.63,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p012-row00-organization.png
1,12,0,ein,11-2629339,0.345,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p012-row00-ein.png
1,12,2,amount,"$92,831.00",0.706,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p012-row02-amount.png
1,12,3,organization,Incarcerated Veterans Consortium,0.635,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p012-row03-organization.png
1,12,4,organization,Staten Island Supports Our Soldiers,0.508,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p012-row04-organization.png
1,13,0,amount,"$121,934.45",0.999,ocr:amt,data/fy09/transparency-resolutions/review-crops/r01-p013-row00-amount.png
1,13,1,amount,"$128,605.88",1.0,ocr:amt,data/fy09/transparency-resolutions/review-crops/r01-p013-row01-amount.png
1,13,1,ein,11-2480339,0.588,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p013-row01-ein.png
1,13,2,amount,"$135,036.17",1.0,ocr:amt,data/fy09/transparency-resolutions/review-crops/r01-p013-row02-amount.png
1,13,2,organization,Common Ground,0.736,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p013-row02-organization.png
